code,park,ob_m_00,tec_m_00,adm_m_00,total_m_00,ob_f_00,tec_f_00,adm_f_00,total_f_00,total_mf_00,ob_m_16,tec_m_16,adm_m_16,total_m_16,ob_f_16,tec_f_16,adm_f_16,total_f_16,total_mf_16
DOM-6NO,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,2.0,10.0,58.0,26.0,0.0,2.0,28.0,86.0
DOM-ALC,Los Alcarrizos,1068.0,157.0,81.0,1306.0,2105.0,59.0,62.0,2226.0,3532.0,370.0,72.0,43.0,485.0,403.0,23.0,48.0,474.0,959.0
DOM-ALT,Villa Altagracia,362.0,41.0,106.0,509.0,2476.0,15.0,131.0,2622.0,3131.0,134.0,14.0,10.0,158.0,90.0,3.0,14.0,107.0,265.0
DOM-AND,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,49.0,19.0,71.0,2.0,0.0,6.0,8.0,79.0
DOM-ARM,La Armería,808.0,80.0,34.0,922.0,1719.0,37.0,30.0,1786.0,2708.0,218.0,27.0,38.0,283.0,407.0,7.0,28.0,442.0,725.0
DOM-BAN,Baní,1066.0,96.0,90.0,1252.0,3286.0,104.0,40.0,3430.0,4682.0,132.0,54.0,18.0,204.0,235.0,38.0,19.0,292.0,496.0
DOM-BAR,Barahona,473.0,80.0,32.0,585.0,656.0,42.0,23.0,721.0,1306.0,559.0,52.0,43.0,654.0,734.0,71.0,31.0,836.0,1490.0
DOM-BAY,Bayaguana,100.0,3.0,3.0,106.0,42.0,1.0,1.0,44.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-BON,Bonao,1667.0,74.0,27.0,1768.0,1918.0,13.0,23.0,1954.0,3722.0,94.0,13.0,4.0,111.0,194.0,4.0,9.0,207.0,318.0
DOM-CDF,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,5.0,2.0,38.0,347.0,4.0,10.0,361.0,399.0
DOM-CHE,Nueva Z.F. (Chem Tec),1389.0,197.0,87.0,1673.0,1173.0,51.0,65.0,1289.0,2962.0,136.0,36.0,27.0,199.0,248.0,3.0,26.0,277.0,476.0
DOM-CIB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,159.0,105.0,405.0,221.0,101.0,62.0,384.0,789.0
DOM-CIP,Caribbean Ind. Park,2522.0,678.0,197.0,3397.0,1679.0,549.0,126.0,2354.0,5751.0,1871.0,898.0,203.0,2972.0,1629.0,451.0,305.0,2385.0,5357.0
