code,park,ent99,ent00,variance
DOM-BAN,Baní,13,11,-15%
DOM-BAR,Barahona,3,3,-
DOM-BAY,Bayaguana,0,1,100
DOM-BON,Bonao,6,9,50
DOM-CIP,Caribbean Ind. Park,12,15,25
DOM-COT,Cotuí,3,3,-
DOM-CHE,Chemtec,13,12,-8
DOM-SEI,El Seibo,0,1,100
DOM-ESP,Esperanza,10,10,-
DOM-EXC,Excel Boca Chica,1,2,100
DOM-GLO,Global,3,3,-
DOM-GUR,Gurabo,4,3,-25
DOM-IHA,Haina,1,2,100
DOM-HAI,Hainamosa,13,11,-15
DOM-HAT,Hato Mayor,2,3,50
DOM-HIG,Higuey,3,3,-
DOM-CRI,Itabo,19,19,-
DOM-JAI,Jaibón,1,1,-
DOM-ARM,La Armería,11,10,-9
DOM-ROM,La Romana I,21,20,-5
DOM-RII,La Romana II,8,6,-25
DOM-VEG,La Vega,29,30,-3
DOM-LAG,Laguna Prieta,1,1,-
DOM-LAS,Las Américas,20,19,-5
DOM-ALC,Los Alcarrizos,16,19,19
DOM-MIN,Los Minas,0,1,100
DOM-MAD,Madre Vieja,1,0,-100
DOM-MOC,Moca,12,12,-
DOM-NAV,Navarrete,2,4,100
DOM-NIG,Nigua,16,13,-19
DOM-PAB,Palmar Abajo,2,2,-
DOM-PAM,Palmarejo,3,3,-
DOM-PED,Pedernales,0,1,100
DOM-PIS,PISANO,12,15,25
DOM-PON,Pontezuela,1,1,-
DOM-PUE,Puerto Plata,8,10,25
DOM-SAL,Salcedo,1,1,-
DOM-FRA,San Fco. de Macorís,7,5,-29
DOM-ISI,San Isidro,28,26,-7
DOM-MAC,San Pedro de Macorís,55,51,-7
DOM-S12,Santiago I y II,81,77,-5
DOM-JAN,Santiago Jánico,2,2,-
DOM-SLI,Santiago Licey,6,7,17
DOM-TAM,Tamboril,2,1,-50
DOM-ALT,Villa Altagracia,2,2,-
DOM-MEL,Villa Mella,2,2,-
DOM-ZOF,Zofinma (Mao),0,1,100
DOM-ZFE,Z.F. Especiales,28,27,-4
