code,park,ent08,ent09,absolute variation
DOM-AND,andres,0,1,1
DOM-BAN,baní,7,5,-2
DOM-BAR,barahona,2,1,-1
DOM-VIS,bella vista,1,1,0
DOM-BON,bonao,3,4,1
DOM-CIP,caribbean ind. park,14,15,1
DOM-CIB,cibernético,8,9,1
DOM-COT,cotuí,1,1,0
DOM-CHE,chemtec,5,5,0
DOM-DOS,dos rios,1,1,0
DOM-LIM,el limonal,3,2,-1
DOM-SEI,el seibo,2,1,-1
DOM-ESP,esperanza,6,8,2
DOM-EXC,excel boca chica,2,2,0
DOM-GUR,gurabo,8,6,-2
DOM-HAI,hainamosa,12,8,-4
DOM-HAT,hato mayor,2,0,-2
DOM-HAN,hato nuevo,3,4,1
DOM-CRI,san cristóbal (itabo),31,37,6
DOM-ARM,la armería,8,7,-1
DOM-HIS,la hispaniola,1,1,0
DOM-PAL,la palma,5,4,-1
DOM-ROM,la romana i,7,7,0
DOM-RII,la romana ii,4,3,-1
DOM-VEG,la vega,22,19,-3
DOM-LAS,las américas,23,22,-1
DOM-ALC,los alcarrizos,12,15,3
DOM-MIN,los mina,1,1,0
DOM-MOC,moca,7,8,1
DOM-MUT,multiparques,2,2,0
DOM-MUL,multimodal caucedo,2,2,0
DOM-NAV,navarrete,1,2,1
DOM-NIG,nigua,9,10,1
DOM-PAB,palmar abajo,1,1,0
DOM-PAM,palmarejo,6,6,0
DOM-PED,pedernales,1,1,0
DOM-PIS,pisano,37,28,-9
DOM-PUE,puerto plata,6,10,4
DOM-QUI,quisqueya,2,0,-2
DOM-SAL,salcedo,2,2,0
DOM-FRA,san fco. de macorís,2,1,-1
DOM-ISI,san isidro,38,37,-1
DOM-MAC,san pedro demacorís,42,43,1
DOM-S12,santiago,65,69,4
DOM-JAN,santiago - jánico,1,2,1
DOM-SLI,parque tecnológico de santiago,8,8,0
DOM-TAM,tamboril,5,5,0
DOM-ALT,villa altagracia,9,7,-2
DOM-MEL,villa mella,3,5,2
DOM-ZFE,zonas francas especiales,82,114,32
