norte_sur,enter_2015,enter_2016,variation_absolute
bonao,4,0,-4
baní,5,0,-5
caribbean industrial park,29,0,-29
barahona,3,0,-3
conacado industrial park,2,0,-2
interexport free zone,1,0,-1
dos ríos,1,0,-1
la armería,5,0,-5
ecopark industrial free zone,2,0,-2
multiparques,2,0,-2
el limonal,6,0,-6
nigua,10,0,-10
esperanza,5,0,-5
nigua ii,1,0,-1
gurabo,8,0,-8
pedernales,1,0,-1
la flor dominicana,1,0,-1
san cristóbal (itabo),38,0,-38
la herradura industrial park,1,0,-1
villa altagracia,4,0,-4
la hispaniola,1,0,-1
zona franca industrial hit,2,0,-2
la palma,10,0,-10
zona franca industrial del sur,1,0,-1
la vega,15,0,-15
zona franca 6 de noviembre,1,0,-1
los candelones,3,0,-3
z.f.e. - azua,1,0,-1
los rieles,2,0,-2
z.f.e. - independencia,1,0,-1
luperón verde,1,0,-1
z.f.e. - peravia,4,0,-4
moca,8,0,-8
z.f.e. - san cristóbal,11,0,-11
navarrete,11,0,-11
z.f.e. - san josé de ocoa,3,0,-3
palmar abajo,1,0,-1
z.f.e. - san juan de la maguana,1,0,-1
palmarejo,5,0,-5
parque industrial cdf,1,0,-1
parque industrial ctq,2,0,-2
distrito nacional y provincia santo domingo,0,0,0
parque industrial eduardo león jiménes,5,0,-5
andrés,2,0,-2
bella vista,1,0,-1
parque industrial inetab,2,0,-2
cibernético,8,0,-8
parque industrial kg compañía comercial,1,0,-1
excel boca chica,1,0,-1
parque industrial y de servicios yaque,1,0,-1
global zona franca ind.,2,0,-2
parque tecnológico de santiago,11,0,-11
hainamosa,5,0,-5
puerto plata,9,0,-9
hato nuevo,4,0,-4
san francisco de macorís,2,0,-2
intercontinental,3,0,-3
santiago,68,0,-68
las américas,30,0,-30
santiago-navarrete (pisano),25,0,-25
los alcarrizos,9,0,-9
tamboril,12,0,-12
multimodal caucedo,10,0,-10
z.f.e. - duarte,2,0,-2
parque z.f. tecnológica de herrera,2,0,-2
z.f.e. - espaillat,5,0,-5
perlav,3,0,-3
z.f.e. - la vega,10,0,-10
san isidro,36,0,-36
z.f.e. - maría trinidad sánchez,2,0,-2
villa mella,5,0,-5
z.f.e. - montecristi,2,0,-2
zf ind. y de servicios norte infiesto,1,0,-1
z.f.e. - puerto plata,2,0,-2
z.f.e. - samaná,2,0,-2
z.f.e. - distrito nacional,20,0,-20
z.f.e. - santiago,25,0,-25
z.f.e. - santo domingo,16,0,-16
z.f.e. - valverde,1,0,-1
