popdensity,childDeathrate2016,id,sc,ntl,oco,inv,homicides,hompc,deaths,pmpc,pop,births,dropout,area
357.9740597,1.344582125,0,18,1.968474843,408.1421585,927893712.6,207,2.038611499,255,1.29E-05,1015397,18965,3.7,2836.51
184.2221322,1.038135593,1,2,0.835732301,407.2068718,18024474.61,75,2.536002786,49,3.75E-05,295741,4720,7.9,1605.35
44.48815033,1.70212766,2,0,0.146057364,407.5789505,0,14,2.206496556,12,0.000215644,63449,705,4.4,1426.2
64.4028015,0.542215337,3,1,0.240849824,409.63268,1237451,13,1.518514192,7,0.000115934,85610,1291,2.9,1329.29
177.2922824,1.51371807,4,1,1.02033235,407.5203226,48503969.15,67,1.652240389,96,4.18E-05,405510,6342,4,2287.24
127.1065854,1.25698324,5,0,0.717279791,407.5448655,0,23,1.5127996,27,8.97E-05,152036,2148,2,1196.13
126.7809872,1.298701299,6,0,0.364463651,408.3979297,0,21,1.940168887,18,7.15E-05,108238,1386,3.5,853.74
208.5962739,1.7106201,7,2,1.187587834,409.1820381,835708415.6,23,1.339124562,48,6.34E-05,171754,2806,3.7,823.38
108.5559222,0.800970874,8,2,0.346779282,408.2441132,25000000,40,2.118419659,33,7.06E-05,188820,4120,3.3,1739.38
401.484823,0.557232412,9,2,2.142139519,408.7490128,216413347.2,49,1.86630407,24,3.76E-05,262551,4307,4.4,653.95
172.3515956,0.961538462,10,3,0.893092799,407.599996,220004892.2,44,2.572497661,29,0.000101688,171040,3016,2.7,992.39
59.56504794,3.439597315,11,0,0.389277005,408.0355954,0,16,1.39586823,41,8.89E-05,114624,1192,5.4,1924.35
16.27115539,1.70212766,12,1,0.061681527,407.32659,12000000,5,1.481262035,4,0.000364115,33755,235,3.4,2074.53
243.1562606,1.424694708,13,1,1.164317796,407.922056,7576911.08,33,1.712862037,42,6.98E-05,192660,2948,3.8,792.33
177.8196341,1.593806922,14,2,0.928121903,407.8060043,13735084.78,34,1.031922836,70,2.85E-05,329482,4392,3.9,1852.9
66.12695815,1.337295691,15,0,0.152932726,406.2963087,0,11,1.944665429,9,0.000285925,56565,673,3.6,855.4
63.45173825,1.725394897,16,0,0.352303565,408.5535586,0,42,1.854435633,71,6.84E-05,226484,4115,4.1,3569.39
51.68385622,1.384767557,17,0,0.283286196,408.2186544,0,5,0.870655429,14,0.000214739,57428,1011,3.6,1111.14
9719.934891,0.96502962,18,0,45.88345381,409.3489774,0,208,2.048958282,303,1.34E-05,1015150,31398,3.6,104.44
51.07230804,1.371428571,19,1,0.151329189,408.1978419,750000,15,1.643727536,12,0.000100308,91256,875,3.1,1786.8
282.8086618,1.840490798,20,1,1.142843995,406.5022045,17494945.85,36,1.517904954,51,4.53E-05,237169,2771,4.9,838.62
209.6882592,1.166407465,21,0,0.950628078,406.635405,0,13,1.407642416,15,0.000127985,92353,1286,2.7,440.43
28.0113036,1.856148492,22,0,0.132279666,407.5083332,0,5,0.889632226,8,0.000247604,56203,431,2.5,2006.44
77.68263104,1.79245283,23,0,0.283553443,408.2337822,0,18,1.807101911,19,0.000157514,99607,1060,2.3,1282.23
86.83885187,1.454005935,24,0,0.291491277,408.4146786,0,26,1.182592242,49,7.08E-05,219856,3370,4.8,2531.77
64.18837499,2.045454545,25,0,0.254795227,406.8202289,0,16,2.442039714,18,0.000175838,65519,880,3.6,1020.73
107.1815808,1.546391753,26,0,0.984484622,407.3513583,0,72,2.231499475,81,2.46E-05,322653,5238,2.8,3010.34
111.134614,1.36532892,27,0,0.352088873,406.8110828,0,14,0.990582392,33,6.14E-05,141331,2417,2.9,1271.71
2075.545382,2.346663238,28,15,7.18532451,409.1450685,983829767.2,370,1.369341842,730,5.00E-06,2702028,31108,3.5,1301.84
71.86775779,1.888888889,29,0,0.194154215,408.5061516,0,28,1.480181428,34,6.39E-05,189166,1800,3,2632.14
483.2449813,1.953363448,30,5,1.743582338,408.1555704,505824426.3,95,1.553107277,160,2.44E-05,611677,8191,2.7,1265.77
238.9028723,1.421282799,31,2,1.39329124,409.6449634,318600072.8,42,1.400312737,78,3.72E-05,299933,5488,3.9,1255.46
