code,park_2001,ele01,tss01,inf01,wat01,com01
DOM-AZU,Azua,0,0,0,0,0
DOM-BAN,Baní,3153149.06,9424323.58,582717.94,320910,0
DOM-BAR,Barahona,321000,330000,38400,53400,0
DOM-BAY,Bayaguana,72456,140000,0,0,0
DOM-BON,Bonao,3240635.45,8682549.77,835232.49,28432,0
DOM-CIP,CaribbeanInd.Park,23042736.06,5865570.56,5248053.79,764430.72,0
DOM-CHE,Chem-Tec,9328406.08,8646283.47,1005477.13,425735.6,0
DOM-CIB,Cibernetico,0,0,0,0,0
DOM-COT,Cotuí,251000,561580.54,25668.49,14353,0
DOM-ESP,Esperanza,23236495.09,14099855.7,1751138.77,259157,0
DOM-EXC,ExcelBocaChica,362000,513000,61500,19925,0
DOM-SEI,ElSeibo,0,790246,79024,60000,0
DOM-GLO,Global,0,1209000,107800,0,0
DOM-GUR,Gurabo,7685350.16,6301187,1165096,395066,0
DOM-HAI,Hainamosa,6442176.72,4741768,119995,216586,0
DOM-HAT,HatoMayor,191325.4,1464406.36,66213.43,53991,0
DOM-HAN,HatoNuevo,0,26000,0,0,0
DOM-HIG,Higuey,2553200,5138419,429090,106610,0
DOM-CRI,Itabo,73122148.68,20020772.09,4739782.21,3032356.37,0
DOM-JAI,Jaibón,205385.11,95679.48,15980.06,18000,0
DOM-ARM,LaArmería,2419200.04,2921492.85,281005.92,81700,0
DOM-ROM,LaRomanaI,49743540.42,33256452.12,3256054,1597092.15,0
DOM-RII,LaRomanaII,8627763.89,3962954.44,624279.65,412804,0
DOM-VEG,LaVega,18458617.35,87093851.53,10642320.08,813431.79,0
DOM-LAG,LagunaPrieta,312000,132300,65520,18500,0
DOM-LAS,LasAméricas,47191306.25,54461047.49,4016915.25,1056567.94,0
DOM-ALC,LosAlcarrizos,9991975,5522545.9,664740.87,303304.5,0
DOM-MIN,Losminas,341288.87,82438.15,40927.83,0,0
DOM-LUN,Luna,0,0,0,0,0
DOM-MOI,Montecristi,42202.73,0,0,0,0
DOM-MOC,Moca,11848330.33,13219724.88,1540252.7,28169,0
DOM-NAV,Navarrete,2833561.7,2534621,149321,216175.25,0
DOM-NIG,Nigua,10773658.69,6300954.18,662848.31,261827.5,0
DOM-PAB,PalmarAbajo,0,0,0,0,0
DOM-PAM,Palmarejo,848991,1996525,310970,0,0
DOM-PED,Pedernales,24000,108,0,0,0
DOM-PIS,Pisano,3694857.27,2240227.42,808119.03,1636405.67,0
DOM-PON,Pontezuela,209200,158505,29895,65800,0
DOM-PUE,PuertoPlata,6382882.63,6419805.95,631521.55,129193,0
DOM-QUI,Quisqueya,0,0,0,0,0
DOM-SAL,Salcedo,0,0,0,0,0
DOM-FRA,SanFco.deMacorís,1262821,2471334,169572,144790,0
DOM-S12,SantiagoIyII,94383489.6,71771272.25,10063519.18,12194254.78,0
DOM-ISI,SanIsidro,37173666.23,18061333.76,3489325.33,1092184.99,0
DOM-JAN,Santiago-Jánico,6760855.85,756000,175778,552421.93,0
DOM-SLI,Santiago-Licey,1543339.11,1244326.49,226326.05,93684.86,0
DOM-MAC,SanPedrodeMacorís,42492996.64,40567674.67,49587329.02,941548.7,0
DOM-TAM,Tamboril,1280000,315000,24000,6000,0
DOM-ALT,VillaAltagracia,1175000,3806394.08,290000,139000,0
DOM-MEL,VillaMella,6283739.67,6326465.86,1206755.16,99000,0
SPE-DN1,ZFEDistritoNac.,8266555.08,4613840.03,3432901.87,400313.11,0
SPE-HIG,ZFEHiguey,1999819,434998,77544,42330,0
SPE-VEG,ZFELaVega,222720,81000,2495,8460,0
SPE-LRO,ZFELaRomana,658273,116332,25813,14110,0
SPE-TRI,ZFEMa.TrinidadS.,0,44923.81,14053,10359,0
SPE-MON,ZFEMontecristi,0,0,0,270000,0
SPE-POP,ZFEPuertoPlata,2250000,460000,80000,110000,0
SPE-SCR,ZFESanCristóbal,1352139.53,1172758.64,90652.87,23188.5,0
SPE-SAN,ZFESantiago,7872855,3622452.24,541511,2359859,0
DOM-ZOF,Zofinma(Mao),420000,540000,26000,9000,
