code,wat00,wat01,wat02,wat03,wat04,wat05,wat06,wat07,wat08,wat09,wat10,wat11,wat12,wat13,wat14,wat15,wat16,wat17,wat18,wat19
DOM-6NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.55,20654.15,0.0,8500.0
DOM-ALC,464354.0,303304.5,175151.74,449473.79,1017732.0,920207.21,877829.0,936269.0,1435004.34,1217425.02,1261781.85,1493500.5,1192078.77,789742.5,747952.08,1435953.34,669.42,847839.06,0.0,453229.0
DOM-ALT,72000.0,139000.0,458376.4,325540.0,237188.0,266100.0,250468.6,81919.6,114598.0,84833.6,49118.0,55852.5,76099.0,109895.2,131185.34,215511.24,294.3,392173.15,0.0,462740.86
DOM-AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156000.0,0.0,70000.0,97718.0,152212.0,131630.0,62040.0,201.45,161921.0,0.0,154042.8
DOM-ARM,86750.0,81700.0,171953.0,37178.0,343650.0,179433.0,88058.0,341660.0,75021.9,251406.7,107733.0,118693.0,244911.0,194932.61,43312.1,722143.9,951.47,730737.32,0.0,657895.0
DOM-AZU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-BAN,129226.0,320910.0,185969.6,310655.86,301136.0,462374.0,404351.8,353703.8,278929.0,246166.66,322045.0,362455.08,286146.0,157783.91,289496.4,429835.08,766.45,298880.0,0.0,491110.19
DOM-BAR,36750.0,53400.0,0.0,0.0,58860.0,113000.0,113000.0,400000.0,264000.0,172000.0,128552.0,128552.4,128552.4,228688.4,67802.0,605755.5,1728.01,144000.0,0.0,144000.48
DOM-BAY,27000.0,0.0,10400.0,10400.0,24000.0,8550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-BON,35432.0,28432.0,32522.0,907728.78,234589.08,556297.8,371096.2,262747.91,120057.21,33491.2,44658.4,66988.0,61405.0,84987.0,85987.6,144000.0,144.0,144000.0,0.0,173065.0
DOM-CAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15992.06,0.0,0.0
DOM-CAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-CDF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549903.74,434475.0,682.71,526211.66,0.0,764052.3
DOM-CHE,345045.0,425735.6,196905.0,177396.8,246924.0,209040.6,233961.6,244401.23,171369.0,166670.99,142915.55,217974.5,230259.6,218541.0,205647.2,222407.2,167.81,274561.57,0.0,710374.37
DOM-CIB,0.0,0.0,0.0,0.0,0.0,0.0,10105.0,0.0,79095.8,20395.91,14230.0,0.0,25000.0,24000.0,105000.0,109832.0,67.92,698927.77,0.0,115871.81
DOM-CIP,457832.0,764430.72,704833.4,1085400.28,3830485.58,8757942.18,13653532.46,9876949.39,11571109.6,11946023.29,5640274.43,13561726.1,13780807.91,18248566.19,25030231.76,22133148.27,21575.69,15743215.26,0.0,9763126.96
