code,park,inv04
DOM-AZU,Azua,40000
DOM-BAN,Baní,11476981.97
DOM-BAR,Barahona,13000000
DOM-BAY,Bayaguana,285000
DOM-VIS,Bella Vista,268000
DOM-BON,Bonao,9978904.25
DOM-CIP,Caribbean Ind. Park,87086690.8
DOM-CHE,Chemtec Enterprises,12451195
DOM-CIB,Cibernético,200022
DOM-COT,Cotuí,991500
DOM-DPE,Don Pedro,300000
DOM-RAF,Don Rafael,90000
DOM-ESP,Esperanza,16494059.37
DOM-EXC,Excel Boca Chica,3270065.43
DOM-SEI,El Seibo,1200000
DOM-GLO,Global,7733334
DOM-GUR,Gurabo,10256846.97
DOM-HAI,Hainamosa,7538698
DOM-HAT,Hato Mayor,1141975
DOM-HAN,Hato Nuevo,2750000
DOM-HIG,Higüey,1220000
DOM-CRI,Itabo,160500579.5
DOM-JAI,Jaibón,538782
DOM-ARM,La Armería,8576310
DOM-CAN,La Canela,105300
DOM-PAL,La Palma,1000000
DOM-ROM,La Romana I,64475784.34
DOM-RII,La Romana II,6113989.41
DOM-VEG,La Vega,25048742.11
DOM-LAG,Laguna Prieta,1000000
DOM-LAS,Las Américas,185309783.6
DOM-ALC,Los Alcarrizos,23755065.7
DOM-MIN,Los Mina,549949
DOM-MOI,Montecristi,1000000
DOM-MOC,Moca,21035018.44
DOM-MUL,Multimodal Caucedo,98458000
DOM-NAV,Navarrete,5890000
DOM-NIG,Nigua,49377353.6
DOM-PAB,Palmar Abajo,100000
DOM-PAM,Palmarejo,30828690.65
DOM-PED,Pedernales,300000
DOM-PEV,PEVISA,15000000
DOM-PIS,PISANO,51031152.32
DOM-PON,Pontezuela,1165689.57
DOM-PUE,Puerto Plata,7243739.7
DOM-QUI,Quisqueya,200000
DOM-SAL,Salcedo,1000000
DOM-FRA,San Fco. de Macorís,5617302.37
DOM-ISI,San Isidro,119380624.7
DOM-MAC,San Pedro de Macorís,100904818.5
DOM-S12,Santiago,299285306.2
DOM-SLI,Santiago - Licey,5896089.89
DOM-JAN,Santiago - Jánico,16141588.76
DOM-TAM,Tamboril,2960950
DOM-MEL,Villa Mella,14102621.34
DOM-ALT,Villa Artagracia,23100000
DOM-LUN,Zona Franca Ind. Luna,1361523.24
DOM-ZOF,ZOFINMA (Mao),610000
DOM-ZFE,Zonas Francas Especiales,153468289
