code,parks,inv07
DOM-BAN,Baní,10623336.78
DOM-BAR,Barahona,33000000
DOM-BAY,Bayaguana,95000
DOM-VIS,Bella Vista,113481652
DOM-BON,Bonao,7902683.75
DOM-CIP,Caribbean Ind. Park,106653235.4
DOM-CHE,Chemtec,13078586.88
DOM-CIB,Cibernético,4812539.37
DOM-COT,Cotuí,332690
DOM-DOS,Dos Ríos,70000000
DOM-DPE,Don Pedro,205000
DOM-ESP,Esperanza,26105748.75
DOM-EXC,Excel Boca Chica,2329221.93
DOM-LIM,El Limonal,4049887.1
DOM-SEI,El Seibo,270000
DOM-GUR,Gurabo,24958839.6
DOM-HAI,Hainamosa,9095812.52
DOM-HAT,Hato Mayor,600000
DOM-HAN,Hato Nuevo,1568802.79
DOM-CRI,Itabo,192590839.4
DOM-JAI,Jaibón,1125000
DOM-ARM,La Armería,16658481.31
DOM-HIS,La Hisponiola,1200000
DOM-PAL,La Palma,4556000
DOM-ROM,La Romana I,107540272.8
DOM-RII,La Romana II,5483987.29
DOM-VEG,La Vega,58628083.13
DOM-LAG,Laguna Prieta,250000
DOM-LAS,Las Américas,184298723.9
DOM-ALC,Los Alcarrizos,40192104.07
DOM-MIN,LosMina,290000
DOM-MOC,Moca,11104546.94
DOM-MUL,Multimodal Caucedo,10050000
DOM-MUT,Multiparques,17400000
DOM-NAV,Navarrete,3000000
DOM-NIG,Nigua,95595446.6
DOM-PAB,Palmar Abajo,75000
DOM-PAM,Palmarejo,57949101.84
DOM-PED,Pedernales,600000
DOM-PIS,PISANO,292936282.9
DOM-PUE,Puerto Plata,3939774
DOM-QUI,Quisqueya,500000
DOM-SAL,Salcedo,426870
DOM-FRA,San Fco. de Macorís,645107.69
DOM-ISI,San Isidro,149106646.7
DOM-MAC,San Pedro de Macorís,117742843.3
DOM-S12,Santiago,236055928.7
DOM-SLI,Santiago - Licey,6624658.03
DOM-JAN,Santiago - Jánico,28167965.1
DOM-TAM,Tamboril,11281686
DOM-ALT,Villa Artagracia,11473401.61
DOM-MEL,Villa Mella,3515124.09
DOM-LUN,Zona Franca Ind. Luna,300000
DOM-ZFE,Zonas Francas Especiales,356838732.8
