park, eterprises, employment, investmentUS, divisasUS
Santiago-Navarrete (PISANO),11,1023,15982671.19,8748000.85
San Pedro de Macorís,7,526,17734308.31,4874446.86
Caribbean Industrial Park,6,702,18111748.14,8525168.22
La Vega,6,963,9681500.29,10730408.58
Tamboril,5,733,7800488.16,7077644.36
Bonao,4,1078,15737152.81,10747389.81
Baní,3,94,1770902.97,882053.82
Navarrete,3,196,2940245.64,3602892.54
Chemtec,2,141,2507470.81,2494211.94
Cibernético de Santo Domingo,2,252,22345620,3783194.95
Gurabo,2,77,1150617.97,893753.88
Multimodal Caucedo,2,36,715079.19,606379.85
Nigua,2,53,1142702.99,679740.03
Parque Ind. Eduardo León Jiménes,2,43,709720.13,425963.61
Andrés,1,26,452593.61,244663.89
Barahona,1,134,2059507.04,1455450
Cotuí,1,309,1515171,1315883.07
La Armería,1,15,252901.38,341229.11
La Romana I,1,1889,55469495.8,70623095.85
La Romana II,1,30,428102.91,214310.79
Los Rieles,1,28,153768.57,109847.95
Parque Z.F. Tecnológica de Herrera,1,95,547563.38,877593.65
PID Free Zone Park,1,74,846260.13,1420292.38
Puerto Plata,1,92,732397.18,490323.78
Salcedo,1,16,1097555.79,151228.03
San Cristóbal (Itabo),1,303,25869660.04,5286725.77
San Francisco de Macorís,1,97,399872.7,391592.62
San Isidro,1,31,114353.18,407112.34
Santiago,1,294,1606623.35,2065284.73
Villa Altagracia,1,20,151452.87,462422.01
Zona Franca Boca de Mao,1,37,307652.31,329815.53
Zona Franca Ind. y de Servicios Norte Infiesto,1,30,929964.31,2753287.06
Zona Franca Industrial HIT,1,25,486417.38,644230.49
Zona Franca Industrial La Habanera,1,68,1378228.78,1763242.65
Zona Franca Industrial Riosur,1,349,3759196.61,2895777.45
ZFS Distrito Nacional,12,1542,8403657.47,21073869.8
ZFS. Santiago,6,800,1858171.68,6957067.14
ZFS. La Altagracia,1,214,2060972.36,2544752
ZFS. Santo Domingo,1,59,364377.98,183701.89
ZFE. San Cristóbal,1,54,653754,1628791
ZFE. Hato Mayor,1,27,1354666.56,1211412.04
