code,name,enterprises ,region ,latitude,longitude
DOM-AND,Andrés ,2,D.N & S.D,18.44233642,-69.64978048
DOM-BAN,Baní ,4,South,18.25315476,-70.40511741
DOM-BAR,Barahona ,4,South,18.22153648,-71.10145235
DOM-VIS,Bella Vista ,1,D.N & S.D,18.61321459,-69.70844704
DOM-BON,Bonao ,5,North,18.92425177,-70.40416473
DOM-CIP,Caribbean Industrial Park ,33,North,19.410116,-70.661171
DOM-CHE,Chemtec ,10,East,18.45851329,-69.28651371
DOM-CIB,Cibernético ,8,D.N & S.D,18.45320537,-69.66257273
DOM-CON,Conacado Industrial Park ,2,North,19.32373849,-70.27604128
DOM-DOS,Dos Ríos  ,1,North,18.91241012,-70.37486281
DOM-ECO,Ecopark Industrial Free Zone ,3,North,19.43705956,-70.70483542
DOM-LIM,El Limonal ,5,North,19.44195379,-70.63858151
DOM-SEI,El Seibo ,2,East,18.76891317,-69.05392215
DOM-ESP,Esperanza ,5,North,19.59381238,-70.97901224
DOM-EXC,Excel Boca Chica ,1,D.N & S.D,18.45806505,-69.63004786
DOM-GLO,Global Zona Franca Ind. ,2,D.N & S.D,18.53043559,-70.01195079
DOM-GUR,Gurabo ,14,North,19.48857084,-70.658343
DOM-HAI,Hainamosa ,3,D.N & S.D,18.51389836,-69.81584618
DOM-HAT,Hato Mayor ,1,East,18.76258519,-69.26597733
DOM-HAN,Hato Nuevo ,4,D.N & S.D,18.53692314,-70.06254185
DOM-TAL,Intercontinental ,2,D.N & S.D,18.56054395,-70.07035003
DOM-INT,Interexport Free Zone ,1,South,18.21182991,-71.11042584
DOM-ARM,La Armería ,6,South,18.42129421,-70.11766012
DOM-FLO,La Flor Dominicana ,1,North,19.48619912,-70.62006966
DOM-HIP,La Herradura Industrial Park  ,1,North,19.45074236,-70.74300157
DOM-HIS,La Hispaniola  ,1,North,18.92390206,-70.40485331
DOM-PAL,La Palma ,10,North,19.47951791,-70.59727463
DOM-ROM,La Romana I ,4,East,18.41862181,-68.9476164
DOM-RII,La Romana II ,6,East,18.44349389,-68.97852859
DOM-VEG,La Vega ,19,North,19.24673204,-70.55649026
DOM-LAS,Las Américas ,31,D.N & S.D,18.46024249,-69.7068226
DOM-ALC,Los Alcarrizos ,9,D.N & S.D,18.52119218,-70.05086541
DOM-CAD,Los Candelones ,6,North,19.55066181,-70.85609369
DOM-VER,Luperón Verde ,1,North,19.79325036,-70.68090459
DOM-MOC,Moca  ,8,North,19.39023321,-70.5372859
DOM-MUL,Multimodal Caucedo ,10,D.N & S.D,18.42636819,-69.63506753
DOM-NAV,Navarrete ,12,North,19.56817155,-70.87355309
DOM-NIG,Nigua ,10,South,18.39069362,-70.04615509
DOM-PAM,Palmarejo ,5,North,19.53965534,-70.79354494
DOM-CTQ,Parque Industrial CTQ ,2,North,19.42740185,-70.5940585
DOM-LEO,Parque Industrial Eduardo León Jiménes ,6,North,19.46227703,-70.671318
DOM-INE,Parque Industrial INETAB ,3,North,19.48954984,-70.72195582
DOM-SLI,Parque Tecnológico de Santiago ,11,North,19.4462542,-70.639953
DOM-HER,Parque Z.F. Tecnológica de Herrera ,3,D.N & S.D,18.44047267,-69.9817525
DOM-PED,Pedernales ,1,South,18.03212506,-71.7361763
DOM-PUE,Puerto Plata ,9,North,19.80291323,-70.72350803
DOM-CRI,San Cristóbal (Itabo) ,35,South,18.38627302,-70.04084591
DOM-FRA,San Francisco de Macorís ,2,North,19.27537126,-70.28770858
DOM-ISI,San Isidro ,35,D.N & S.D,18.50033327,-69.7873092
DOM-MAC,San Pedro de Macorís ,41,East,18.45274371,-69.28915784
DOM-S12,Santiago ,67,North,19.47670339,-70.72489004
DOM-PIS,Santiago-Navarrete (PISANO) ,31,North,19.50852054,-70.75994998
DOM-TAM,Tamboril ,15,North,19.48142597,-70.63333181
DOM-ALT,Villa Altagracia ,3,South,18.68704785,-70.18063175
DOM-MEL,Villa Mella ,5,D.N & S.D,18.522265,-69.90166418
DOM-INF,ZF Ind. y de Servicios Norte Infiesto ,1,D.N & S.D,18.49179288,-69.98528116
DOM-6NO,Zona Franca 6 de Noviembre ,1,South,18.43423576,-70.07709655
DOM-EMI,Zona Franca Industrial Emimar ,5,North,19.42494677,-70.62298095
DOM-ZFE,Zona Franca Mao Zofinma ,1,North,19.5537545,-71.09166028
