Name,Opened,,Closed,Type,code 
P. Ind. Haina,1994,7,2001,private,DOM-IHA
Azua,2001,4,2005,public,DOM-AZU
Don Rafael,2002,3,2005,private,DOM-RAF
Higuey,1990,16,2006,public,DOM-HIG
La Canela,2003,3,2006,private,DOM-CAN
Montecristi,2001,5,2006,public,DOM-MOI
PEVISA,2004,2,2006,private,DOM-PEV
Silver Key Park,2005,2,2007,private,DOM-KEP
Zofinma (Mao),1993,14,2007,private,DOM-ZOF
Bayaguana,1999,9,2008,public,DOM-BAY
Don Pedro,2004,4,2008,private,DOM-DPE
Laguna Prieta,1997,11,2008,private,DOM-LAG
Zona Franca Ind. Luna,2001,7,2008,private,DOM-LUN
Cotui,1990,20,2010,public,DOM-COT
Los Minas,2000,10,2010,public,DOM-MIN
Jaibón,2000,14,2014,public,DOM-JAI
Salcedo,1999,16,2015,public,DOM-SAL
Los Robles,2013,7986,9999,private,DOM-ROB
Palmar Abajo,1996,8003,9999,private,DOM-PAB
Pontezuela,1997,8002,9999,private,DOM-PON
Andres,2009,,,private,DOM-AND
Baní,1986,,,private,DOM-BAN
Barahona,1989,,,public,DOM-BAR
Bella Vista,2004,,,private,DOM-VIS
Bonao,1988,,,public,DOM-BON
Caribbean Ind. Park,1997,,,private,DOM-CIP
Chemtec Enterprises,1988,,,private,DOM-CHE
Cibernético,2001,,,mix,DOM-CIB
Conacado Ind. Park,2013,,,private,DOM-CON
Dos Ríos,2006,,,private,DOM-DOS
Ecopark Industrial Free Zone,1997,,,private,DOM-ECO
El Limonal,2005,,,private,DOM-LIM
El Seibo,2000,,,public,DOM-SEI
Esperanza,1988,,,public,DOM-ESP
Excel Boca Chica,1995,,,private,DOM-EXC
Global,1995,,,private,DOM-GLO
Gurabo,1993,,,private,DOM-GUR
Hainamosa,1988,,,private,DOM-HAI
Hato Mayor,1990,,,public,DOM-HAT
Hato Nuevo,2001,,,public,DOM-HAN
Intercontinental,2015,,,private,DOM-TAL
Interexport Free Zone,2010,,,private,DOM-INT
La Armería,1990,,,public,DOM-ARM
La Flor Dominicana,2019,,,private,DOM-FLO
La Herradura Industrial Park,2015,,,private,DOM-HIP
La Hisponiola,2005,,,private,DOM-HIS
La Palma,2004,,,private,DOM-PAL
La Romana I,1969,,,private,DOM-ROM
La Romana II,1987,,,private,DOM-RII
La Vega,1987,,,public,DOM-VEG
Las Américas,1989,,,private,DOM-LAS
Los Alcarrizos,1990,,,public,DOM-ALC
Los Candelones,2017,,,private,DOM-CAD
Los Rieles,2013,,,private,DOM-RIE
Moca,1989,,,public,DOM-MOC
Multimodal Caucedo,2002,,,private,DOM-MUL
Multiparques,2007,,,private,DOM-MUT
Navarrete,1996,,,private,DOM-NAV
Nigua,1989,,,private,DOM-NIG
Nigua II,2018,,,private,DOM-NII
Palmarejo,1997,,,private,DOM-PAM
Parque Ind. Eduardo León Jiménes,2018,,,private,DOM-LEO
Parque Ind. KG Compañía Comercial,2014,,,private,DOM-KGC
Parque Industrial CDF,2014,,,private,DOM-CDF
Parque Industrial CTQ,2015,,,private,DOM-CTQ
Parque Industrial Elva María,2017,,,private,DOM-ELV
Parque Industrial INETAB,2016,,,private,DOM-INE
Parque Industrial y de Servicios Yaque,2010,,,private,DOM-YAQ
Parque Tecnológico de Santiago,1993,,,private,DOM-SLI
Parque Z.F. Ind. Tecnológica de Herrera,2013,,,private,DOM-HER
Pedernales,1991,,,public,DOM-PED
PERLAV,2010,,,private,DOM-PER
PISANO,1993,,,private,DOM-PIS
Puerto Plata,1983,,,mix,DOM-PUE
Quisqueya,2001,,,public,DOM-QUI
San Cristóbal (Itabo),1986,,,private,DOM-CRI
San Fco. de Macorís,1990,,,public,DOM-FRA
San Isidro,1986,,,private,DOM-ISI
San Pedro de Macorís,1973,,,public,DOM-MAC
Santiago - Jánico,1997,,,private,DOM-JAN
Santiago I y II,1974,,,mix,DOM-S12
Tamboril,1997,,,private,DOM-TAM
Villa Artagracia,1988,,,private,DOM-ALT
Villa Mella,1989,,,public,DOM-MEL
ZF. Ind. y de Servicios Norte Infiesto,2014,,,private,DOM-INF
Zona Franca 6 de Noviembre,2016,,,private,DOM-6NO
Zona Franca Bahía de Maimón,2015,,,private,DOM-MAI
Zona Franca Hit,2018,,,private,DOM-HIT
Zona Franca Ind. Del Sur,2014,,,private,DOM-SUR
Zona Franca Ind. Emimar,2014,,,private,DOM-EMI
Zona Franca Ind. Luperon Verde,2019,,,private,DOM-VER
Zona Franca Ind. SAG,2012,,,private,DOM-SAG
Zona Franca Industrial del Norte,2016,,,private,DOM-NOR
Zona Franca Industrial Riosur,2017,,,private,DOM-RIO
Zona Franca Jobo Industrial,2015,,,private,DOM-JOB
Zonas Francas Especiales,,,,na,DOM-ZFE
