code,park,inv00,inv01,inv02,inv03,inv04,inv05,inv06,inv07,inv08,inv09,inv10,inv11,inv12,inv13,inv14,inv15,inv16,inv17,inv18,inv19
DOM-6NO,,,,,,,,,,,,,,,,,,1890354,2471893.2,0,1250000
DOM-ALC,Los Alcarrizos,19853638.95,19521896.75,14683246,16110722.99,23755065.7,20419701.5,22705077.88,40192104.07,37723217.65,28511505.5,21776166.76,22307044.2,23142258.73,29017608.73,28846815.7,27461136.4,25518598.92,24789743,0,8580213.27
DOM-ALT,Villa Artagracia,33900000,3300000,4400000,23000000,23100000,18054631.52,6644269.47,11473401.61,13288869.47,10076670.56,7527225,5827436,5826800,3726034.41,5407289.4,5949306.9,11435533.57,9699706.8,0,48460668.06
DOM-AND,,,,,,,,,,,148803,150803,884314,746667,733390.96,789922,803290,935650,1607033,0,2450800
DOM-ARM,La Armer’a,8620740.19,5016030,10355021,7131271,8576310,9207504.27,11921351.15,16658481.31,16097596.35,7922821.33,8538776.22,7005128.7,7648324.93,2234206.89,2728910.8,5452953.6,7167910.28,6900999.8,0,2416091.75
DOM-AZU,,,900000,450000,40000,40000,,,,,,,,,,,,,,,
DOM-BAN,Ban’,15539933.25,12655436.88,9491743,8464186.23,11476981.97,11633110.54,11181251.34,10623336.78,30910851.47,28193395,10800470.35,11832510.3,10903773.99,4495089.35,4170565.5,5021427.1,7576911.08,9324411.9,0,5116960.72
DOM-BAR,Barahona,6064000,15789255,14750000,18400000,13000000,26000000,25800000,33000000,33000000,5000000,8000000,8000000,8000000,10125453.56,14978000,14978000,17700000,14978000,0,33167891.07
DOM-BAY,Bayaguana,566335,15000,90000,40000,285000,107941,105941,95000,,,,,,,,,,,,
DOM-BON,Bonao,7371588.75,6199952,8030856,6515255.25,9978904.25,12456822.73,16068093.86,7902683.75,5229793.4,3090140.81,2710115,2502840,2674382,3091531.17,3326537,3198062,3087012.18,3053763.1,0,1655964
DOM-CAD,,,,,,,,,,,,,,,,,,,411338.6,0,122704.59
DOM-CAN,,,,,75000,105300,80000,,,,,,,,,,,,,,
DOM-CDF,,,,,,,,,,,,,,,,9951283.2,12385321.3,13877081.07,14327027.9,0,18385681.08
DOM-CHE,Chemtec Enterprises,13904205.18,15028164.77,10843940,11701944,12451195,12578026,11544005.88,13078586.88,11670132.56,9529543.84,9674380.13,12627628.3,22727726.14,15744854.67,10086381.8,13252725.1,11888282,13073325.6,0,21526217.53
DOM-CIB,,,100000,370000,850000,200022,447688.04,687068,4812539.37,27578537.13,26346861.1,28720043.69,23317650.2,8287450.3,3113738.42,14723507.1,13991905,14983445.16,33214209.4,0,35323725.42
DOM-CIP,Caribbean Ind. Park,18051016,50560204.77,46506866.87,41356877,87086690.8,67237667.9,80945068.95,106653235.4,94008689.99,97436928.19,98848558.18,74088828.3,90022192.1,92176467.35,81632133.9,86613144.4,75017908.83,85202608.5,0,87093861.96
DOM-CON,,,,,,,,,,,,,,,17850000,18200000,17036793.9,14670572.54,15325256,0,13356974.51
DOM-COT,Cotuy,848212.12,647057,707666,674500,991500,1270000,350200,332690,350200,350200,,,,,,,,,,
DOM-CRI,Itabo,128412185.6,173673194,167406327,54751310,160500579.5,227382639.8,255296543.6,192590839.4,176024106.6,170061663.1,223399295.8,303716964.3,353293339.5,393731783.8,457875277.8,327128636.3,400875948.6,361501451.7,0,448782869.8
DOM-CTQ,,,,,,,,,,,,,,,,,7972912.2,4417394.92,4948805,0,4419487.43
DOM-DOS,,,,,,,,70000000,70000000,110000000,110000000,110000000,65161871.9,96729338.25,208986256,208986256,208986256,211987405,169429373,0,171442666
DOM-DPE,,,,,,300000,440900,425000,205000,,,,,,,,,,,,
DOM-ECO,,,,,,,,,,,,,,,,,,,,,21896171.02
DOM-ELV,,,,,,,,,,,,,,,,,,,10000,0,229900.17
DOM-EMI,,,,,,,,,,,,,,,,4030000,4030000,7121521.1,7100000,0,6525063.88
DOM-ESP,Esperanza,25175096,18349267,12978335.35,12821702.37,16494059.37,16458862.26,15128216.15,26105748.75,28691078,25574506,28160673,22456491.7,21562882,13765140,22563480,21882449,19795843.72,16926403.1,0,32673410.71
DOM-EXC,Excel Boca Chica,1505224,1850848,2366666,2429044,3270065.43,2866943.55,1955626.55,2329221.93,3069408,3108964,3323751.86,5980000,8000000,6732500,7930600,8330000,8330000,9000000,0,9600000
DOM-FLO,,,,,,,,,,,,,,,,,,,,,12057937.2
DOM-FRA,San Fco. de Macor’s,5331860,5737738,5276529,5152726.27,5617302.37,2347939.3,1990981.67,645107.69,596096.89,999000,131939.96,1053438.3,588095,572061.16,344510.7,291266.4,3353902.07,3359934.1,0,3364364.76
DOM-GLO,Global,9719625.77,10459813.08,8388888,8888888,7733334,4600000,4900000,,,,,,187420,402925,440900,428211,728733,735289,0,682321
DOM-GUR,Gurabo,5390954,7524131,6173123.44,6210741,10256846.97,7955826.97,16641399.67,24958839.6,12312060.73,10867492.33,7227145.02,6222335,17197448.36,14981963.52,24826481,25429550.4,27261655.52,32908390,0,9078654.8
