code,buiilt00,buiilt01,buiilt02,buiilt03,buiilt04,buiilt05,buiilt06,buiilt07,buiilt08,buiilt09,buiilt10,buiilt11,buiilt12,buiilt13,buiilt14,buiilt15,buiilt16,ocu00,ocu01,ocu02,ocu03,ocu04,ocu05,ocu06,ocu07,ocu08,ocu09,ocu10,ocu11,ocu12,ocu13,ocu14,ocu15,ocu16
DOM-6NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33356.0
DOM-ALC,482462.0,563307.0,563307.6,563307.0,563307.0,563307.0,563307.0,563307.0,563307.0,563307.0,583516.0,583516.0,583516.0,619079.63,619079.63,619079.63,563991.87,482462.0,531735.0,531735.0,523307.0,526195.0,526195.0,510666.0,547120.0,547120.0,563307.0,567166.0,583516.0,386345.12,439920.97,485938.61,428063.29,456251.54
DOM-ALT,202317.26,202317.0,211515.6,239072.0,239072.0,255211.05,225375.63,225375.63,240312.07,240312.07,240312.07,240312.07,240312.07,240312.07,240312.07,240312.07,240312.07,191273.93,184043.0,200515.6,194592.0,150112.32,168176.77,197757.0,212846.0,189276.85,136402.55,121071.47,106936.56,138017.57,138017.57,172672.0,172672.0,172734.0
DOM-AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270488.0,270488.0,270488.0,270488.0,270488.0,64500.0,64500.0,64500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64560.0,64560.0,100250.0,64500.0,64500.0,64500.0,64500.0,64500.0
DOM-ARM,254469.0,275783.0,275783.0,275783.0,337529.0,337529.0,337529.0,337529.0,337529.0,337529.0,337529.0,337529.0,337529.0,310078.93,310078.93,310078.93,337333.2,229066.0,275783.0,275783.0,275783.0,337529.0,337529.0,337529.0,337529.0,337529.0,321213.0,209763.0,318441.0,235255.15,283104.28,279648.41,279648.41,314720.51
DOM-AZU,0.0,48563.0,48563.31,48563.0,48563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32375.0,32375.0,32375.0,16187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-BAN,419156.0,419156.0,419156.0,419156.0,419156.0,380148.0,380148.0,380148.0,380148.0,430138.0,430138.0,430138.0,430138.0,430138.0,430138.0,430138.0,430138.0,402666.0,307882.0,328448.0,276442.0,295440.0,305886.0,270686.0,187639.0,202732.0,200133.0,221675.0,222738.0,129855.0,97135.0,235911.0,235911.0,325286.0
DOM-BAR,235592.0,498249.0,498249.0,498249.0,498249.0,276405.0,276405.0,276405.0,276405.0,276405.0,276405.0,276405.0,276405.0,275197.87,275197.87,275197.87,299420.14,235592.0,498249.0,498249.0,498249.0,276405.0,276405.0,276405.0,226157.0,226157.0,223116.0,221117.0,239978.0,276405.0,275197.87,275197.87,275197.87,299420.14
DOM-BAY,32375.0,32355.0,32356.0,32356.0,32356.0,32356.0,32356.0,32356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16178.0,32355.0,16178.0,32356.0,32356.0,32356.0,32356.0,16178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-BON,390593.0,278577.0,392327.0,392327.0,500155.0,500155.0,500155.0,500155.0,500155.0,500155.0,500155.0,350390.0,350390.0,363183.27,431539.12,400634.95,411800.22,331615.0,278577.0,312735.59,312735.0,500155.0,444411.0,422047.0,365030.0,365030.0,363553.0,81802.0,82850.0,53022.03,752840.15,69372.93,179274.59,253706.18
