code,park, area00, buiilt00, ocu00, availa00
DOM-BAN,Baní,10760000,419156,402666,16490
DOM-BAR,Barahona,2621625,235592,235592,0
DOM-BAY,Bayaguana,1346587,32375,16178,16197
DOM-BON,Bonao,2582400,390593,331615,58978
DOM-CIP,Caribbean Ind. Park,3000000,825766,825766,0
DOM-COT,Cotuí,222796,65142,65142,0
DOM-CHE,Chemtec,900000,456206,456206,0
DOM-SEI,El Seibo,1203154,48561,16187,32374
DOM-ESP,Esperanza,4354346,679713,679713,0
DOM-EXC,Excel Boca Chica,70000,35000,24760,10240
DOM-GLO,Global,731180,199067,199067,0
DOM-GUR,Gurabo,1024990,240000,136000,104000
DOM-IHA,Haina,308400,76000,76000,0
DOM-HAI,Hainamosa,2152000,414600,384301,30299
DOM-HAT,Hato Mayor,506272,82000,66097,15903
DOM-HIG,Higuey,637788,140603,78651,61952
DOM-CRI,Itabo,6534000,1200000,1159418,40582
DOM-JAI,Jaibón,365463,75320,37660,37660
DOM-ARM,La Armería,1416919,254469,229066,25403
DOM-ROM,La Romana I,2690000,1063858,1063858,0
DOM-RII,La Romana II,8070000,377131,377131,0
DOM-VEG,La Vega,1469998,1283873,1283873,0
DOM-LAG,Laguna Prieta,183232,16000,16000,0
DOM-LAS,Las Américas,8070000,1200000,1200000,0
DOM-ALC,Los Alcarrizos,804337,482462,482462,0
DOM-MIN,Los Minas,695237,37867,22637,15230
DOM-MOC,Moca,920583,493156,493156,0
DOM-NAV,Navarrete,810120,300000,186591,113409
DOM-NIG,Nigua,1946473,514668,413363,101305
DOM-PAB,Palmar Abajo,304078,121886,121886,0
DOM-PAM,Palmarejo,419135,134278,134278,0
DOM-PED,Pedernales,145572,30401.06,30401,0
DOM-PIS,Pisano,2929124,673135,600006,73129
DOM-PON,Pontezuela,84700,21000,21000,0
DOM-PUE,Puerto Plata,2762520,418591,381467,37124
DOM-SAL,Salcedo,1363054,48563,48563,0
DOM-FRA,San Fco. De Macorís,1427817,152007,107925,44082
DOM-ISI,San Isidro,5500000,900000,810944,89056
DOM-MAC,San Pedro de Macorís,3228000,2439826,2407036,32790
DOM-S12,"Santiago I, II",7447970,3595618,3437048,158570
DOM-JAN,Santiago Jánico,298332,140000,108307,31693
DOM-SLI,Santiago Licey,1129800,155000,147250,7750
DOM-TAM,Tamboril,137725,80000,20000,60000
DOM-ALT,Villa Altagracia,2619862,202317.26,191273.93,11043.33
DOM-MEL,Villa Mella,5925922,400209,400209,0
DOM-ZOF,Zofinma (Mao),4304000,38000,38000,0
