code,park04, area04, buiilt04, ocu04, availa04
DOM-AZU,Azua,2227425,48563,16187,32376
DOM-BAN,Baní,10760000,419156,295440,123716
DOM-BAR,Barahona,2621625,498249,276405,221844
DOM-BAY,Bayaguana,1346587,32356,32356,0
DOM-VIS,Bella Vista,24482003.22,506796,506796,0
DOM-BON,Bonao,2582400,500155,500155,0
DOM-CIP,Caribbean Ind. Park,3000000,879000,879000,0
DOM-CHE,Chemtec,1257730,493802,420802,73000
DOM-CIB,Cibernético,3500000,100000,12773.33,87226.67
DOM-COT,Cotuí,370961,56608,56608,0
DOM-DPE,Don Pedro,290386.7,26000,26000,0
DOM-RAF,Don Rafael,191285,83928,83928,0
DOM-SEI,El Seibo,1203154,48563,48563,0
DOM-ESP,Esperanza,1500000,388483.88,388483.88,0
DOM-EXC,Excel Boca Chica,70000,39000,39000,0
DOM-GLO,Global,731180,199067,174473,24594
DOM-GUR,Gurabo,1179211.64,480874.66,480874.66,0
DOM-HAI,Hainamosa,2152000,481763.45,391036.87,90726.58
DOM-HAT,Hato Mayor,506272,68034,55019,13015
DOM-HAN,Hato Nuevo,1353608,133726,133726,0
DOM-HIG,Higuey,637788,78654,33886,44768
DOM-CRI,Itabo,4856703,1472546,1460239,12307
DOM-JAI,Jaibón,365463,75320,47000,28320
DOM-ARM,La Armería,1416919,337529,337529,0
DOM-CAN,La Canela,333452.4,73000,73000,0
DOM-PAL,La Palma ,1305812.18,31000,18000,13000
DOM-ROM,La Romana I,2690000,1128599,780000,348599
DOM-RII,La Romana II,8070000,473949,300587,173362
DOM-VEG,La Vega,1469998,1228505,1228505,0
DOM-LAG,Laguna Prieta,183232,16000,16000,0
DOM-LAS,Las Américas,8072933,1390819.85,1390819.85,0
DOM-ALC,Los Alcarrizos,804337,563307,526195,37112
DOM-MIN,Los Mina,1353608,45892,15871,30021
DOM-MOC,Moca,920583,569848,569848,0
DOM-MOI,Montecristi,352648,64751,64751,0
DOM-MUL,Multimodal Caucedo,8661552.52,96302,96302,0
DOM-NAV,Navarrete,837386,200000,111265,88735
DOM-NIG,Nigua,1946473,514668,436041,78627
DOM-PAB,Palmar Abajo,304078,121886,121886,0
DOM-PAM,Palmarejo,419135,134278,134278,0
DOM-PED,Pedernales,145572,30401,30401,0
DOM-PEV,PEVISA,775709.92,87473,69747,17726
DOM-PIS,PISANO,6468000,938897,921000,17897
DOM-PON,Pontezuela,84700,21000,21000,0
DOM-PUE,Puerto Plata,2762520,444629,339683,104946
DOM-QUI,Quisqueya,1692010,50929,50929,0
DOM-SAL,Salcedo,1363054,48563,48563,0
DOM-FRA,San Francisco de M.,1427817,147515,147515,0
DOM-ISI,San Isidro,9267755,1169994.6,1169994.6,0
DOM-MAC,San Pedro deM.,3584276,2431726,2431726,0
DOM-S12,Santiago,7453349,3684117.32,3684117.32,0
DOM-JAN,Santiago-Jánico,1400000,200000,200000,0
DOM-SLI,Santiago-Licey,1129800,162000,150000,12000
DOM-TAM,Tamboril,910000,184879,184879,0
DOM-ALT,Villa Altagracia,2150800,239072,150112.32,88959.68
DOM-MEL,Villa Mella,6140882,367830,334566.83,33263.17
DOM-ZOF,Mao (Zofinma),4304000,38000,22500,15500
DOM-LUN,Luna,541571,32292,32292,0
