code,park, buiilt10, ocu10, availa10
DOM-AND,Andres,270488,64560,205928
DOM-BAN, Baní,430138,221675,208463
DOM-BAR, Barahona,276405,221117,55288
DOM-VIS, Bella Vista,388922.96,388922.96,0
DOM-BON, Bonao,500155,81802,418353
DOM-CIP, Caribbean Ind. Park,1006908,602787,404121
DOM-CHE, Chemtec,493802,478596.93,15205.07
DOM-CIB, Cibernético,100000,80000,20000
DOM-DOS, Dos Rios,1716800,1716800,0
DOM-LIM, El Limonal,46445,46445,0
DOM-SEI, El Seibo,48563,16040,32523
DOM-ESP, Esperanza,545494.34,454746.12,90748.22
DOM-EXC, Excel Boca Chica,39000,39000,0
DOM-GUR, Gurabo,500261,297121,203140
DOM-HAI, Hainamosa,507400.04,360574.43,146825.61
DOM-HAN, Hato Nuevo,149419,149419,0
DOM-CRI,itabo,1834324.09,1768518.28,65805.81
DOM-INT, interexport,73382,73382,0
DOM-ARM, La Armería,337529,209763,127766
DOM-HIS, La Hispaniola,86968.4,86968.4,0
DOM-PAL, La Palma,107245,107245,0
DOM-ROM, La Romana I,787190,463390,323800
DOM-RII, La Romana II,482531,298900.33,183630.67
DOM-VEG, La Vega,1208176,1021199,186977
DOM-LAS, Las Américas,1625617.59,1178022.88,447594.71
DOM-ALC, Los Alcarrizos,583516,567166,16350
DOM-MOC, Moca,512167,479067,33100
DOM-MUL, Multimodal Caucedo,96302,96302,0
DOM-MUT, Multiparques,392882,392882,0
DOM-NAV, Navarrete,200000,108203.43,91796.57
DOM-NIG, Nigua,546041,395041,151000
DOM-PAB, Palmar Abajo,121886,30472,91314
DOM-PAM, Palmarejo,450038,242891.24,207146.76
DOM-SLI, Parque Tecnológico de Santiago,150500,77500,73000
DOM-YAQ,Parque Ind. y de Servicios Yaque,200738.56,143000,57738.56
DOM-PED, Pedernales,80000,80000,0
DOM-PER,PERLAV,258240,258240,0
DOM-PIS, PISANO,942262.91,895930.22,46332.69
DOM-PUE, Puerto Plata,412793.17,390573.17,22220
DOM-SAL, Salcedo,48563,48563,0
DOM-FRA, San Francisco de M.,164584,48989,115595
DOM-ISI, San Isidro,1444060.68,1343361.28,100699.4
DOM-MAC, San Pedro de M.,2431726,2262372,169354
DOM-S12, Santiago,3709700.64,3027622,682078.64
DOM-JAN, Santiago-Jánico,284071,191764,92307
DOM-TAM, Tamboril,270685.33,235078,35607.33
DOM-ALT, Villa Altagracia,240312.07,121071.47,119240.6
DOM-MEL, Villa Mella,362817.28,158415.92,204401.36
