code,park14, buiilt14, ocu14, availa14
DOM-AND, Andrés,64500,64500,0
DOM-BAN, Baní,430138,235911,194227
DOM-BAR, Barahona,275197.87,275197.87,0
DOM-VIS, Bella Vista,421834,421834,0
DOM-BON, Bonao,431539.12,69372.93,362166.19
DOM-CIP, Caribbean Ind. Park,1225518.94,1225518.94,0
DOM-CHE, Chemtec,1400000,1332000,68000
DOM-CIB, Cibernético,200000,165000,35000
DOM-CON, Conacado Industrial Park,38736,38736,0
DOM-DOS, Dos Ríos,1716800,1716800,0
DOM-LIM, El Limonal,75000,75000,0
DOM-SEI, El Seibo,48711.04,48711.04,0
DOM-ESP, Esperanza,545494.34,545494.34,0
DOM-EXC, Excel Boca Chica,39000,39000,0
DOM-GUR, Global,164366.2,143372.8,20993.4
DOM-GLO, Gurabo,500261,500261,0
DOM-HAI, Hainamosa,507400.04,294803.17,212596.87
DOM-HAT, Hato Mayor,88375.65,79397.6,8978.05
DOM-HAN, Hato Nuevo,156085.13,152376.03,3709.1
DOM-INT, Interexport Free Zone,73382,73382,0
DOM-ARM, La Armería,310078.93,279648.41,30430.52
DOM-HIS, La Hispaniola,86968.4,86968.4,0
DOM-PAL, La Palma,107245,102443,4802
DOM-ROM, La Romana I,694804,623433,71371
DOM-RII, La Romana II,439431,422771,16660
DOM-VEG, La Vega,1122197.2,1067969.53,54227.67
DOM-LAS, Las Américas,1699062.37,1554553.83,144508.54
DOM-ALC, Los Alcarrizos,619079.63,485938.61,133141.02
DOM-RIE, Los Rieles,72630,72630,0
DOM-ROB, Los Robles,35206.72,35206.72,0
DOM-MOC, Moca,468504.33,427110.8,41393.53
DOM-MUL, Multimodal Caucedo,96302,96302,0
DOM-MUT, Multiparques,392882,392882,0
DOM-NAV, Navarrete,328056.65,219040.63,109016.02
DOM-NIG, Nigua,546041,225712,320329
DOM-PAB, Palmar Abajo,121886,30472,91414
DOM-PAM, Palmarejo,367614,367614,0
DOM-CDF, Parque Ind. CDF,167992.13,167992.13,0
DOM-KGC, Parque Ind. KG Compañía Comercial,48300,48300,0
DOM-YAQ, Parque Ind. y de Servicios Yaque,200738.56,200738.56,0
DOM-SLI, Parque Tecnológico de Santiago,146500,92500,54000
DOM-HER, Parque Z.F. Tecnológica de Herrera,23698.25,23698.25,0
DOM-PED, Pedernales,100457,100457,0
DOM-PER, PERLAV,232534.36,232534.36,0
DOM-PIS, PISANO,959296.17,957096.17,2200
DOM-PUE, Puerto Plata,447903,390491,57412
DOM-QUI, Quisqueya,53084,53084,0
DOM-CRI, San Cristóbal (Itabo),2117075.95,2117075.95,0
DOM-FRA, San Francisco de Macorís,168398.35,64746.58,103651.77
DOM-ISI, San Isidro,1617488.85,1460680,156808.85
DOM-MAC, San Pedro de Macorís,2823599.09,2674042.13,149556.96
DOM-S12, Santiago,4304254.48,4174200.74,130053.74
DOM-JAN, Santiago-Jánico,217606,217606,0
DOM-TAM, Tamboril,688640,688640,0
DOM-ALT, Villa Altagracia,240312.07,172672,67640.07
DOM-MEL, Villa Mella,225242.81,225242.81,0
DOM-EMI, Zona Franca Ind. EMIMAR,104018,104018,0
DOM-SAG, Zona Franca Ind. SAG,66635.7,66635.7,0
DOM-SUR, Zona Franca Industrial del Sur,14648,14648,0
DOM-INF, Zona Franca Industrial y de Servicios Norte Infiesto,92105.6,92105.6,0
