code,Park19, buiilt19, ocu19, availa19
DOM-AND,Andrés,88629.8,88629.8,0
DOM-BAN,Baní,426931,250386,176545
DOM-BAR,Barahona,299420.14,299420.14,0
DOM-VIS,Bella Vista,421834,421834,0
DOM-BON,Bonao,423408.19,354699.89,68708.3
DOM-CIP,Caribbean Industrial Park,1225518.94,1225518.94,0
DOM-CHE,Chemtec,493802,254525.81,239276.19
DOM-CIB,Cibernético,200000,200000,0
DOM-CON,Conacado Industrial Park,38736,38736,0
DOM-DOS,Dos Ríos,1716800,1716800,0
DOM-JAN,Ecopark Industrial Free Zone,236635,236635,0
DOM-LIM,El Limonal,236635,209842.99,26792.01
DOM-SEI,El Seibo,48775.71,48775.71,0
DOM-ESP,Esperanza,548530.94,532290.65,16240.29
DOM-EXC,Excel Boca Chica,87800,87800,0
DOM-GUR,Global Zona Franca Industrial,204440,204440,0
DOM-GLO,Gurabo,500261,455638.88,44622.12
DOM-HAI,Hainamosa,696241.94,363680.7,332561.24
DOM-HAT,Hato Mayor,61688.68,61688.68,0
DOM-HAN,Hato Nuevo,165292.68,165292.68,0
DOM-TAL,Intercontinental,186802.28,186802.28,0
DOM-INT,Interexport Free Zone,150068,150068,0
DOM-ARM,La Armería,337333.2,337333.2,0
DOM-FLO,La Flor Dominicana,47193.16,47193.16,0
DOM-HIP,La Herradura Industrial Park,120000,120000,0
DOM-HIS,La Hispaniola,86968.4,86968.4,0
DOM-PAL,La Palma,147680,147680,0
DOM-ROM,La Romana I,707447,673511,33936
DOM-RII,La Romana II,422771,422771,0
DOM-VEG,La Vega,1268485.93,1268485.93,0
DOM-LAS,Las Américas,2180630.64,1940880.38,239750.26
DOM-ALC,Los Alcarrizos,587505.79,524240.33,63265.46
DOM-CAD,Los Candelones,120000,38150.84,81849.16
DOM-RIE,Los Rieles,126300,123500,2800
DOM-MOC,Moca,509956.77,494083.3,15873.47
DOM-MUL,Multimodal Caucedo,96302,96302,0
DOM-MUT,Multiparques,392882,392882,0
DOM-NAV,Navarrete,349065.7,329065.7,20000
DOM-NIG,Nigua,392212,392212,0
DOM-NII,Nigua II,176000,176000,0
DOM-PAB,Palmar Abajo,62335.96,62335.96,0
DOM-PAM,Palmarejo,367614,367614,0
DOM-LEO,Parque Ind. Eduardo León Jiménes,319322.17,272531.44,46790.73
DOM-KGC,Parque Ind. KG Compañía Comercial,52821,52821,0
DOM-YAQ,Parque Ind. y de Servicios Yaque,200738.56,200738.56,0
DOM-CDF,Parque Industrial CDF,167992.13,167992.13,0
DOM-CTQ,Parque Industrial CTQ,229241.8,229241.8,0
DOM-ELV,Parque Industrial Elva María,56278,56278,0
DOM-INE,Parque Industrial INETAB,242896.24,242896.24,0
DOM-SLI,Parque Tecnológico de Santiago,146500,57500,89000
DOM-HER,Parque Z.F. Tecnológica de Herrera,23698.25,23698.25,0
DOM-PED,Pedernales,100457,100457,0
DOM-PER,PERLAV,232534.36,232534.36,0
DOM-PUE,Puerto Plata,441161,364047,77114
DOM-QUI,Quisqueya,60659.18,60659.18,0
DOM-CRI,San Cristóbal (Itabo),2142139,2142139,0
DOM-FRA,San Francisco de Macorís,167242.44,88562.53,78679.91
DOM-ISI,San Isidro,1586270.31,1494825.09,91445.22
DOM-MAC,San Pedro de Macorís,3171915.77,3088231.98,83683.79
DOM-S12,Santiago,5608981.37,5545542.3,63439.07
DOM-PIS,Santiago-Navarrete (PISANO),1184652.6,1114826.03,69826.57
DOM-TAM,Tamboril,1032357,783083,249274
DOM-ALT,Villa Altagracia,315226.53,315226.53,0
DOM-MEL,Villa Mella,225242.81,169036,56206.81
DOM-HIT,Zona Franca Industrial Hit,5380,5380,0
DOM-VER,Zona Franca Ind. Luperon Verde,17770,17770,0
DOM-6NO,Zona Franca 6 de Noviembre,33356,33356,0
DOM-MAI,Zona Franca Bahía de Maimón,55143.92,50551,4592.92
DOM-INF,Z.F. Ind. y de Servicios Norte Infiesto,102105,102105,0
DOM-NOR,Zona Franca Industrial del Norte,74175,65370,8805
DOM-SUR,Zona Franca Industrial del Sur,14648,14648,0
DOM-EMI,Zona Franca Industrial Emimar,153225,153225,0
DOM-RIO,Zona Franca Industrial Riosur,120000,60000,60000
DOM-SAG,Zona Franca Industrial SAG,66635.7,66635.7,0
DOM-JOB,Zona Franca Jobo Industrial,110000,110000,0
