code,park,op03,op04,tec03,tec04
DOM-AZU,Azua,809.35,850,0,0
DOM-BAN,Baní,825.37,1056.18,1607.14,2148.95
DOM-BAR,Barahona,975,1000,2150,2250
DOM-BAY,Bayaguana,933,1100,1630,2150
DOM-VIS,Bella Vista,,1350,,6500
DOM-BON,Bonao,782.19,982,1295.83,1629.17
DOM-CIP,Caribbean Ind. Park,1095.76,1388.02,2403.13,3227.31
DOM-CHE,Chemtec,852.46,1000.91,2008.33,2336.97
DOM-CIB,Cibernético,1233.33,950,2437.5,3000
DOM-COT,Cotuí,875,949,1600,3233.33
DOM-DPE,Don Pedro,,950,,1300
DOM-RAF,Don Rafael,950,1050,2500,0
DOM-SEI,El Seibo,844,950,2000,2100
DOM-ESP,Esperanza,843.71,1082.56,2035,2148.08
DOM-EXC,Excel Boca Chica,1557,1716.67,2134.69,2187
DOM-GLO,Global,892.5,1000,1674.5,1900
DOM-GUR,Gurabo,1200,1315.67,1838,3205.83
DOM-HAI,Hainamosa,887.56,924.73,2383.66,2402.29
DOM-HAT,Hato Mayor,750,821.4,2000,2100
DOM-HAN,Hato Nuevo,973.85,1073.4,2750,3000
DOM-HIG,Higüey,1226,1475,2562,2735
DOM-CRI,Itabo,890.92,1160.99,1894.4,2863.27
DOM-JAI,Jaibón,1500,1600,2000,2500
DOM-ARM,La Armería,770.94,897.3,1912.75,2188.89
DOM-CAN,La Canela,682.42,912.75,1179.49,1481.38
DOM-PAL,La Palma,,1300,,3500
DOM-ROM,La Romana I,957.41,1208.98,1733.41,2444.95
DOM-RII,La Romana II,928,995.84,2223.33,2504
DOM-VEG,La Vega,846.96,1024.4,1769.4,2185.83
DOM-LAG,Laguna Prieta,990,1100,1600,2500
DOM-LAS,Las Américas,940.37,1085.49,2466.1,2613.05
DOM-ALC,Los Alcarrizos,810.29,954.82,1729.45,2221.94
DOM-MIN,Los Mina,1118.75,1312.5,2000,2750
DOM-MOI,Montecristi,750,900,2000,2150
DOM-MOC,Moca,1110.63,1122.05,1653.92,2280.81
DOM-MUL,Multimodal Caucedo,0,1750,2086,4466.67
DOM-NAV,Navarrete,900,1000,1600,1700
DOM-NIG,Nigua,826.2,1474.65,2148.89,3266.6
DOM-PAB,Palmar Abajo,1216.66,800,2426,1700
DOM-PAM,Palmarejo,1056.28,1359.37,2244.77,2892.8
DOM-PED,Pedernales,847,900,2500,2600
DOM-PEV,PEVISA,,1000,,2000
DOM-PIS,PISANO,1096.9,1558.12,2603.98,3001.19
DOM-PON,Pontezuela,1052.74,1400,1813.26,2400
DOM-PUE,Puerto Plata,878.92,1131.67,1720,2056.9
DOM-SAL,Salcedo,683.33,916.67,1116.67,1800
DOM-FRA,San Fco. De Macorís,805.8,907.15,1465.6,1840
DOM-ISI,San Isidro,1116.47,1307.96,2642.12,3094.52
DOM-MAC,San Pedro de Macorís,881.92,1128.62,1768.23,2263.59
DOM-S12,Santiago,1028.91,1167.37,2046.54,2478.12
DOM-JAN,Santiago- Jánico,1217.98,1225,1345.01,1486.97
DOM-SLI,Santiago-Licey,1184.29,1348.65,2499.3,3569.22
DOM-TAM,Tamboril,1288.25,883.75,1703.46,2370
DOM-ALT,Villa Altagracia,815.62,957.67,883.42,1966.67
DOM-MEL,Villa Mella,1134.67,1200,2747.43,3406.75
DOM-QUI,Quisqueya,800,1050,2500,2600
DOM-LUN,Zona Franca Ind. Luna,633,1266.14,2000,3031.58
DOM-ZOF,ZOFINMA (Mao),1050,1319,1900,2500
