code,Location,op05,op06,tec05,tec06
DOM-BAN,Baní,1229.03,1311.49,2677.5,2959.48
DOM-BAR,Barahona,998,1125,1550,1500
DOM-BAY,Bayaguana,1150,1250,3500,2700
DOM-VIS,Bella Vista,1313,1900,3000,4500
DOM-BON,Bonao,1021.5,1218.71,2033.57,2066.67
DOM-CIP,Caribbean Ind. Park,1735.7,1706.91,2806.29,3181.8
DOM-CHE,Chemtec,1140.96,1202.65,2375.12,2535.66
DOM-CIB,Cibernético,0,1592.63,1200,2622.5
DOM-COT,Cotuí,1324.66,1027,2328.33,2500
DOM-DPE,Don Pedro,1400,1496,2000,2200
DOM-DOS,Dos Rios,0,2878.26,0,5551.75
DOM-LIM,El Limonal,1158.99,1300,1962.61,1833.33
DOM-SEI,El Seibo,1012,1030.48,1999.5,3000
DOM-ESP,Esperanza,1376.5,1373.76,3300,3470.25
DOM-EXC,Excel Boca Chica,1783.33,2250,2766.67,3958.33
DOM-GLO,Global,1865,1500,2031.81,2500
DOM-GUR,Gurabo,1359.53,1430.5,2674.84,3641.67
DOM-HAI,Hainamosa,1055.02,1218.5,2159.71,2625.23
DOM-HAT,Hato Mayor,1039.44,1122,2500,3500
DOM-HAN,Hato Nuevo,1223.4,1270.8,3500,2350
DOM-HIG,Higüey,1400,0,3625,0
DOM-CRI,Itabo,1940.7,1583.07,3654.42,3233.77
DOM-JAI,Jaibón,1752,1600,2754,2500
DOM-ARM,La Armería,1096.79,1249.54,2403.32,2878.17
DOM-CAN,La Canela,1156,0,1947,0
DOM-HIS,La Hispaniola,1322,1575,4275,1800
DOM-PAL,La Palma,1650,1725,3500,4230.5
DOM-ROM,La Romana I,1371.27,1581.51,2830.33,3116.67
DOM-RII,La Romana II,1811.61,1185.41,4525,3000
DOM-VEG,La Vega,1170.43,1233.65,2490.48,2891.53
DOM-LAG,Laguna Prieta,1784,1800,0,0
DOM-LAS,Las Américas,1222.53,1571.95,2884.53,3928.73
DOM-ALC,Los Alcarrizos,1177.06,1510.24,2312.73,2770.28
DOM-MIN,Los Mina,980.76,1400,1500,3250
DOM-MOI,Montecristi,1100,0,2500,0
DOM-MOC,Moca,1259.27,1269.16,2670.62,2400
DOM-MUL,Multimodal Caucedo,1950,2300,3133.33,3800
DOM-NAV,Navarrete,1322.5,1600,1922.5,2000
DOM-NIG,Nigua,1123.96,1290.84,3122.27,3214.27
DOM-PAB,Palmar Abajo,945,1200,1847,1975
DOM-PAM,Palmarejo,1368.2,1514.75,3146,4178.9
DOM-PED,Pedernales,936,1000,2354,3092
DOM-PIS,PISANO,1483.17,1805.97,3027.75,4036.28
DOM-PON,Pontezuela,1618,2050,2175,3508.08
DOM-PUE,Puerto Plata,1146.74,1187.66,2167.23,2306.14
DOM-QUI,Quisqueya,0,1027,0,2500
DOM-KEP,Silver Key Park,1610,2300,2246.93,2700
DOM-SAL,Salcedo,1025.83,1090.36,1666.67,1550
DOM-FRA,San Fco. De Macoris,1135.27,1180.46,2925.75,3050.75
DOM-ISI,San Isidro,1437.19,1539.45,3349.5,3246.17
DOM-MAC,San Pedro de Macoris,1219.91,1262.41,2355.55,2541.07
DOM-S12,Santiago,1414.48,1575.32,2872.94,3023.81
DOM-JAN,Santiago- Janico,1394.47,1072.54,3107.5,3352.33
DOM-SLI,Santiago-Licey,1591.77,1336.05,2898.55,3953.14
DOM-TAM,Tamboril,1362.83,1499.25,2648.4,3350.67
DOM-ALT,Villa Altagracia,1324.23,1289.14,2319.25,2167.86
DOM-MEL,Villa Mella,1775,1442.92,4725,2349.67
DOM-LUN,Zona Franca Ind. Luna,1422,1472.18,3100,3700
DOM-ZOF,ZOFINMA (Mao),1450,1250,4000,4000
