code,parks,op13,op14,tec13,tec14
DOM-AND,Andrés,2664.46,2168.65,5077,7045.37
DOM-BAN,Baní,1885.83,1891.12,4141.25,4004.09
DOM-BAR,Barahona,1467,1666.6,2500,3500
DOM-VIS,Bella Vista,2423.7,2617.6,6433.17,7015.64
DOM-BON,Bonao,1875.01,1846,3486.58,3493.67
DOM-CIP,Caribbean Ind. Park,2268.3,2298.04,3696.46,3988.64
DOM-CHE,Chemtec,2641.23,2628.74,5446.43,5743.03
DOM-CIB,Cibernético,2402.67,3000,5455,5602.48
DOM-CON,Conacado Ind. Park,2937.47,2909.56,5875,5874.94
DOM-DOS,Dos Ríos,3100,5091,5600,9300
DOM-LIM,El Limonal,1984.39,2886.51,3233.33,4205.25
DOM-SEI,El Seibo,1671.34,1707.5,3811.5,3722.5
DOM-ESP,Esperanza,2125.48,2251.63,4437.5,4885.71
DOM-EXC,Excel Boca Chica,2666.6,3333.24,4800,4807.94
DOM-GLO,Global Zona Franca Industrial,2834.48,2900,5750,3850
DOM-GUR,Gurabo,2511.86,2254.37,3774.07,4068.59
DOM-HAI,Hainamosa,3620,2142.12,4615.15,4664.25
DOM-HAT,Hato Mayor,1665,1666,3800,5000
DOM-HAN,Hato Nuevo,2936.27,3030.05,5901.16,5442.5
DOM-INT,Interexport Free Zone,3610,3700,10000,10200
DOM-ARM,La Armería,2015.8,2125.79,4402,3956.3
DOM-HIS,La Hispaniola,3800,3980,5000,4500
DOM-PAL,La Palma,1719.86,2408.05,4791.5,4670.5
DOM-ROM,La Romana I,1914.09,2764.25,3292.3,5566.3
DOM-RII,La Romana II,1902.15,1954.07,4098.33,5365
DOM-VEG,La Vega,1894.85,1942,3737.21,4189.4
DOM-LAS,Las Américas,1982.76,2439.19,4995.19,5024.97
DOM-ALC,Los Alcarrizos,1790.85,2095.67,3533.52,3852.34
DOM-RIE,Los Rieles,2200,2500,5000,4500
DOM-ROB,Los Robles,2397.2,2400,2902.59,2910
DOM-MOC,Moca,2043,2316.78,3587.22,4106.91
DOM-MUL,Multimodal Caucedo,1771.08,2237.18,4495.27,3762.5
DOM-MUT,Multiparques,4607.05,4632,7819.06,7816
DOM-NAV,Navarrete,1966.07,2200,3600,3715.25
DOM-NIG,Nigua,1915.05,2013.51,2867.57,3599.9
DOM-PAB,Palmar Abajo,2808.1,2872.78,0,0
DOM-PAM,Palmarejo,3003.77,2952.04,3922.92,3530.31
DOM-KGC,Parque Ind. KG Compañía Comercial,0,1900,0,4000
DOM-YAQ,Parque Ind. y de Servicios Yaque,2270.86,2059.76,3807.43,2897.1
DOM-SLI,Parque Tecnológico de Santiago,2208.2,2209.8,4145.83,6693.75
DOM-HER,Parque Z.F. Tecnológica de Herrera,2800,0,3500,477
DOM-CDF,Parque Industrial CDF,0,1707.69,0,5179.81
DOM-PED,Pedernales,1580,1805,3500,3500
DOM-PER,PERLAV,3478.12,3550,6181.71,7166.67
DOM-PIS,PISANO,2224.72,2367,4577.44,4873.82
DOM-PUE,Puerto Plata,1784.86,1910.4,3974.11,3575
DOM-QUI,Quisqueya,1625,2000,2314,2500
DOM-CRI,San Cristóbal (Itabo),2447.23,2433.25,4518.31,4733.8
DOM-FRA,San Fco. De Macoris,1589.23,1796.58,3800,3015.4
DOM-ISI,San Isidro,2202.15,2219.47,4931.33,4927.78
DOM-MAC,San Pedro de Macoris,2064.54,2145.03,4401.23,4517.71
DOM-S12,Santiago,2302.97,2262.25,4478.57,4437.07
DOM-JAN,Santiago- Janico,2204.03,1882.38,5496,6040.67
DOM-TAM,T amboril,2221.74,2189.5,4100,4103.83
DOM-ALT,V ill a A ltagracia,2322.83,3041.68,4996.25,5007.53
DOM-MEL,V ill a Mella,2053.33,2120,3369.55,3377.4
DOM-SUR,Zona Franca Ind. del Sur,0,1985,0,5624
DOM-EMI,Zona Franca Ind. Emimar,0,1810.77,0,4000
DOM-INF,Zona Franca Ind. Norte Infiesto,0,7000,0,0
DOM-SAG,Zona Franca Ind. SAG,2850,1850,3625,4100
