code,parks,op17,tec17
DOM-AND,Andrés,5175.5,7351.56
DOM-BAN,Baní,2623.67,5665.66
DOM-BAR,Barahona,2266.9,3750
DOM-VIS,Bella Vista,2850,5000
DOM-BON,Bonao,2551.98,4178.86
DOM-CIP,Caribbean Industrial Park,2911.23,5446.15
DOM-CHE,Chemtec,2758.15,4838.32
DOM-CIB,Cibernético,2160.12,7395.99
DOM-CON,Conacado Industria Park,3300.48,6485.65
DOM-DOS,Dos Ríos,3350.01,9557.12
DOM-LIM,El Limonal,2396.91,5377.04
DOM-SEI,El Seibo,2207.58,4500
DOM-ESP,Esperanza,2344.03,4579.29
DOM-EXC,Excel Boca Chica,2510,6003
DOM-GLO,Global Zona Franca Industrial,2812.5,0
DOM-GUR,Gurabo,2603.81,5525.42
DOM-HAI,Hainamosa,3540,6856.25
DOM-HAT,Hato Mayor,2205,5500
DOM-HAN,Hato Nuevo,3943.8,6387.5
DOM-TAL,Intercontinental,2441.86,5435
DOM-INT,Interexport Free Zone *,2102.02,4072.92
DOM-ARM,La Armería,2460.39,4949.75
DOM-HIP,La Herradura Industrial Park,2700,3500
DOM-HIS,La Hispaniola,4900,5100
DOM-PAL,La Palma,2337.98,4138.79
DOM-ROM,La Romana I,3152.13,4945.7
DOM-RII,La Romana II,2724.53,4716.11
DOM-VEG,La Vega,2434.46,5106.34
DOM-LAS,Las Américas,2826.11,5602.8
DOM-ALC,Los Alcarrizos,2584.6,5101.47
DOM-RIE,Los Rieles,2750,7500
DOM-MOC,Moca,2480.27,5010.56
DOM-MUL,Multimodal Caucedo,3823.5,6020.71
DOM-MUT,Multiparques,4252.56,7983.11
DOM-NAV,Navarrete,2844.19,5141
DOM-NIG,Nigua,2371.85,4245.58
DOM-PAB,Palmar Abajo,2902.9,0
DOM-PAM,Palmarejo,2990.28,4319.37
DOM-SUN,Parque Industrial Zona Franca Sunsea,3218.2,5000
DOM-CDF,Parque Industrial CDF,2228.64,6700
DOM-CTQ,Parque Industrial CTQ,2025,7724
DOM-INE,Parque Industrial INETAB,2165.13,6757.22
DOM-KGC,Parque Industrial KG Compañía Comercial,2294.22,4200
DOM-YAQ,Parque Industrial y de Servicios Yaque,2479.82,5841
DOM-SLI,Parque Tecnológico de Santiago,2735.74,5945.83
DOM-HER,Parque Z.F. Tecnológica de Herrera,0,4080
DOM-PED,Pedernales,2077,4000
DOM-PER,PERLAV,4844.68,6983.25
DOM-PIS,PISANO,2962.25,6305.8
DOM-PUE,Puerto Plata,2684.25,4712.71
DOM-QUI,Quisqueya,2626.18,3743.16
DOM-CRI,San Cristóbal (Itabo),3071.2,5632.27
DOM-FRA,San Fco. De Macoris,2312.36,3564.96
DOM-ISI,San Isidro,2665.22,5673.17
DOM-MAC,San Pedro de Macoris,2602.97,5152.88
DOM-S12,Santiago,2799.5,5181.39
DOM-JAN,Santiago- Janico,2325,7225
DOM-TAM,Tamboril,2614.16,4771.81
DOM-ALT,Villa Altagracia,3271.67,5263.33
DOM-MEL,Villa Mella,2580,4556.75
DOM-INF,Zona Franca Industrial Norte Infiesto,4037,5750
DOM-MAI,Zona Franca Bahía de Maimón,2748.5,5000
DOM-6NO,Zona Franca Ind. 6 de Noviembre,2200,2500
DOM-NOR,Zona Franca Industrial del Norte,3810,2166
DOM-SUR,Zona Franca Industrial del Sur,2675,4568
DOM-EMI,Zona Franca Industrial Emimar,2382.09,4875
DOM-SAG,Zona Franca Industrial SAG,2265,5827
DOM-JOB,Zona Franca Jobo Industrial,2205.46,4187.65
DOM-CAD,Los Candelones,2425,4637.33
DOM-RIO,Riosur ,2500,4500
DOM-ELV,Elva ,1,1
