code,park,ob_m_03,tec_m_03,adm_m_03,total_m_03,ob_f_03,tec_f_03,adm_f_03,total_f_03,total_mf_03
DOM-AZU,Azua,5,0,2,7,38,0,1,39,46
DOM-BAN,Baní,850,154,46,1050,2034,73,31,2138,3188
DOM-BAR,Barahona,623,48,21,692,541,25,1,567,1259
DOM-BAY,Bayaguana,18,2,2,22,15,2,2,19,41
DOM-BON,Bonao,1334,73,11,1418,1595,8,31,1634,3052
DOM-CIP,Caribbean Ind. Park,2043,484,354,2881,2087,141,496,2724,5605
DOM-CIB,Cibernético,2,6,0,8,0,0,2,2,10
DOM-COT,Cotuí,188,27,4,219,175,17,4,196,415
DOM-CHE,Chemtec,239,25,38,302,158,2,24,184,486
DOM-SEI,El Seibo,24,0,2,26,298,0,2,300,326
DOM-ESP,Esperanza,3775,285,357,4417,2456,122,176,2754,7171
DOM-EXC,Excel Boca Chica,17,6,12,35,75,12,10,97,132
DOM-RAF,Don Rafael,63,4,1,68,65,2,3,70,138
DOM-GLO,Global,88,14,17,119,177,3,4,184,303
DOM-GUR,Gurabo,671,155,151,977,724,133,94,951,1928
DOM-HAI,Hainamosa,481,75,99,655,1033,23,66,1122,1777
DOM-HAT,Hato Mayor,98,14,2,114,247,3,4,254,368
DOM-HAN,Hato Nuevo,303,5,5,313,192,17,7,216,529
DOM-HIG,Higuey,18,27,4,49,345,4,4,353,402
DOM-CRI,Itabo,3388,658,539,4585,5363,373,430,6166,10751
DOM-JAI,Jaibón,49,21,2,72,1,2,1,4,76
DOM-ARM,La Armería,407,78,23,508,1276,61,29,1366,1874
DOM-ROM,La Romana I,3037,387,161,3585,4827,356,108,5291,8876
DOM-CAN,La Canela,29,9,1,39,0,0,0,0,39
DOM-RII,La Romana II,512,122,32,666,1758,186,11,1955,2621
DOM-VEG,La Vega,5182,587,136,5905,4343,281,141,4765,10670
DOM-LAG,Laguna Prieta,41,15,2,58,36,5,4,45,103
DOM-LAS,Las Américas,3420,288,388,4096,5335,373,332,6040,10136
DOM-ALC,Los Alcarrizos,927,137,62,1126,1014,31,54,1099,2225
DOM-MIN,Los Mina,21,3,2,26,0,0,0,0,26
DOM-LUN,Luna,183,67,4,254,204,2,4,210,464
DOM-MOC,Moca,1903,342,93,2338,2278,199,52,2529,4867
DOM-MOI,Montecristi,50,5,2,57,71,9,6,86,143
DOM-MUL,Multimodal Caucedo,0,14,7,21,0,1,11,12,33
DOM-NAV,Navarrete,767,6,5,778,659,4,1,664,1442
DOM-NIG,Nigua,473,136,77,686,686,25,54,765,1451
DOM-PAB,Palmar Abajo,13,1,0,14,10,0,0,10,24
DOM-PAM,Palmarejo,337,47,44,428,324,22,20,366,794
DOM-PED,Pedernales,14,2,1,17,60,1,1,62,79
DOM-PIS,Pisano,1709,203,138,2050,1102,46,108,1256,3306
DOM-PON,Pontezuela,51,10,4,65,46,4,1,51,116
DOM-PUE,Puerto Plata,1439,404,30,1873,1384,175,42,1601,3474
DOM-QUI,Quisqueya,90,35,5,130,5,2,2,9,139
DOM-SAL,Salcedo,156,8,6,170,143,5,4,152,322
DOM-FRA,San Fco. Macorís,480,32,6,518,512,2,18,532,1050
DOM-ISI,San Isidro,1478,1573,236,3287,3371,1353,258,4982,8269
DOM-MAC,San Pedro Macorís,5012,1106,340,6458,9325,551,299,10175,16633
DOM-S12,Santiago I,17499,2430,928,20857,17572,1306,738,19616,40473
DOM-JAN,Santiago-Jánico,595,114,66,775,184,74,117,375,1150
DOM-SLI,Santiago-Licey,378,45,18,441,160,9,26,195,636
DOM-TAM,Tamboril,250,53,14,317,265,19,25,309,626
DOM-ALT,Villa Altagracia,540,19,8,567,1425,16,5,1446,2013
DOM-MEL,Villa Mella,103,117,11,231,1521,126,25,1672,1903
DOM-ZOF,Zofinma (Mao),280,16,4,300,128,2,5,135,435
,Z.F. Especiales,3772,464,363,4599,2902,59,302,3263,7862
