code,ob_f_00,tec_f_00,adm_f_00,ob_f_01,tec_f_01,adm_f_01,ob_f_02,tec_f_02,adm_f_02,ob_f_03,tec_f_03,adm_f_03,ob_f_04,tec_f_04,adm_f_04,ob_f_05,tec_f_05,adm_f_05,ob_f_06,tec_f_06,adm_f_06,ob_f_07,tec_f_07,adm_f_07,ob_f_08,tec_f_08,adm_f_08,ob_f_09,tec_f_09,adm_f_09,ob_f_10,tec_f_10,adm_f_10,ob_f_11,tec_f_11,adm_f_11,ob_f_12,tec_f_12,adm_f_12,ob_f_14,tec_f_14,adm_f_14,ob_f_15,tec_f_15,adm_f_15,ob_f_16,tec_f_16,adm_f_16
DOM-6NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,2.0
DOM-ALC,2105.0,59.0,62.0,1361.0,39.0,74.0,1143.0,18.0,51.0,1014.0,31.0,54.0,1456.0,54.0,62.0,1050.0,29.0,56.0,910.0,31.0,60.0,413.0,21.0,50.0,435.0,44.0,45.0,383.0,35.0,46.0,501.0,11.0,44.0,585.0,10.0,44.0,608.0,26.0,39.0,418.0,20.0,27.0,409.0,20.0,40.0,403.0,23.0,48.0
DOM-ALT,2476.0,15.0,131.0,1823.0,18.0,11.0,1623.0,18.0,14.0,1425.0,16.0,5.0,688.0,10.0,3.0,394.0,29.0,32.0,289.0,10.0,25.0,72.0,12.0,18.0,78.0,4.0,16.0,66.0,7.0,15.0,121.0,19.0,8.0,90.0,4.0,8.0,85.0,2.0,11.0,105.0,8.0,10.0,82.0,6.0,10.0,90.0,3.0,14.0
DOM-AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,5.0,0.0,7.0,5.0,0.0,7.0,2.0,7.0,0.0,5.0,3.0,1.0,8.0,2.0,0.0,7.0,2.0,0.0,6.0
DOM-ARM,1719.0,37.0,30.0,1285.0,38.0,13.0,1372.0,43.0,20.0,1276.0,61.0,29.0,1306.0,52.0,24.0,714.0,21.0,17.0,792.0,17.0,29.0,793.0,23.0,24.0,497.0,26.0,26.0,427.0,32.0,18.0,169.0,18.0,11.0,194.0,9.0,8.0,230.0,20.0,11.0,197.0,7.0,14.0,310.0,8.0,25.0,407.0,7.0,28.0
DOM-AZU,0.0,0.0,0.0,0.0,4.0,2.0,0.0,5.0,2.0,38.0,0.0,1.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-BAN,3286.0,104.0,40.0,2723.0,82.0,28.0,2185.0,58.0,30.0,2034.0,73.0,31.0,2184.0,98.0,20.0,1962.0,97.0,22.0,1183.0,84.0,16.0,883.0,90.0,13.0,1035.0,103.0,13.0,647.0,103.0,9.0,493.0,74.0,16.0,538.0,72.0,9.0,324.0,75.0,10.0,159.0,4.0,16.0,255.0,23.0,26.0,235.0,38.0,19.0
DOM-BAR,656.0,42.0,23.0,1031.0,59.0,25.0,731.0,45.0,0.0,541.0,25.0,1.0,550.0,60.0,25.0,690.0,17.0,18.0,265.0,25.0,10.0,200.0,28.0,7.0,60.0,10.0,30.0,42.0,1.0,7.0,43.0,1.0,1.0,15.0,0.0,5.0,16.0,0.0,5.0,523.0,157.0,10.0,734.0,70.0,31.0,734.0,71.0,31.0
DOM-BAY,42.0,1.0,1.0,90.0,0.0,1.0,46.0,2.0,4.0,15.0,2.0,2.0,14.0,1.0,4.0,18.0,0.0,2.0,23.0,0.0,2.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-BON,1918.0,13.0,23.0,1539.0,23.0,24.0,1111.0,5.0,20.0,1595.0,8.0,31.0,1538.0,6.0,28.0,1484.0,13.0,21.0,1067.0,6.0,18.0,713.0,4.0,9.0,431.0,12.0,15.0,189.0,1.0,10.0,171.0,1.0,12.0,277.0,4.0,11.0,172.0,6.0,12.0,185.0,6.0,10.0,180.0,3.0,13.0,194.0,4.0,9.0
DOM-CAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-CDF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.0,1.0,9.0,416.0,3.0,10.0,347.0,4.0,10.0
DOM-CHE,1173.0,51.0,65.0,703.0,30.0,40.0,263.0,17.0,33.0,158.0,2.0,24.0,460.0,12.0,37.0,326.0,6.0,35.0,337.0,8.0,38.0,545.0,40.0,66.0,234.0,8.0,17.0,292.0,6.0,19.0,282.0,9.0,18.0,289.0,9.0,33.0,326.0,12.0,29.0,202.0,5.0,25.0,302.0,4.0,23.0,248.0,3.0,26.0
DOM-CIB,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,4.0,8.0,0.0,5.0,20.0,191.0,20.0,37.0,205.0,25.0,27.0,262.0,36.0,16.0,252.0,30.0,102.0,28.0,75.0,249.0,53.0,101.0,1.0,418.0,42.0,13.0,209.0,52.0,221.0,101.0,62.0
DOM-CIP,1679.0,549.0,126.0,1603.0,137.0,120.0,1842.0,122.0,280.0,2087.0,141.0,496.0,2425.0,175.0,158.0,1328.0,284.0,149.0,1098.0,226.0,111.0,2024.0,558.0,156.0,1604.0,471.0,122.0,884.0,345.0,86.0,810.0,331.0,91.0,962.0,286.0,113.0,1245.0,441.0,116.0,1422.0,443.0,181.0,1715.0,381.0,377.0,1629.0,451.0,305.0
DOM-CON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,3.0,8.0,50.0,12.0,18.0,79.0
DOM-COT,167.0,7.0,8.0,176.0,6.0,6.0,171.0,16.0,6.0,175.0,17.0,4.0,203.0,13.0,4.0,166.0,12.0,5.0,164.0,8.0,2.0,144.0,8.0,2.0,130.0,6.0,3.0,116.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-CRI,5575.0,376.0,297.0,5745.0,228.0,313.0,5472.0,305.0,310.0,5363.0,373.0,430.0,6166.0,241.0,438.0,6201.0,435.0,430.0,7005.0,297.0,449.0,5882.0,314.0,615.0,6545.0,298.0,552.0,5147.0,184.0,453.0,5857.0,285.0,485.0,6309.0,277.0,506.0,6229.0,312.0,529.0,6102.0,561.0,628.0,6248.0,584.0,736.0,6474.0,594.0,595.0
DOM-CTQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,0.0,6.0,227.0,0.0,5.0
DOM-DOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,18.0,12.0,94.0,3.0,36.0,206.0,11.0,44.0,298.0,25.0,24.0,296.0,42.0,1.0,297.0,45.0,29.0,205.0,71.0,50.0,204.0,40.0,72.0,248.0,45.0,60.0,243.0,42.0,59.0
DOM-DPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,6.0,1.0,1.0,16.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
