,code,park,ob_m_00,tec_m_00,adm_m_00,total_m_00,ob_f_00,tec_f_00,adm_f_00,total_f_00,total_mf_00,ob_m_01,tec_m_01,adm_m_01,total_m_01,ob_f_01,tec_f_01,adm_f_01,total_f_01,total_mf_01,ob_m_02,tec_m_02,adm_m_02,total_m_02,ob_f_02,tec_f_02,adm_f_02,total_f_02,total_mf_02,ob_m_03,tec_m_03,adm_m_03,total_m_03,ob_f_03,tec_f_03,adm_f_03,total_f_03,total_mf_03,ob_m_04,tec_m_04,adm_m_04,total_m_04,ob_f_04,tec_f_04,adm_f_04,total_f_04,total_mf_04,ob_m_05,tec_m_05,adm_m_05,total_m_05,ob_f_05,tec_f_05,adm_f_05,total_f_05,total_mf_05,ob_m_06,tec_m_06,adm_m_06,total_m_06,ob_f_06,tec_f_06,adm_f_06,total_f_06,total_mf_06,ob_m_07,tec_m_07,adm_m_07,total_m_07,ob_f_07,tec_f_07,adm_f_07,total_f_07,total_mf_07,ob_m_08,tec_m_08,adm_m_08,total_m_08,ob_f_08,tec_f_08,adm_f_08,total_f_08,total_mf_08,ob_m_09,tec_m_09,adm_m_09,total_m_09,ob_f_09,tec_f_09,adm_f_09,total_f_09,total_mf_09,ob_m_10,tec_m_10,adm_m_10,total_m_10,ob_f_10,tec_f_10,adm_f_10,total_f_10,total_mf_10,ob_m_11,tec_m_11,adm_m_11,total_m_11,ob_f_11,tec_f_11,adm_f_11,total_f_11,total_mf_11,ob_m_12,tec_m_12,adm_m_12,total_m_12,ob_f_12,tec_f_12,adm_f_12,total_f_12,total_mf_12,ob_m_14,tec_m_14,adm_m_14,total_m_14,ob_f_14,tec_f_14,adm_f_14,total_f_14,total_mf_14,ob_m_15,tec_m_15,adm_m_15,total_m_15,ob_f_15,tec_f_15,adm_f_15,total_f_15,total_mf_15,ob_m_16,tec_m_16,adm_m_16,total_m_16,ob_f_16,tec_f_16,adm_f_16,total_f_16,total_mf_16
0,DOM-6NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,2.0,10.0,58.0,26.0,0.0,2.0,28.0,86.0
1,DOM-ALC,Los Alcarrizos,1068.0,157.0,81.0,1306.0,2105.0,59.0,62.0,2226.0,3532.0,1108.0,110.0,77.0,1295.0,1361.0,39.0,74.0,1474.0,2769.0,841.0,89.0,83.0,1013.0,1143.0,18.0,51.0,1212.0,2225.0,927.0,137.0,62.0,1126.0,1014.0,31.0,54.0,1099.0,2225.0,1360.0,130.0,63.0,1553.0,1456.0,54.0,62.0,1572.0,3125.0,917.0,97.0,84.0,1098.0,1050.0,29.0,56.0,1135.0,2233.0,811.0,131.0,122.0,1064.0,910.0,31.0,60.0,1001.0,2065.0,510.0,122.0,54.0,686.0,413.0,21.0,50.0,484.0,1170.0,412.0,142.0,44.0,598.0,435.0,44.0,45.0,524.0,1122.0,395.0,93.0,48.0,536.0,383.0,35.0,46.0,464.0,1000.0,407.0,60.0,55.0,522.0,501.0,11.0,44.0,556.0,1078.0,480.0,57.0,63.0,600.0,585.0,10.0,44.0,639.0,1239.0,432.0,82.0,55.0,569.0,608.0,26.0,39.0,673.0,1242.0,375.0,51.0,36.0,462.0,418.0,20.0,27.0,465.0,927.0,429.0,71.0,48.0,548.0,409.0,20.0,40.0,469.0,,370.0,72.0,43.0,485.0,403.0,23.0,48.0,474.0,959.0
2,DOM-ALT,Villa Altagracia,362.0,41.0,106.0,509.0,2476.0,15.0,131.0,2622.0,3131.0,735.0,32.0,11.0,778.0,1823.0,18.0,11.0,1852.0,2630.0,650.0,31.0,12.0,693.0,1623.0,18.0,14.0,1655.0,2348.0,540.0,19.0,8.0,567.0,1425.0,16.0,5.0,1446.0,2013.0,242.0,15.0,7.0,264.0,688.0,10.0,3.0,701.0,965.0,285.0,41.0,22.0,348.0,394.0,29.0,32.0,455.0,803.0,170.0,15.0,17.0,202.0,289.0,10.0,25.0,324.0,526.0,81.0,27.0,18.0,126.0,72.0,12.0,18.0,102.0,228.0,87.0,22.0,10.0,119.0,78.0,4.0,16.0,98.0,217.0,63.0,27.0,6.0,96.0,66.0,7.0,15.0,88.0,184.0,120.0,19.0,16.0,155.0,121.0,19.0,8.0,148.0,303.0,84.0,8.0,12.0,104.0,90.0,4.0,8.0,102.0,206.0,100.0,17.0,6.0,123.0,85.0,2.0,11.0,98.0,221.0,137.0,21.0,9.0,167.0,105.0,8.0,10.0,123.0,290.0,119.0,14.0,5.0,138.0,82.0,6.0,10.0,98.0,,134.0,14.0,10.0,158.0,90.0,3.0,14.0,107.0,265.0
3,DOM-AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.0,4.0,13.0,0.0,69.0,5.0,74.0,87.0,0.0,70.0,11.0,81.0,0.0,7.0,5.0,12.0,93.0,0.0,50.0,8.0,58.0,0.0,7.0,2.0,9.0,67.0,41.0,6.0,7.0,54.0,7.0,0.0,5.0,12.0,66.0,40.0,6.0,9.0,55.0,3.0,1.0,8.0,12.0,67.0,46.0,11.0,12.0,69.0,2.0,0.0,7.0,9.0,,3.0,49.0,19.0,71.0,2.0,0.0,6.0,8.0,79.0
4,DOM-ARM,La Armería,808.0,80.0,34.0,922.0,1719.0,37.0,30.0,1786.0,2708.0,571.0,53.0,21.0,645.0,1285.0,38.0,13.0,1336.0,1981.0,476.0,69.0,21.0,566.0,1372.0,43.0,20.0,1435.0,2001.0,407.0,78.0,23.0,508.0,1276.0,61.0,29.0,1366.0,1874.0,858.0,79.0,27.0,964.0,1306.0,52.0,24.0,1382.0,2346.0,265.0,61.0,19.0,345.0,714.0,21.0,17.0,752.0,1097.0,378.0,50.0,22.0,450.0,792.0,17.0,29.0,838.0,1288.0,278.0,49.0,21.0,348.0,793.0,23.0,24.0,840.0,1188.0,172.0,51.0,17.0,240.0,497.0,26.0,26.0,549.0,789.0,156.0,33.0,11.0,200.0,427.0,32.0,18.0,477.0,677.0,85.0,26.0,7.0,118.0,169.0,18.0,11.0,198.0,316.0,112.0,21.0,8.0,141.0,194.0,9.0,8.0,211.0,352.0,98.0,43.0,12.0,153.0,230.0,20.0,11.0,261.0,414.0,127.0,28.0,14.0,169.0,197.0,7.0,14.0,218.0,387.0,197.0,30.0,28.0,255.0,310.0,8.0,25.0,343.0,,218.0,27.0,38.0,283.0,407.0,7.0,28.0,442.0,725.0
5,DOM-AZU,,,,,,,,,,,2.0,0.0,2.0,4.0,0.0,4.0,2.0,6.0,10.0,2.0,0.0,2.0,4.0,0.0,5.0,2.0,7.0,11.0,5.0,0.0,2.0,7.0,38.0,0.0,1.0,39.0,46.0,8.0,0.0,2.0,10.0,47.0,0.0,0.0,47.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,DOM-BAN,Baní,1066.0,96.0,90.0,1252.0,3286.0,104.0,40.0,3430.0,4682.0,1038.0,98.0,101.0,1237.0,2723.0,82.0,28.0,2833.0,4070.0,797.0,135.0,50.0,982.0,2185.0,58.0,30.0,2273.0,3255.0,850.0,154.0,46.0,1050.0,2034.0,73.0,31.0,2138.0,3188.0,985.0,101.0,23.0,1109.0,2184.0,98.0,20.0,2302.0,3411.0,936.0,95.0,30.0,1061.0,1962.0,97.0,22.0,2081.0,3142.0,654.0,59.0,24.0,737.0,1183.0,84.0,16.0,1283.0,2020.0,441.0,55.0,16.0,512.0,883.0,90.0,13.0,986.0,1498.0,498.0,70.0,12.0,580.0,1035.0,103.0,13.0,1151.0,1731.0,309.0,54.0,13.0,376.0,647.0,103.0,9.0,759.0,1135.0,346.0,49.0,22.0,417.0,493.0,74.0,16.0,583.0,1000.0,393.0,51.0,19.0,463.0,538.0,72.0,9.0,619.0,1082.0,191.0,49.0,12.0,252.0,324.0,75.0,10.0,409.0,661.0,201.0,77.0,31.0,309.0,159.0,4.0,16.0,179.0,488.0,131.0,40.0,33.0,204.0,255.0,23.0,26.0,304.0,,132.0,54.0,18.0,204.0,235.0,38.0,19.0,292.0,496.0
7,DOM-BAR,Barahona,473.0,80.0,32.0,585.0,656.0,42.0,23.0,721.0,1306.0,787.0,164.0,26.0,977.0,1031.0,59.0,25.0,1115.0,2092.0,650.0,61.0,3.0,714.0,731.0,45.0,0.0,776.0,1490.0,623.0,48.0,21.0,692.0,541.0,25.0,1.0,567.0,1259.0,750.0,155.0,25.0,930.0,550.0,60.0,25.0,635.0,1565.0,485.0,27.0,8.0,520.0,690.0,17.0,18.0,725.0,1245.0,670.0,20.0,10.0,700.0,265.0,25.0,10.0,300.0,1000.0,610.0,30.0,10.0,650.0,200.0,28.0,7.0,235.0,885.0,460.0,20.0,20.0,500.0,60.0,10.0,30.0,100.0,600.0,210.0,20.0,20.0,250.0,42.0,1.0,7.0,50.0,300.0,195.0,3.0,2.0,200.0,43.0,1.0,1.0,45.0,245.0,85.0,15.0,5.0,105.0,15.0,0.0,5.0,20.0,125.0,91.0,16.0,5.0,112.0,16.0,0.0,5.0,21.0,133.0,420.0,53.0,52.0,525.0,523.0,157.0,10.0,690.0,1215.0,559.0,52.0,42.0,653.0,734.0,70.0,31.0,835.0,,559.0,52.0,43.0,654.0,734.0,71.0,31.0,836.0,1490.0
8,DOM-BAY,Bayaguana,100.0,3.0,3.0,106.0,42.0,1.0,1.0,44.0,150.0,15.0,2.0,6.0,24.0,90.0,0.0,1.0,91.0,115.0,64.0,2.0,4.0,70.0,46.0,2.0,4.0,52.0,122.0,18.0,2.0,2.0,22.0,15.0,2.0,2.0,19.0,41.0,11.0,4.0,2.0,17.0,14.0,1.0,4.0,19.0,36.0,5.0,2.0,1.0,8.0,18.0,0.0,2.0,20.0,28.0,7.0,2.0,1.0,10.0,23.0,0.0,2.0,25.0,35.0,6.0,2.0,1.0,9.0,5.0,0.0,3.0,8.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,DOM-BON,Bonao,1667.0,74.0,27.0,1768.0,1918.0,13.0,23.0,1954.0,3722.0,1137.0,75.0,20.0,1232.0,1539.0,23.0,24.0,1586.0,2818.0,966.0,29.0,18.0,1013.0,1111.0,5.0,20.0,1136.0,2149.0,1334.0,73.0,11.0,1418.0,1595.0,8.0,31.0,1634.0,3052.0,1335.0,55.0,16.0,1406.0,1538.0,6.0,28.0,1572.0,2978.0,1142.0,51.0,12.0,1205.0,1484.0,13.0,21.0,1518.0,2723.0,811.0,34.0,12.0,857.0,1067.0,6.0,18.0,1091.0,1948.0,502.0,20.0,4.0,526.0,713.0,4.0,9.0,726.0,1252.0,160.0,39.0,3.0,202.0,431.0,12.0,15.0,458.0,660.0,114.0,11.0,5.0,130.0,189.0,1.0,10.0,200.0,330.0,109.0,26.0,4.0,139.0,171.0,1.0,12.0,184.0,323.0,153.0,16.0,3.0,172.0,277.0,4.0,11.0,292.0,464.0,64.0,14.0,3.0,81.0,172.0,6.0,12.0,190.0,271.0,97.0,19.0,4.0,120.0,185.0,6.0,10.0,201.0,321.0,85.0,20.0,5.0,110.0,180.0,3.0,13.0,196.0,,94.0,13.0,4.0,111.0,194.0,4.0,9.0,207.0,318.0
