code,park,ent02,ent03,variation
DOM-AZU,Azua,1,1,0
DOM-BAN,Baní,9,9,0
DOM-BAR,Barahona,3,3,0
DOM-BAY,Bayaguana,1,1,0
DOM-BON,Bonao,6,6,0
DOM-CIP,Caribbean Ind. Park,13,11,-2
DOM-CIB,Cibernético,3,3,0
DOM-COT,Cotuí,3,2,-1
DOM-CHE,Chemtec,9,11,2
DOM-RAF,Don Rafael,1,1,0
DOM-SEI,El Seibo,1,1,0
DOM-ESP,Esperanza,9,10,1
DOM-EXC,Excel Boca Chica,2,2,0
DOM-GLO,Global,2,2,0
DOM-GUR,Gurabo,3,5,2
DOM-HAI,Hainamosa,13,12,-1
DOM-HAT,Hato Mayor,1,1,0
DOM-HAN,Hato Nuevo,2,2,0
DOM-HIG,Higuey,2,1,-1
DOM-CRI,Itabo,24,25,1
DOM-JAI,Jaibón,1,1,0
DOM-CAN,La Canela,---,1,0
DOM-ARM,La Armería,11,10,-1
DOM-ROM,La Romana I,15,12,-3
DOM-RII,La Romana II,7,6,-1
DOM-VEG,La Vega,32,32,0
DOM-LAG,Laguna Prieta,1,1,0
DOM-LAS,Las Américas,21,18,-3
DOM-ALC,Los Alcarrizos,14,18,4
DOM-MIN,Los Minas,1,1,0
DOM-MOC,Moca,12,11,-1
DOM-MOI,Montecristi,2,1,-1
DOM-MUL,Multimodal Caucedo,1,1,0
DOM-NAV,Navarrete,2,2,0
DOM-NIG,Nigua,12,12,0
DOM-PAB,Palmar Abajo,1,1,0
DOM-PAM,Palmarejo,3,5,2
DOM-PED,Pedernales,1,1,0
DOM-PIS,PISANO,31,31,0
DOM-PON,Pontezuela,1,1,0
DOM-PUE,Puerto Plata,12,11,-1
DOM-SAL,Salcedo,1,3,2
DOM-FRA,San Fco. de Macorís,5,5,0
DOM-ISI,San Isidro,37,40,3
DOM-MAC,San Pedro deMacorís,49,52,3
DOM-S12,Santiago I y II,84,83,-1
DOM-JAN,Santiago Jánico,2,2,0
DOM-SLI,Santiago Licey,9,11,2
DOM-TAM,Tamboril,2,5,3
DOM-ALT,Villa Altagracia,3,3,0
DOM-MEL,Villa Mella,3,3,0
DOM-ZOF,Zofinma (Mao),1,1,0
DOM-LUN,Zona Franca Industrial Luna,1,1,0
DOM-QUI,Zona Franca Industrial Quisqueya,1,1,0
DOM-ZFE,Z.F. Especiales,33,35,2
