code,park,ent99,ent00,ent01,ent02,ent03,ent04,ent05,ent06,ent07,ent08,ent09,ent10,ent11,ent12,ent13,ent13,ent15,ent16,ent17,ent18,enter_2019
DOM-6NO,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
DOM-ALC,Los Alcarrizos,16.0,19.0,17.0,14.0,18.0,17.0,14.0,14.0,14.0,12.0,15.0,14.0,13.0,13.0,13.0,13.0,10.0,11.0,10.0,9.0,5.0
DOM-ALT,Villa Altagracia,2.0,2.0,2.0,3.0,3.0,3.0,4.0,7.0,9.0,9.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
DOM-AND,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DOM-ARM,La Armer’a,11.0,10.0,9.0,11.0,10.0,10.0,10.0,9.0,8.0,8.0,7.0,5.0,5.0,6.0,6.0,6.0,8.0,9.0,8.0,7.0,6.0
DOM-AZU,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-BAN,Ban’,13.0,11.0,11.0,9.0,9.0,8.0,10.0,8.0,6.0,7.0,5.0,6.0,6.0,6.0,5.0,5.0,7.0,7.0,7.0,6.0,5.0
DOM-BAR,Barahona,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0
DOM-BAY,Bayaguana,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-BON,Bonao,6.0,9.0,7.0,6.0,6.0,6.0,8.0,8.0,5.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0
DOM-CAD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0
DOM-CAN,0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-CDF,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
DOM-CHE,Chemtec,13.0,12.0,10.0,9.0,11.0,13.0,9.0,9.0,7.0,5.0,5.0,6.0,7.0,8.0,8.0,8.0,9.0,7.0,8.0,8.0,9.0
DOM-CIB,0,0.0,0.0,1.0,3.0,3.0,1.0,2.0,2.0,5.0,8.0,9.0,8.0,11.0,8.0,9.0,9.0,5.0,6.0,5.0,5.0,8.0
DOM-CIP,Caribbean Ind. Park,12.0,15.0,14.0,13.0,11.0,13.0,15.0,16.0,16.0,14.0,15.0,18.0,20.0,20.0,23.0,23.0,29.0,30.0,35.0,32.0,31.0
DOM-CON,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
DOM-COT,Cotu’,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-CRI,Itabo,19.0,19.0,23.0,24.0,25.0,32.0,34.0,35.0,35.0,31.0,37.0,36.0,39.0,38.0,39.0,39.0,42.0,39.0,40.0,36.0,37.0
DOM-CTQ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0
DOM-DOS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
