code,ele0,tss0,inf0,wat0,com0,ele1,tss1,inf1,wat1,com1,ele3,tss3,inf3,wat3,com3,ele4,tss4,inf4,wat4,com4,ele5,tss5,inf5,wat5,com5,ele6,tss6,inf6,wat6,com6,ele7,tss7,inf7,wat7,com7,ele8,tss8,inf8,wat8,com8,ele9,tss9,inf9,wat9,com9,ele10,tss10,inf10,wat10,com10,ele11,tss11,inf11,wat11,com11,ele12,tss12,inf12,wat12,com12,ele14,tss14,inf14,wat14,com14,ele15,tss15,inf15,wat15,com15,ele16,tss16,inf16,wat16,com16
DOM-6NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6280.98,2104.9,184.04,162.55,359.26
DOM-ALC,9812247.7,5638113.84,766893.43,464354,0,9991975,5522545.9,664740.87,303304.5,0,15851375.59,4545852.91,737730.28,449473.79,4158720.15,31941101.51,4234373.33,1253120.81,1017732,4507834.03,30035567.07,5501330.91,1407623.3,920207.21,4420022.97,27144131.93,5145037.9,1543897.97,877829,4708623.09,13412951.03,7169903.25,962618.42,936269,3178531.56,18897769.79,15433680.55,978345.29,1435004.34,5586756.02,14666398.01,14541632.67,1066418.39,1217425.02,5051923.34,9379610.45,18714115.9,871198.12,1261781.85,3955706.7,14013520.36,22596915.27,933492,1493500.5,3314118.53,10572678.8,23296070.87,980049,1192078.77,3355000.81,9756788.47,24852524.06,1022784.27,747952.08,3432905.23,12778331.28,28271407.9,1141928.41,1435953.34,4495590.62,11783.2,29103.43,1256.74,669.42,3847.24
DOM-ALT,4272000,7560000,793343.19,72000,0,1175000,3806394.08,290000,139000,0,11150215,10935678.33,1017692.59,325540,2487088.9,9043136.54,3725000,635384,237188,2003650.38,6987870.34,2107920.47,408213.28,266100,2286140.75,4751695.92,1201401.88,381967.26,250468.6,2163662.03,1234774.4,1647202.68,93743.3,81919.6,1371434.34,318255.38,1941581.34,98723.58,114598,1877264.54,610390.4,1062869.46,118837.53,84833.6,1900434.89,1399795,5322537.16,219223,49118,1394800,1520517.05,7561303.51,356764,55852.5,1552829.83,1288332.81,7936020.51,387770.82,76099,1397401.31,1385432.01,7894656.18,186447.93,131185.34,543196.14,2953903.92,12614559.92,672375.3,215511.24,1074811.05,5659.76,11903.82,550.26,294.3,1155.99
DOM-AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1764000,2725541.49,0,156000,324000,1430112,3396051.78,135976,0,1158574,1270858,3452591.29,147725,70000,778647.54,2316650,4182936.78,183133,97718,894234,1890308,3818310.97,174472,131630,965470,2710157.43,3607344.32,190443.41,62040,1151974.54,1982.32,4093.94,215.33,201.45,1029.41
DOM-ARM,3561896,3980122.5,678543.21,86750,0,2419200.04,2921492.85,281005.92,81700,0,3817908.51,2976086.42,550258.47,37178,730368.99,11063851.64,2319144.38,701344.07,343650,1630871.96,8102430.7,2895184.45,460677.17,179433,1957018.55,8361395.8,2034905.97,889290.93,88058,2007078.8,6545460.79,5735152.92,566717.5,341660,3265433.59,5997554.38,11070036.33,629817.64,75021.9,3251871.07,5820089.4,8324377.6,404930.4,251406.7,2824575.49,3612196.79,4756105.55,145913.89,107733,1015920.68,3784639.9,5957603.18,296433.6,118693,987064,4101929.55,6053210.57,349344.39,244911,1106267.34,2379713.44,8024967.52,197783.28,43312.1,1183737.23,20596983.45,11133280.32,550180.07,722143.9,1509984.22,5046.3,13470.86,591.82,951.47,1772.33
DOM-BAN,5251803.98,8583658.52,847448.58,129226,0,3153149.06,9424323.58,582717.94,320910,0,6870899.33,6166225.07,1006133.71,310655.86,1284632.25,9353623.31,5952381.83,1168661.01,301136,1913874.03,9066274.95,10238552.77,997643.26,462374,1924319.62,6442155.34,5140003.74,824660.11,404351.8,1961682.95,5868480.39,12644412.11,600845.44,353703.8,1879179.61,4476381.38,23111357.53,478238.69,278929,1792031.44,3431317.66,33686060.71,789637.82,246166.66,2104759.61,7711990.19,10096906.3,785209.75,322045,2595124.47,9525893.83,20538705.08,516147.5,362455.08,2187942.39,10891060.06,2958098.68,619017.32,286146,2672284.25,2783958.92,4263878.51,238145.6,289496.4,958293.04,4967735.6,5068662.78,404979.81,429835.08,1478174.86,6491.47,4758.06,538.36,766.45,1388.77
DOM-BAR,7226794,1126650,234224.39,36750,0,321000,330000,38400,53400,0,30269420.79,1630382.78,735581.9,0,0,42455245.6,2887882.12,0,58860,1840320.55,45337430,3.00E+06,360000,113000,360000,45337430,0,360000,113000,360000,4.00E+07,1.00E+07,6.00E+05,4.00E+05,7.00E+05,38500000,6291685.04,720000,264000,1200000,2.30E+07,0,68000,172000,6.00E+05,30478185,4678962.73,734039,128552,657411,35949048.84,0,413347.5,128552.4,663464.04,25813861.28,14523197.8,413347.5,128552.4,546066.47,985525.441,8284397.51,60000,67802,355560,40383864.63,51883452.6,631268.87,605755.5,2268129.5,40948.45,30089.5,1258.52,1728.01,1915.2
DOM-BON,3027130.25,5771109.01,648183.09,35432,0,3240635.45,8682549.77,835232.49,28432,0,10371273.48,4459479.29,319901.72,907728.78,1750786.35,10814822.07,5068724.17,606118.14,234589.08,1602793.17,15053601.87,30696905.61,568509.3,556297.8,1596498.92,15897982.83,5974542.8,719034.68,371096.2,3040014.45,13822918.11,12613973.54,571084.69,262747.91,992152.02,2941251.94,7995323.93,203004.2,120057.21,1012608.13,1467699.06,1645550.85,55754.6,33491.2,754759.94,2349687.03,1246678.79,65550,44658.4,905668.81,3432219.23,5410301.48,271250,66988,993399.75,2683090.4,4733357.13,108817,61405,995619.77,4563323.95,6256241.56,353728,85987.6,1518616.94,4423760.38,6975466.02,333767,144000,1064010.82,4327.98,7887.88,387.6,144,1215.18
DOM-CAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOM-CHE,4580529,7149064.81,0,345045,0,9328406.08,8646283.47,1005477.13,425735.6,0,4602130.67,1503421.5,233244.74,177396.8,825149.72,11929849.17,1408059.15,365370.54,246924,1394311.58,10402782.44,1170073.15,262804.83,209040.6,1387635.99,13242019.36,2596859.38,717258.02,233961.6,2354743.79,14349462.98,5514547.5,579777.27,244401.23,2545750.57,12808605.5,6623097.87,488682.1,171369,1090189.81,13993965.2,5781557.28,366915.01,166670.99,946739.86,13255139,10656593.09,405706.8,142915.55,1371393.55,19051156.69,10608410.61,362138,217974.5,1171243.72,19316760.03,10548295.96,530063,230259.6,1570888.64,14773378.86,11493555.04,585454.82,205647.2,2435841.72,19753863.39,14392580.28,700228.34,222407.2,2633786.51,16396.4,16817.56,707.33,167.81,1890.4
