code,com0,com1,com2,com03,com04,com05,com06,com07,com08,com09,com10,com11,com12,com13,com14,com15,com16,com17,com18,com19
DOM-6NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.26,424386.85,0.0,19500.0
DOM-ALC,0.0,0.0,0.0,4158720.15,4507834.03,4420022.97,4708623.09,3178531.56,5586756.02,5051923.34,3955706.7,3314118.53,3355000.81,4516875.88,3432905.23,4495590.62,3847.24,3993701.39,0.0,1974809.47
DOM-ALT,0.0,0.0,0.0,2487088.9,2003650.38,2286140.75,2163662.03,1371434.34,1877264.54,1900434.89,1394800.0,1552829.83,1397401.31,1339684.04,543196.14,1074811.05,1155.99,1404116.58,0.0,1879744.03
DOM-AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324000.0,1158574.0,778647.54,894234.0,1041026.99,965470.0,1151974.54,1029.41,1186719,0.0,1734118.74
DOM-ARM,0.0,0.0,0.0,730368.99,1630871.96,1957018.55,2007078.8,3265433.59,3251871.07,2824575.49,1015920.68,987064.0,1106267.34,1248648.85,1183737.23,1509984.22,1772.33,2681815.41,0.0,1382951.54
DOM-AZU,0.0,0.0,0.0,35000.0,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
DOM-BAN,0.0,0.0,0.0,1284632.25,1913874.03,1924319.62,1961682.95,1879179.61,1792031.44,2104759.61,2595124.47,2187942.39,2672284.25,412106.56,958293.04,1478174.86,1388.77,1959452.37,0.0,2250000.02
DOM-BAR,0.0,0.0,0.0,0.0,1840320.55,360000.0,360000.0,700000.0,1200000.0,600000.0,657411.0,663464.04,546066.47,2402409.67,355560.0,2268129.5,1915.2,3096464.31,0.0,3747637.58
DOM-BAY,0.0,0.0,0.0,0.0,261622.87,54087.0,32400.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
DOM-BON,0.0,0.0,0.0,1750786.35,1602793.17,1596498.92,3040014.45,992152.02,1012608.13,754759.94,905668.81,993399.75,995619.77,1264464.94,1518616.94,1064010.82,1215.18,1297725.75,0.0,1310535.33
DOM-CAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33230.16,0.0,3004.81
DOM-CAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
DOM-CDF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640155.83,617.36,683225.52,0.0,977820.0
DOM-CHE,0.0,0.0,0.0,825149.72,1394311.58,1387635.99,2354743.79,2545750.57,1090189.81,946739.86,1371393.55,1171243.72,1570888.64,1385090.31,2435841.72,2633786.51,1890.4,2978614.24,0.0,2677432.98
