code,ele00,ele01,ele02,ele03,ele04,ele05,ele06,ele07,ele08,ele09,ele10,ele11,ele12,ele13,ele14,ele15,ele16,ele17,ele18,ele19
DOM-6NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6280.98,4540135.04,0.0,1250000.0
DOM-ALC,9812247.7,9991975.0,7631557.76,15851375.59,31941101.51,30035567.07,27144131.93,13412951.03,18897769.79,14666398.01,9379610.45,14013520.36,10572678.8,11821322.07,9756788.47,12778331.28,11783.2,14093068.47,0.0,10493017.48
DOM-ALT,4272000.0,1175000.0,5750000.0,11150215.0,9043136.54,6987870.34,4751695.92,1234774.4,318255.38,610390.4,1399795.0,1520517.05,1288332.81,1483792.26,1385432.01,2953903.92,5659.76,2298832.03,0.0,7072325.55
DOM-AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1764000.0,1430112.0,1270858.0,2316650.0,2284425.31,1890308.0,2710157.43,1982.32,1484297.0,0.0,1966322.88
DOM-ARM,3561896.0,2419200.04,3073773.58,3817908.51,11063851.64,8102430.7,8361395.8,6545460.79,5997554.38,5820089.4,3612196.79,3784639.9,4101929.55,3218046.65,2379713.44,20596983.45,5046.3,3749228.35,0.0,5093636.47
DOM-AZU,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-BAN,5251803.98,3153149.06,3614146.12,6870899.33,9353623.31,9066274.95,6442155.34,5868480.39,4476381.38,3431317.66,7711990.19,9525893.83,10891060.06,2821259.32,2783958.92,4967735.6,6491.47,5209901.6,0.0,4780396.86
DOM-BAR,7226794.0,321000.0,12840215.64,30269420.79,42455245.6,45337430.0,45337430.0,40000000.0,38500000.0,23000000.0,30478185.0,35949048.84,25813861.28,34848904.4,985525.441,40383864.63,40948.45,37847480.28,0.0,102791238.9
DOM-BAY,150000.0,72456.0,55688.27,55688.0,527539.35,105781.44,146300.0,86000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-BON,3027130.25,3240635.45,4772521.11,10371273.48,10814822.07,15053601.87,15897982.83,13822918.11,2941251.94,1467699.06,2349687.03,3432219.23,2683090.4,3943415.64,4563323.95,4423760.38,4327.98,3393661.1,0.0,3332202.71
DOM-CAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85000.0,0.0,124281.86
DOM-CAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-CDF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1131384.14,1577590.58,1529.18,1685129.89,0.0,2049236.0
DOM-CHE,4580529.0,9328406.08,3176860.29,4602130.67,11929849.17,10402782.44,13242019.36,14349462.98,12808605.5,13993965.2,13255139.0,19051156.69,19316760.03,13461109.43,14773378.86,19753863.39,16396.4,19429924.73,0.0,30384647.93
DOM-CIB,0.0,0.0,60000.0,22000.0,0.0,526342.0,4831007.0,12222517.82,19063172.61,17546188.22,5720230.69,19172437.66,18956992.95,23874464.87,27786000.0,41757937.42,30250.05,58707357.22,0.0,54779341.56
DOM-CIP,8864202.0,23042736.06,11147686.73,36867922.31,87363210.07,65407518.8,70584347.77,106637497.1,90381177.52,80355505.87,45913185.07,86861655.83,180360924.8,112918397.2,128755649.2,146043047.4,127272.03,119332989.8,0.0,89315767.95
DOM-CON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6321459.58,4556012.57,7560914.81,7425.37,6292969.56,0.0,10160661.23
DOM-COT,129982.91,251000.0,347500.0,566000.0,1468666.0,739950.0,934400.0,1344448.8,1048400.0,872600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-CRI,68236074.0,73122148.68,97960798.42,191366523.7,276169513.3,325668370.3,302698151.6,348712686.5,287747989.2,232284174.5,244652532.6,276332873.9,365093433.6,492748791.1,584125924.9,625331734.0,651718.62,691608513.3,0.0,825721586.6
DOM-CTQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1175619.75,1388.02,1649052.87,0.0,1246035.68
DOM-DOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128144640.0,128144640.0,34057156.07,19095998.4,242431456.2,262569413.9,320066304.0,328948693.0,327002713.0,202952.73,268916088.3,0.0,328800987.9
DOM-DPE,0.0,0.0,0.0,0.0,0.0,84373.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-ELV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,13346.38
DOM-EMI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11098754.41,12249484.23,8744.58,17069171.81,0.0,9453329.27
DOM-ESP,10290123.02,23236495.09,11383978.96,21276192.5,40428423.28,28562158.58,905161.66,32366169.94,27035862.11,24216673.43,29460537.51,22457580.01,14917069.85,7783729.34,12163312.0,28329627.02,28788.4,24758012.24,0.0,39543451.15
DOM-EXC,294179.0,362000.0,386200.0,879912.0,1159680.0,1503711.65,38360768.55,2048091.0,1375450.0,47790.34,1584746.77,3222000.0,4000000.0,4250000.0,6063319.36,7929219.5,7751.0,10100600.0,0.0,11394000.0
DOM-FLO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1939364.08
DOM-FRA,1271259.0,1262821.0,1171659.02,3107986.38,4597762.1,3857469.33,4265731.7,3714134.71,682100.99,724743.81,694055.57,1072866.99,1087059.64,1095019.0,1156683.37,1204258.97,1305.68,1378218.82,0.0,1114031.94
DOM-GLO,0.0,0.0,0.0,0.0,0.0,0.0,1688391.0,0.0,0.0,0.0,0.0,0.0,23233.0,200000.0,230000.0,263440.0,285.88,226849.0,0.0,521430.0
DOM-GUR,6820179.91,7685350.16,7760382.02,9305761.59,36051786.93,25398122.2,13464000.0,19780486.01,13636635.67,11403163.67,12891988.97,15419362.97,18725821.73,30809070.45,35021178.09,30215613.44,28780.76,35402588.7,0.0,25201002.33
DOM-HAI,7327312.15,6442176.72,3066879.32,4021745.75,6239029.97,4453966.57,17583342.54,4742077.77,12673790.84,5433532.73,9405248.11,2141319.84,1685146.08,1724470.21,1549000.0,3790425.74,2256.12,2200795.91,0.0,2972960.42
DOM-HAN,0.0,0.0,116161.0,120170.0,0.0,0.0,637287.54,155154.69,2082907.03,939754.48,2424512.99,2862853.03,4245553.6,696404.56,3825404.56,5428204.55,4381.42,2259448.05,0.0,7144403.37
DOM-HAT,0.0,191325.4,317265.07,689937.68,1033823.0,1156172.85,11411760.55,1550157.69,1373647.19,0.0,0.0,1205000.0,1488861.54,1362799.0,2015763.11,2316299.2,1820.91,864000.0,0.0,1013494.09
DOM-HER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010114.41,6210003.0,0.0,15759.18,1047638.38,0.0,6300784.06
DOM-HIG,2055149.0,2553200.0,1663000.0,2000000.0,3369000.0,2301000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-HIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400000.0,2600.0,2800000.0,0.0,4788000.0
DOM-HIS,0.0,0.0,0.0,0.0,0.0,8586570.0,7393166.0,3254154.21,11465044.6,11465044.6,1276002.0,0.0,12316294.49,12269100.0,9265149.0,22182095.37,5209.76,8692908.98,0.0,13125465.0
DOM-HIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DOM-IHA,2011963.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-INE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10010.0,21772129.86,0.0,32471000.0
DOM-INF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180000.0,231140.68,393.93,321641.42,0.0,1265773.0
DOM-INT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746966.74,3535691.11,3400000.0,11200000.0,10511630.69,9318612.86,10632.05,10162791.28,0.0,6689939.3
DOM-ISI,31646223.4,37173666.23,39847745.24,76825402.54,168897478.6,117089825.7,113312390.4,146519634.5,139838599.5,143815211.4,153059641.0,192686630.6,221826562.5,220033255.5,291017114.6,304271060.5,275492.7,301999123.9,0.0,342337969.2
DOM-JAI,180000.0,205385.11,0.0,0.0,900000.0,1254564.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-JAN,1920000.0,6760855.85,7200000.0,18533222.7,30313416.0,33049721.8,30372231.57,31935192.65,2655783.4,3490166.16,13945897.54,18071842.11,27578770.12,29306465.2,32100746.7,23618678.0,24590.47,21240677.08,0.0,27648425.71
DOM-JOB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85000.0,1360.0,881498.16,0.0,0.0
DOM-KEP,0.0,0.0,0.0,0.0,0.0,1432000.0,9013270.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-KGC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175472.76,182851.78,183.44,180609.0,0.0,194718.75
DOM-LAG,275000.0,312000.0,444000.0,600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-LAS,39819296.51,47191306.25,55145120.07,89759303.35,139655957.0,161252682.0,182068757.3,226515732.7,183340508.6,184663047.5,148893774.2,187574926.9,217385839.1,25912209.5,243770121.4,280476699.9,247328.3,293197520.5,0.0,408222180.3
DOM-LEO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2750175.65
DOM-LIM,0.0,0.0,0.0,0.0,0.0,342221.0,43391834.21,0.0,0.0,0.0,0.0,0.0,0.0,180000.0,2811290.02,5150982.66,8197.46,10653057.07,0.0,12501512.2
DOM-LUN,0.0,0.0,370734.0,780000.0,0.0,2794.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MAC,45780419.63,42492996.64,45096382.52,83155099.4,168840272.3,139794467.6,101201162.9,112400543.1,121725770.0,100969161.5,135001450.1,161665303.2,188382145.5,186522155.5,221808160.3,212345332.3,208110.17,185343711.9,0.0,226470430.3
DOM-MAI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51000.0,2559.95,3124677.25,0.0,3782123.33
DOM-MEL,6796128.3,6283739.67,1438059.25,6639000.0,9187007.94,10838620.64,19350428.55,3067631.8,2387409.67,3674585.1,1816759.48,6687300.5,7456313.48,9826119.02,11822216.17,14030595.4,11396.63,6126095.99,0.0,7455257.54
DOM-MIN,0.0,341288.87,236818.96,210710.8,300000.0,801527.86,841152.93,300025.0,238588.13,281951.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MOC,9048692.83,11848330.33,16017402.13,20580576.56,36782141.58,31797019.84,28623690.69,20431567.78,15461539.82,12297963.57,18430762.5,34625580.29,15231252.35,13507667.72,21318131.04,14446956.15,30417.06,22247976.35,0.0,36922179.33
DOM-MOI,0.0,42202.73,42202.0,67739.31,480000.0,737678.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MUL,0.0,0.0,0.0,0.0,382589.57,0.0,0.0,0.0,0.0,0.0,100000.0,150000.0,373305.86,507341.2,528593.12,296750.33,278.47,1061570.8,0.0,1795884.0
DOM-MUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24000531.0,26384380.0,22344173.0,30290636.0,33896416.0,31144585.0,38673808.27,36970014.96,40311999.49,32955.06,32570375.29,0.0,35601187.4
DOM-NAV,2383800.0,2833561.7,2148851.4,5050331.0,5612278.31,10131215.85,8259877.55,4609725.13,4011440.3,4158602.92,6391340.08,7352062.5,4680867.9,8551796.1,9489340.72,9602851.91,11226.56,12922250.61,0.0,21642261.71
DOM-NIG,4990825.74,10773658.69,7740662.14,14439561.49,26029161.91,28125967.09,33135588.11,32203441.29,26339314.91,24101599.92,31599007.22,36928008.32,35169553.2,36253354.43,62651614.05,65850037.58,40526.58,54417538.38,0.0,44579570.91
DOM-NII,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23846149.62
DOM-NOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,72709.67,0.0,779017.68
DOM-PAB,2445774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.96,11000.0,0.0,0.0
DOM-PAL,0.0,0.0,0.0,0.0,0.0,240000.0,359376.0,552220.44,908717.81,589243.21,991864.3,1456440.38,2131815.88,3216998.6,1952417.0,3694818.92,8262.04,2702600.77,0.0,4023272.7
DOM-PAM,929360.0,848991.0,1509640.0,3169920.0,3836872.93,4044706.12,5207571.5,5613195.0,6063778.16,5376814.52,4506784.77,7263328.49,6472658.23,8384306.39,7009679.1,8137380.4,9130.11,9472423.1,0.0,12701093.85
DOM-PED,0.0,24000.0,24000.0,95710.29,250361.0,284351.0,730876.41,823787.63,823787.63,922866.82,1115044.36,1659603.39,875241.0,2064024.15,1712396.98,1641805.95,1745.54,2040000.0,0.0,1592410.0
DOM-PER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34242290.28,42049577.91,50151982.46,60875455.28,49742887.3,25842.41,28143848.59,0.0,52416848.05
DOM-PEV,0.0,0.0,0.0,0.0,5266520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-PIS,9166401.0,3694857.27,13008163.31,19555619.53,46965030.16,59526504.97,62519598.46,65925107.98,51271347.69,48973308.86,24282079.02,73547178.7,80591565.56,109294672.6,168579823.7,117681077.5,101622.47,124490261.3,0.0,135084461.4
DOM-PON,172380.0,209200.0,30765.0,264442.0,0.0,347453.02,420337.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-PUE,5311906.08,6382882.63,4801949.0,9841753.51,14868005.65,11835927.0,10330810.56,11371193.78,7811303.43,10479512.62,52109546.38,6687413.52,8351288.95,9195261.13,9095511.43,13816381.09,12543.54,12828743.3,0.0,13594840.42
DOM-QUI,0.0,0.0,0.0,416155.6,1119632.6,0.0,684095.53,805363.73,1908460.68,0.0,6712632.68,0.0,0.0,0.0,6161874.67,6965468.02,5499.88,3777713.94,0.0,6358616.5
DOM-RAF,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-RIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460540.0,3300000.0,3006028.0,3250.88,3355923.0,0.0,1532363.42
DOM-RII,5968526.43,8627763.89,9879146.43,18782739.25,33819992.38,27622215.09,22992789.55,23672777.38,29393353.81,20976522.34,21025814.36,26507466.38,35256865.8,54959547.86,58426062.04,60462198.91,79362.75,82150769.7,0.0,92589511.77
DOM-RIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000000.0
DOM-ROB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3337347.72,2447215.71,2242076.98,0.0,0.0,0.0,0.0
DOM-ROM,38118402.65,49743540.42,33182058.49,47814816.03,74764835.34,28743520.15,29174906.85,27082637.86,33532284.52,27220317.22,28893398.31,38452319.51,38473255.24,65639346.42,90106211.87,89889901.15,85530.98,80938586.91,0.0,101461793.1
DOM-S12,101656845.0,94383489.6,102560173.3,201119669.6,308988769.2,303091368.2,293768218.6,161897027.3,166163383.1,129867974.1,166844336.3,186080832.9,194981328.6,224571070.4,293475351.9,291582455.3,386730.67,389845544.2,0.0,451991691.8
DOM-SAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1904171.69,3007786.0,2404431.0,2062396.65,2062.4,2006358.0,0.0,1592498.9
DOM-SAL,0.0,0.0,0.0,600000.0,32140.0,12140.0,0.0,0.0,302763.0,1080377.31,1357346.85,1608000.0,1742000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-SEI,0.0,0.0,0.0,0.0,0.0,1059585.08,0.0,612457.0,785000.0,336000.0,540000.0,521478.0,542318.0,300000.0,855805.0,909547.0,919.6,693193.0,0.0,600000.0
DOM-SLI,990083.26,1543339.11,2129339.17,1372721.6,7994044.26,8818173.82,3091175.19,3788948.8,2823416.28,4382922.63,4969175.89,4793079.86,4358267.17,7256028.88,6436875.41,6000754.68,6945.19,6236185.32,0.0,7801574.38
DOM-SUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982.33,2238300.0,0.0,0.0
DOM-SUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76200.0,83.0,76325.0,0.0,121775.75
DOM-TAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1251.31,1495742.07,0.0,1344864.0
DOM-TAM,4500.0,1280000.0,2366981.78,4691649.35,7464937.92,10465287.93,12144439.26,7647898.55,10643103.24,15307395.82,8487711.31,21213843.83,39412130.31,47207755.04,75931434.73,80861818.16,151758.85,144050964.4,0.0,77947924.96
DOM-VEG,19505860.5,18458617.35,25404777.15,36287644.7,62456738.43,42998044.02,55704977.32,37044662.79,30021879.85,22856282.57,35713830.0,50243306.14,57437671.39,67115276.52,129657135.5,61770972.74,50380.11,49982735.63,0.0,63028311.36
DOM-VER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85000.0
DOM-VIS,0.0,0.0,0.0,0.0,145500.0,73211.41,85024900.0,146663382.3,215730058.9,4224434.65,10085000.0,173500000.0,5013142.46,393295000.0,374700000.0,315649590.4,254413.1,282082948.8,0.0,305399199.7
DOM-YAQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14179092.89,12995959.54,10715418.68,24736054.62,17042645.24,31201560.66,24382.6,19351893.44,0.0,17595139.9
DOM-ZFE,0.0,0.0,0.0,0.0,114718485.9,217620059.2,329645069.4,255728777.2,260776176.3,262345324.2,289523508.4,323949608.5,366616395.6,0.0,521249619.7,560731683.0,519425.72,0.0,0.0,968220.82
DOM-ZOF,30000.0,420000.0,420000.0,1697505.69,2400000.0,2240217.31,2302379.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3877958.45,0.0,0.0,0.0
