code,park_2000,ele00,tss00,inf00,wat00,com00,ele01,tss01,inf01,wat01,com01,ele02,tss02,inf02,wat02,com02,ele03,tss03,inf03,wat03,com03,ele04,tss04,inf04,wat04,com04,ele05,tss05,inf05,wat05,com05,ele06,tss06,inf06,wat06,com06,ele07,tss07,inf07,wat07,com07,ele08,tss08,inf08,wat08,com08,ele09,tss09,inf09,wat09,com09,ele10,tss10,inf10,wat10,com10,ele11,tss11,inf11,wat11,com11,ele12,tss12,inf12,wat12,com12,ele13,tss13,inf13,wat13,com13,ele14,tss14,inf14,wat14,com14,ele15,tss15,inf15,wat15,com15,ele16,tss16,inf16,wat16,com16,ele17,tss17,inf17,wat17,com17,ele18,tss18,inf18,wat18,com18,ele19,tss19,inf19,wat19,com19
DOM-6NO,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6280.98,2104.9,184.04,162.55,359.26,4540135.04,2323084.38,131204.54,20654.15,424386.85,0.0,0.0,0.0,0.0,0.0,1250000.0,1883168.95,11500.0,8500.0,19500.0
DOM-ALC,LosAlcarrizos,9812247.7,5638113.84,766893.43,464354.0,0.0,9991975.0,5522545.9,664740.87,303304.5,0.0,7631557.76,3930638.13,532821.61,175151.74,0.0,15851375.59,4545852.91,737730.28,449473.79,4158720.15,31941101.51,4234373.33,1253120.81,1017732.0,4507834.03,30035567.07,5501330.91,1407623.3,920207.21,4420022.97,27144131.93,5145037.9,1543897.97,877829.0,4708623.09,13412951.03,7169903.25,962618.42,936269.0,3178531.56,18897769.79,15433680.55,978345.29,1435004.34,5586756.02,14666398.01,14541632.67,1066418.39,1217425.02,5051923.34,9379610.45,18714115.9,871198.12,1261781.85,3955706.7,14013520.36,22596915.27,933492.0,1493500.5,3314118.53,10572678.8,23296070.87,980049.0,1192078.77,3355000.81,11821322.07,24948480.94,1273446.04,789742.5,4516875.88,9756788.47,24852524.06,1022784.27,747952.08,3432905.23,12778331.28,28271407.9,1141928.41,1435953.34,4495590.62,11783.2,29103.43,1256.74,669.42,3847.24,14093068.47,25825199.68,1453292.93,847839.06,3993701.39,0.0,0.0,0.0,0.0,0.0,10493017.48,32927736.42,1303479.0,453229.0,1974809.47
DOM-ALT,VillaAltagracia,4272000.0,7560000.0,793343.19,72000.0,0.0,1175000.0,3806394.08,290000.0,139000.0,0.0,5750000.0,10114844.08,684540.96,458376.4,0.0,11150215.0,10935678.33,1017692.59,325540.0,2487088.9,9043136.54,3725000.0,635384.0,237188.0,2003650.38,6987870.34,2107920.47,408213.28,266100.0,2286140.75,4751695.92,1201401.88,381967.26,250468.6,2163662.03,1234774.4,1647202.68,93743.3,81919.6,1371434.34,318255.38,1941581.34,98723.58,114598.0,1877264.54,610390.4,1062869.46,118837.53,84833.6,1900434.89,1399795.0,5322537.16,219223.0,49118.0,1394800.0,1520517.05,7561303.51,356764.0,55852.5,1552829.83,1288332.81,7936020.51,387770.82,76099.0,1397401.31,1483792.26,9404481.09,396099.0,109895.2,1339684.04,1385432.01,7894656.18,186447.93,131185.34,543196.14,2953903.92,12614559.92,672375.3,215511.24,1074811.05,5659.76,11903.82,550.26,294.3,1155.99,2298832.03,13578419.6,615370.01,392173.15,1404116.58,0.0,0.0,0.0,0.0,0.0,7072325.55,14259957.83,667377.47,462740.86,1879744.03
DOM-AND,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1764000.0,2725541.49,0.0,156000.0,324000.0,1430112.0,3396051.78,135976.0,0.0,1158574.0,1270858.0,3452591.29,147725.0,70000.0,778647.54,2316650.0,4182936.78,183133.0,97718.0,894234.0,2284425.31,4514445.53,202250.54,152212.0,1041026.99,1890308.0,3818310.97,174472.0,131630.0,965470.0,2710157.43,3607344.32,190443.41,62040.0,1151974.54,1982.32,4093.94,215.33,201.45,1029.41,1484297.0,5061051.49,272479.0,161921.0,1186719,0.0,0.0,0.0,0.0,0.0,1966322.88,5657654.23,252129.69,154042.8,1734118.74
DOM-ARM,LaArmer’a,3561896.0,3980122.5,678543.21,86750.0,0.0,2419200.04,2921492.85,281005.92,81700.0,0.0,3073773.58,4052449.34,464793.44,171953.0,0.0,3817908.51,2976086.42,550258.47,37178.0,730368.99,11063851.64,2319144.38,701344.07,343650.0,1630871.96,8102430.7,2895184.45,460677.17,179433.0,1957018.55,8361395.8,2034905.97,889290.93,88058.0,2007078.8,6545460.79,5735152.92,566717.5,341660.0,3265433.59,5997554.38,11070036.33,629817.64,75021.9,3251871.07,5820089.4,8324377.6,404930.4,251406.7,2824575.49,3612196.79,4756105.55,145913.89,107733.0,1015920.68,3784639.9,5957603.18,296433.6,118693.0,987064.0,4101929.55,6053210.57,349344.39,244911.0,1106267.34,3218046.65,8277887.88,206720.75,194932.61,1248648.85,2379713.44,8024967.52,197783.28,43312.1,1183737.23,20596983.45,11133280.32,550180.07,722143.9,1509984.22,5046.3,13470.86,591.82,951.47,1772.33,3749228.35,14603635.91,649930.0,730737.32,2681815.41,0.0,0.0,0.0,0.0,0.0,5093636.47,16707260.03,665209.54,657895.0,1382951.54
DOM-AZU,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,35000.0,50000.0,0.0,35000.0,60000.0,35000.0,50000.0,0.0,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-BAN,Ban’,5251803.98,8583658.52,847448.58,129226.0,0.0,3153149.06,9424323.58,582717.94,320910.0,0.0,3614146.12,7215875.4,639097.44,185969.6,0.0,6870899.33,6166225.07,1006133.71,310655.86,1284632.25,9353623.31,5952381.83,1168661.01,301136.0,1913874.03,9066274.95,10238552.77,997643.26,462374.0,1924319.62,6442155.34,5140003.74,824660.11,404351.8,1961682.95,5868480.39,12644412.11,600845.44,353703.8,1879179.61,4476381.38,23111357.53,478238.69,278929.0,1792031.44,3431317.66,33686060.71,789637.82,246166.66,2104759.61,7711990.19,10096906.3,785209.75,322045.0,2595124.47,9525893.83,20538705.08,516147.5,362455.08,2187942.39,10891060.06,2958098.68,619017.32,286146.0,2672284.25,2821259.32,3959273.19,141818.72,157783.91,412106.56,2783958.92,4263878.51,238145.6,289496.4,958293.04,4967735.6,5068662.78,404979.81,429835.08,1478174.86,6491.47,4758.06,538.36,766.45,1388.77,5209901.6,6115683.17,651029.52,298880.0,1959452.37,0.0,0.0,0.0,0.0,0.0,4780396.86,37546180.15,635581.2,491110.19,2250000.02
DOM-BAR,Barahona,7226794.0,1126650.0,234224.39,36750.0,0.0,321000.0,330000.0,38400.0,53400.0,0.0,12840215.64,3256070.0,496800.0,0.0,0.0,30269420.79,1630382.78,735581.9,0.0,0.0,42455245.6,2887882.12,0.0,58860.0,1840320.55,45337430.0,3000000.0,360000.0,113000.0,360000.0,45337430.0,0.0,360000.0,113000.0,360000.0,40000000.0,10000000.0,600000.0,400000.0,700000.0,38500000.0,6291685.04,720000.0,264000.0,1200000.0,23000000.0,0.0,68000.0,172000.0,600000.0,30478185.0,4678962.73,734039.0,128552.0,657411.0,35949048.84,0.0,413347.5,128552.4,663464.04,25813861.28,14523197.8,413347.5,128552.4,546066.47,34848904.4,14998964.24,939695.82,228688.4,2402409.67,985525.441,8284397.51,60000.0,67802.0,355560.0,40383864.63,51883452.6,631268.87,605755.5,2268129.5,40948.45,30089.5,1258.52,1728.01,1915.2,37847480.28,69579395.55,1346897.0,144000.0,3096464.31,0.0,0.0,0.0,0.0,0.0,102791238.9,1556578.13,1602742.0,144000.48,3747637.58
DOM-BAY,Bayaguana,150000.0,144000.0,0.0,27000.0,0.0,72456.0,140000.0,0.0,0.0,0.0,55688.27,67588.08,0.0,10400.0,0.0,55688.0,67588.0,0.0,10400.0,0.0,527539.35,255295.9,0.0,24000.0,261622.87,105781.44,85450.25,0.0,8550.0,54087.0,146300.0,90450.0,0.0,0.0,32400.0,86000.0,12000.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,327215.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-BON,Bonao,3027130.25,5771109.01,648183.09,35432.0,0.0,3240635.45,8682549.77,835232.49,28432.0,0.0,4772521.11,4979754.66,307111.23,32522.0,0.0,10371273.48,4459479.29,319901.72,907728.78,1750786.35,10814822.07,5068724.17,606118.14,234589.08,1602793.17,15053601.87,30696905.61,568509.3,556297.8,1596498.92,15897982.83,5974542.8,719034.68,371096.2,3040014.45,13822918.11,12613973.54,571084.69,262747.91,992152.02,2941251.94,7995323.93,203004.2,120057.21,1012608.13,1467699.06,1645550.85,55754.6,33491.2,754759.94,2349687.03,1246678.79,65550.0,44658.4,905668.81,3432219.23,5410301.48,271250.0,66988.0,993399.75,2683090.4,4733357.13,108817.0,61405.0,995619.77,3943415.64,3795391.45,312119.4,84987.0,1264464.94,4563323.95,6256241.56,353728.0,85987.6,1518616.94,4423760.38,6975466.02,333767.0,144000.0,1064010.82,4327.98,7887.88,387.6,144.0,1215.18,3393661.1,28740288.49,378496.0,144000.0,1297725.75,0.0,0.0,0.0,0.0,0.0,3332202.71,8912452.38,793773.0,173065.0,1310535.33
