code,park_13,ele13,tss13,inf13,wat13,com13
DOM-AND,Andrés,2284425.31,4514445.53,202250.54,152212,1041026.99
DOM-BAN,Baní,2821259.32,3959273.19,141818.72,157783.91,412106.56
DOM-BAR,Barahona,34848904.4,14998964.24,939695.82,228688.4,2402409.67
DOM-VIS,Bella Vista,393295000,53594927.27,2505000,19591000,11407000
DOM-BON,Bonao,3943415.64,3795391.45,312119.4,84987,1264464.94
DOM-CIP,Caribbean Ind. Park,112918397.2,59421102.41,6398596.44,18248566.19,6310606.25
DOM-CHE,Chemtec,13461109.43,9135965.85,492111,218541,1385090.31
DOM-CIB,Cibernético,23874464.87,52890291.12,776990.5,24000,28866396.63
DOM-DOS,Dos Rios,320066304,81418614.27,3870226,1648006.5,1901730
DOM-LIM,El Limonal,180000,25942393.21,400657,0,777916.19
DOM-SEI,El Seibo,300000,1636707.65,12320,21724,13400
DOM-ESP,Esperanza,7783729.34,36741950.52,829491.3,259071.2,597288.45
DOM-EXC,Excel Boca Chica,4250000,4260678.89,258873,23000,960000
DOM-GLO,Global,200000,81620,4200,0,200000
DOM-GUR,Gurabo,30809070.45,95478874.39,5600439,825478.44,2604272.44
DOM-HAI,Hainamosa,1724470.21,9279582.11,1230642.21,359600,2891678.3
DOM-HAT,Hato Mayor,1362799,6140043.1,116052,45932.4,100173
DOM-HAN,Hato Nuevo,696404.56,5672992.11,249128.46,27114.64,1530037.86
DOM-INT,Interexport Free Zone,11200000,6629143.57,340000,144000,2552689
DOM-ARM,La Armería,3218046.65,8277887.88,206720.75,194932.61,1248648.85
DOM-HIS,La Hispaniola,12269100,0,0,0,225300
DOM-PAL,La Palma,3216998.6,11977799.96,544762,172000,1072452
DOM-ROM,La Romana I,65639346.42,118273570.9,5463234,1070666,4992213.38
DOM-RII,La Romana II,54959547.86,54641356.97,2904633,836635,5845460.58
DOM-VEG,La Vega,67115276.52,86171875.77,3403121.05,1050411.41,4497035.91
DOM-LAS,Las Américas,25912209.5,255825296.2,16200357.34,3851365.74,26736742.44
DOM-ALC,Los Alcarrizos,11821322.07,24948480.94,1273446.04,789742.5,4516875.88
DOM-MOC,Moca,13507667.72,28452853.89,483472.85,715872.19,1773034.13
DOM-MUL,Multimodal Caucedo,507341.2,64360982.39,31582,0,429883.3
DOM-MUT,Multiparques,38673808.27,18903172.76,868077.3,106557,4351156.98
DOM-NAV,Navarrete,8551796.1,15279826.03,711516,67866,449669.88
DOM-NIG,Nigua,36253354.43,50098413.58,2113036.93,410076,3015000
DOM-PAM,Palmarejo,8384306.39,40293597.67,128007.91,0,1537505.54
DOM-YAQ,Parque Ind. y de Servicios Yaque,24736054.62,10654576.9,598000,3742830,1147109.02
DOM-SLI,Parque Tecnológico de Santiago,7256028.88,6639110.01,267533,204585,546428.37
DOM-PED,Pedernales,2064024.15,8609534.13,0,0,285128.35
DOM-PER,PERLAV,50151982.46,25246267.91,1110716.71,399991.67,3453268.71
DOM-PIS,PISANO,109294672.6,76820035.25,7027399.55,5585034.96,11003949.63
DOM-PUE,Puerto Plata,9195261.13,19794155.08,394529.82,118915,1004942.44
DOM-SAL,Salcedo,0,170693.56,0,0,0
DOM-CRI,San Cristóbal (Itabo),492748791.1,478051549.7,24263505.8,5777537.31,89778610.56
DOM-FRA,San Francisco de Macorís,1095019,2305575.81,83881,26718,116761
DOM-ISI,San Isidro,220033255.5,455073620.2,20581817.62,3436959.51,39386233.22
DOM-MAC,San Pedro de Macorís,186522155.5,227796382.3,9519604.56,2410798.68,17372439.8
DOM-S12,Santiago,224571070.4,577291276.6,18653705.25,21814489.68,31120537.85
DOM-JAN,Santiago-Jánico,29306465.2,18590770.49,673044.2,1063050.05,1641925.27
DOM-TAM,Tamboril,47207755.04,88128892.89,4202369,1592860.73,2000905.4
DOM-ALT,Villa Altagracia,1483792.26,9404481.09,396099,109895.2,1339684.04
DOM-MEL,Villa Mella,9826119.02,4918174.04,198541,146519.42,644936.12
DOM-SAG,Zona Franca Ind. SAG,3007786,7223336.71,335147,109114,833279.05
DOM-CON,Zona Franca Ind. SAG,6321459.58,9351421.58,416580,0,2773958.28
DOM-RIE,Los Rieles ,460540,5314568.24,43402,28526,141869
DOM-ROB,Los Robles ,3337347.72,2564423.71,118396.36,194674.76,542691.84
DOM-HER,Parque Z.F . Ind. Tecnológica de Herrera,2010114.41,0,42635.67,5512.74,292656.78
DOM-QUI,Quisqueya,0,76317.7,0,64800,0
