code,inf00,inf01,inf02,inf03,inf04,inf05,inf06,inf07,inf08,inf09,inf10,inf11,inf12,inf13,inf14,inf15,inf16,inf17,inf18,inf19
DOM-6NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.04,131204.54,0.0,11500.0
DOM-ALC,766893.43,664740.87,532821.61,737730.28,1253120.81,1407623.3,1543897.97,962618.42,978345.29,1066418.39,871198.12,933492.0,980049.0,1273446.04,1022784.27,1141928.41,1256.74,1453292.93,0.0,1303479.0
DOM-ALT,793343.19,290000.0,684540.96,1017692.59,635384.0,408213.28,381967.26,93743.3,98723.58,118837.53,219223.0,356764.0,387770.82,396099.0,186447.93,672375.3,550.26,615370.01,0.0,667377.47
DOM-AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135976.0,147725.0,183133.0,202250.54,174472.0,190443.41,215.33,272479.0,0.0,252129.69
DOM-ARM,678543.21,281005.92,464793.44,550258.47,701344.07,460677.17,889290.93,566717.5,629817.64,404930.4,145913.89,296433.6,349344.39,206720.75,197783.28,550180.07,591.82,649930.0,0.0,665209.54
DOM-AZU,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-BAN,847448.58,582717.94,639097.44,1006133.71,1168661.01,997643.26,824660.11,600845.44,478238.69,789637.82,785209.75,516147.5,619017.32,141818.72,238145.6,404979.81,538.36,651029.52,0.0,635581.2
DOM-BAR,234224.39,38400.0,496800.0,735581.9,0.0,360000.0,360000.0,600000.0,720000.0,68000.0,734039.0,413347.5,413347.5,939695.82,60000.0,631268.87,1258.52,1346897.0,0.0,1602742.0
DOM-BAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-BON,648183.09,835232.49,307111.23,319901.72,606118.14,568509.3,719034.68,571084.69,203004.2,55754.6,65550.0,271250.0,108817.0,312119.4,353728.0,333767.0,387.6,378496.0,0.0,793773.0
DOM-CAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40391.27,0.0,9986.0
DOM-CAN,0.0,0.0,0.0,4510.1,9518.51,12548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-CDF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380853.66,617335.66,495.2,502825.66,0.0,826115.0
DOM-CHE,0.0,1005477.13,283727.1,233244.74,365370.54,262804.83,717258.02,579777.27,488682.1,366915.01,405706.8,362138.0,530063.0,492111.0,585454.82,700228.34,707.33,908695.36,0.0,3315292.36
DOM-CIB,0.0,0.0,0.0,3000.0,0.0,10447.0,81843.0,33644.72,1354680.02,1927642.62,131431.5,545719.5,4805747.0,776990.5,5631264.31,5761777.0,1730.13,1798310.09,0.0,4814063.03
DOM-CIP,0.0,5248053.79,2201656.58,3333914.28,4221563.57,3197934.44,3236198.75,7510872.95,5487855.36,3987825.93,48703113.25,4350456.33,5342132.32,6398596.44,7146610.52,8480759.54,9289.85,7647444.98,0.0,8608710.32
DOM-CON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416580.0,502808.0,550347.87,411.16,537039.11,0.0,514197.08
DOM-COT,15626.01,25668.49,102016.41,19675.96,23802.0,42693.36,55857.0,59092.16,91114.84,95049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-CRI,5098848.0,4739782.21,6135712.96,7654849.11,10553964.55,12106799.7,13300294.87,64069530.79,14403102.46,14048012.02,14886567.91,16396187.01,25535904.0,24263505.8,26197638.97,27439624.32,33549.17,35032561.49,0.0,45318236.63
DOM-CTQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408855.6,337.61,349145.0,0.0,533769.8
DOM-DOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1148196.0,2158061.73,2730700.0,2474246.0,2954679.0,2931445.0,3870226.0,4591614.25,5666808.0,5076.13,6385860.0,0.0,7102931.0
DOM-DPE,0.0,0.0,0.0,0.0,0.0,5567.81,2748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-ELV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6960.0,0.0,42861.98
DOM-EMI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1180647.0,1444840.2,566.01,1758435.0,0.0,1647567.73
DOM-ESP,1403431.0,1751138.77,1818471.18,2666631.66,3719079.72,3998300.23,33096.0,3934617.92,2189339.07,2354881.0,3674774.0,2454459.5,2067027.0,829491.3,1421702.34,2938003.2,4187.29,3604882.0,0.0,7025187.44
DOM-EXC,58337.55,61500.0,70891.0,100825.88,160057.47,120907.0,3778927.69,241752.0,349547.42,224040.0,407875.48,253000.0,200357.0,258873.0,345740.4,490280.0,662.0,629530.8,0.0,700500.0
DOM-FLO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546238.0
DOM-FRA,133094.38,169572.0,139932.25,134164.82,872913.0,341433.69,352767.02,280707.02,38193.93,52802.0,60331.0,73794.0,85744.26,83881.0,98000.2,121506.0,130.4,135889.0,0.0,147770.0
DOM-GLO,0.0,107800.0,80500.0,80300.0,29100.0,27100.0,177589.0,0.0,0.0,0.0,0.0,0.0,0.0,4200.0,4300.0,10200.0,19.59,17997.0,0.0,20801.0
DOM-GUR,751991.0,1165096.0,1112175.0,1255761.0,1408057.59,2483425.18,162000.0,2750516.63,1857585.26,1893232.39,1562663.58,1951756.0,2734365.0,5600439.0,5505088.1,4858621.27,5562.56,5320588.52,0.0,3048693.02
DOM-HAI,761254.39,119995.0,593747.0,415963.68,942991.0,297415.31,2039169.34,628093.65,325985.56,894210.0,234923.36,234768.38,246199.98,1230642.21,313222.0,593079.0,649.38,809210.0,0.0,1152760.68
DOM-HAN,0.0,0.0,38047.0,271119.0,368472.0,504545.0,117052.9,30655.81,39935.82,75963.0,94978.0,659869.44,231136.22,249128.46,409209.2,639205.8,604.91,388404.0,0.0,511450.02
DOM-HAT,0.0,66213.43,134091.69,109119.16,141385.0,192756.89,373877.66,269957.19,296327.15,0.0,0.0,64400.0,64105.0,116052.0,213042.0,213042.0,200.24,396360.0,0.0,76196.0
DOM-HER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42635.67,2002214.0,6753.0,1773.95,189561.96,0.0,61889.66
DOM-HIG,390435.92,429090.0,139000.0,165000.0,182000.0,231000.0,504545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-HIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14282.0,21.72,13723.0,0.0,18197.0
DOM-HIS,0.0,0.0,0.0,0.0,0.0,102900.0,68104.0,48254.65,43415.6,43415.6,0.0,148138.0,0.0,0.0,541522.0,146936.25,0.0,78179.8,0.0,110475.0
DOM-HIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DOM-IHA,350169.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-INE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.28,1349732.27,0.0,668430.88
DOM-INF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,22353.52,19.41,26849.25,0.0,30648.0
DOM-INT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171005.0,245035.0,230000.0,340000.0,355468.0,337506.37,394.7,483040.8,0.0,555287.24
DOM-ISI,5325528.84,3489325.33,3891923.61,4772733.2,8347091.28,6835304.55,8214332.99,10692956.55,12002827.39,9861386.33,12653971.77,14663263.75,27454926.47,20581817.62,25885097.88,22991903.43,19965.49,32354438.13,0.0,106674780.2
DOM-JAI,0.0,15980.06,0.0,0.0,67833.84,0.0,48000.0,23000.0,0.0,0.0,0.0,96000.0,108000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-JAN,0.0,175778.0,1080000.0,487847.8,754210.42,1177780.2,1166095.12,1135998.67,132451.56,124002.0,334097.4,386102.2,576502.72,673044.2,658344.27,445562.22,477.14,446115.68,0.0,554325.46
DOM-JOB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10200.0,47.17,76921.0,0.0,0.0
DOM-KEP,0.0,0.0,0.0,0.0,0.0,70380.34,95236.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-KGC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264878.0,296012.0,239.11,281583.0,0.0,273914.0
DOM-LAG,0.0,65520.0,75960.0,90000.0,0.0,12548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-LAS,3828482.0,4016915.25,4140679.86,4603336.69,6526259.0,8250162.38,9630952.12,11418837.77,12706874.59,10989941.71,10669461.19,12122941.99,13698401.94,16200357.34,16453650.06,18741943.54,18492.23,22472486.29,0.0,30717678.88
DOM-LEO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,183500.01
DOM-LIM,0.0,0.0,0.0,0.0,0.0,215746.39,863991.31,147455.11,114186.46,107114.0,160265.75,194796.0,161892.0,400657.0,478989.87,390261.39,454.13,516519.0,0.0,1430695.21
DOM-LUN,0.0,0.0,30000.0,55200.0,363593.65,73285.28,80726.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MAC,6340525.83,49587329.02,6110219.77,5751414.08,8752216.53,8063748.73,8371382.54,9183358.85,7252105.62,7202291.63,8392928.24,9061747.91,12063316.06,9519604.56,11669026.33,14631933.08,14814.92,16128654.41,0.0,14982028.93
DOM-MAI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.29,175267.56,0.0,158331.58
DOM-MEL,998486.48,1206755.16,168457.27,100202.0,1500863.91,1901695.06,1688765.35,44156.88,116466.46,147650.36,152802.0,203936.0,230830.4,198541.0,232837.0,315159.0,336.76,558274.0,0.0,510378.62
DOM-MIN,0.0,40927.83,51753.94,50752.1,11677.8,32103.05,53548.33,5000.0,8408.44,9027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MOC,1734799.33,1540252.7,1805860.16,1618117.68,2040067.26,1696092.24,2059107.59,711877.12,522702.04,651579.59,659226.75,979866.0,1038076.0,483472.85,1260126.8,1086792.0,1066.08,1738116.89,0.0,2724329.38
DOM-MOI,0.0,0.0,0.0,7045.0,34136.0,28938.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MUL,0.0,0.0,157042.6,633145.0,332000.0,430960.0,0.0,0.0,0.0,0.0,0.0,0.0,25067.0,31582.0,36666.0,431823.87,219.18,713893.16,0.0,199182.11
DOM-MUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624874.0,517915.0,492526.0,531557.0,858518.0,616657.66,868077.3,912769.94,1198694.24,1223.71,1235882.7,0.0,1038566.13
DOM-NAV,0.0,149321.0,200000.0,230950.96,586616.15,314749.31,345666.04,288897.66,511487.64,476657.0,554109.0,583592.0,621971.0,711516.0,1031468.04,1007316.75,1048.31,851598.0,0.0,1586997.33
DOM-NIG,445024.76,662848.31,569020.17,568067.27,1074832.3,832939.12,1009856.55,1122435.19,1020692.34,1056873.36,1289326.09,1281394.0,1841956.0,2113036.93,2738809.31,3228956.52,4224.66,3642451.39,0.0,3358221.4
DOM-NII,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,393693.57
DOM-NOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,10500.0,0.0,429509.97
DOM-PAB,0.0,0.0,10628.94,10992.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,1625.0,0.0,0.0
DOM-PAL,0.0,0.0,0.0,0.0,0.0,6492.0,128276.0,94067.3,231597.6,155383.0,194840.6,133503.49,209661.0,544762.0,526375.0,726104.0,793.78,925600.03,0.0,1383277.83
DOM-PAM,0.0,310970.0,415882.0,721576.0,864067.44,987721.83,1185480.53,1980443.18,1410802.21,1049434.0,1246469.0,1251239.0,822930.0,128007.91,1279362.52,1391097.33,1613.08,2076052.0,0.0,1883850.45
DOM-PED,0.0,0.0,0.0,0.0,0.0,0.0,94507.0,121956.5,121956.5,290000.0,652869.0,358782.0,458231.0,0.0,0.0,0.0,747.49,608354.05,0.0,538864.0
DOM-PER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1199846.66,1118268.97,1110716.71,1327143.53,1414134.35,1299.93,1423837.49,0.0,2150448.86
DOM-PEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-PIS,1468884.0,808119.03,2096070.54,1548329.04,13792609.54,3355373.24,3653875.04,4444121.98,3391034.91,3669995.58,898364.0,4604848.18,5391119.18,7027399.55,9427893.24,10004789.61,10585.88,11684434.49,0.0,14778311.13
DOM-PON,0.0,29895.0,62130.0,104822.0,74648.96,98313.14,124715.38,0.0,0.0,0.0,0.0,4200.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-PUE,786084.04,631521.55,667121.58,735598.13,791875.3,803361.37,865168.59,913969.94,818299.71,447281.7,4182443.12,167248.8,315526.0,394529.82,608851.0,1150966.61,1098.78,1154058.59,0.0,1445052.67
DOM-QUI,0.0,0.0,5600.0,65459.0,186975.75,0.0,42103.61,18491.48,365121.23,0.0,629685.06,0.0,0.0,0.0,171207.0,108734.0,0.0,0.0,0.0,957351.0
DOM-RAF,0.0,0.0,74400.0,73915.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-RIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43402.0,265524.0,206942.0,877.47,891852.0,0.0,1127723.0
DOM-RII,0.0,624279.65,905626.23,954827.0,1168742.04,502878.0,313874.0,1127332.21,1047717.28,1451575.72,1353359.0,1884397.0,2221527.0,2904633.0,3357378.96,3899395.0,5151.76,1740716.7,0.0,5446235.2
DOM-RIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0
DOM-ROB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118396.36,126552.0,120914.4,0.0,0.0,0.0,0.0
DOM-ROM,5255715.34,3256054.0,2274663.55,2534539.02,3405629.58,3294138.37,2703224.98,2499426.1,2729242.54,3121031.46,3278119.18,3456330.72,4133658.15,5463234.0,7308210.71,7541434.38,7220.9,7755049.64,0.0,9444619.6
DOM-S12,13441979.47,10063519.18,14482969.58,16520485.61,24149543.55,24579596.4,24586372.22,16283965.76,13158164.02,12134516.23,12982721.28,13756191.89,15151115.28,18653705.25,21115489.4,24732793.16,25948.89,28174433.54,0.0,40030098.37
DOM-SAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169376.0,335147.0,406436.0,263429.26,263.43,270774.0,0.0,280453.09
DOM-SAL,158152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614070.0,0.0,0.0,56175.12,56175.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-SEI,0.0,79024.0,80000.0,80000.0,85000.0,18547.0,159505.21,10458.0,50078.64,30000.0,30000.0,23251.0,53038.0,12320.0,85058.0,107324.0,102.37,121656.73,0.0,204000.0
DOM-SLI,0.0,226326.05,220157.78,99751.2,438906.89,751988.75,197569.86,146439.83,146174.29,217540.05,256937.0,246967.0,226855.0,267533.0,192579.24,356271.97,426.52,436335.35,0.0,669032.89
DOM-SUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.7,93631.2,0.0,0.0
DOM-SUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48886.03
DOM-TAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3745.0,20.08,38053.0,0.0,267436.0
DOM-TAM,0.0,24000.0,32121.0,74234.54,283577.59,440309.86,341408.41,15015.0,901435.3,816230.55,470710.92,1704566.0,2926636.56,4202369.0,5449801.67,5922129.16,8303.48,7691189.84,0.0,4522599.17
DOM-VEG,2669151.67,10642320.08,3302158.89,2877482.27,3806124.69,3271956.75,3962920.62,2169976.68,1872791.36,1099318.98,1724458.5,2388481.0,2583834.45,3403121.05,11961332.15,4513150.0,4535.28,4540223.72,0.0,5643708.69
DOM-VER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29113.0
DOM-VIS,0.0,0.0,0.0,0.0,0.0,0.0,1137654.35,1448370.0,1532104.0,1973480.0,1950000.0,2563800.0,2632573.0,2505000.0,3023000.0,3173190.0,3001.83,3544271.0,0.0,5262989.18
DOM-YAQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444397.0,526602.0,467575.0,598000.0,548265.72,746458.8,589.07,618504.84,0.0,599843.0
DOM-ZFE,0.0,0.0,0.0,0.0,4151535.51,7133582.44,9960987.07,11226984.43,13035689.76,17051141.99,19045830.55,21804267.31,35378715.1,0.0,44938424.2,56878735.77,53397.75,0.0,0.0,72498.0
DOM-ZOF,0.0,26000.0,26000.0,84503.15,189731.16,296186.09,397886.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260332.03,0.0,0.0,0.0
