code,tss00,tss01,tss02,tss03,tss04,tss05,tss06,tss07,tss08,tss09,tss10,tss11,tss12,tss13,tss14,tss15,tss16,tss17,tss18,tss19
DOM-6NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.9,2323084.38,0.0,1883168.95
DOM-ALC,5638113.84,5522545.9,3930638.13,4545852.91,4234373.33,5501330.91,5145037.9,7169903.25,15433680.55,14541632.67,18714115.9,22596915.27,23296070.87,24948480.94,24852524.06,28271407.9,29103.43,25825199.68,0.0,32927736.42
DOM-ALT,7560000.0,3806394.08,10114844.08,10935678.33,3725000.0,2107920.47,1201401.88,1647202.68,1941581.34,1062869.46,5322537.16,7561303.51,7936020.51,9404481.09,7894656.18,12614559.92,11903.82,13578419.6,0.0,14259957.83
DOM-AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2725541.49,3396051.78,3452591.29,4182936.78,4514445.53,3818310.97,3607344.32,4093.94,5061051.49,0.0,5657654.23
DOM-ARM,3980122.5,2921492.85,4052449.34,2976086.42,2319144.38,2895184.45,2034905.97,5735152.92,11070036.33,8324377.6,4756105.55,5957603.18,6053210.57,8277887.88,8024967.52,11133280.32,13470.86,14603635.91,0.0,16707260.03
DOM-AZU,0.0,0.0,0.0,35000.0,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-BAN,8583658.52,9424323.58,7215875.4,6166225.07,5952381.83,10238552.77,5140003.74,12644412.11,23111357.53,33686060.71,10096906.3,20538705.08,2958098.68,3959273.19,4263878.51,5068662.78,4758.06,6115683.17,0.0,37546180.15
DOM-BAR,1126650.0,330000.0,3256070.0,1630382.78,2887882.12,3000000.0,0.0,10000000.0,6291685.04,0.0,4678962.73,0.0,14523197.8,14998964.24,8284397.51,51883452.6,30089.5,69579395.55,0.0,1556578.13
DOM-BAY,144000.0,140000.0,67588.08,67588.0,255295.9,85450.25,90450.0,12000.0,0.0,327215.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-BON,5771109.01,8682549.77,4979754.66,4459479.29,5068724.17,30696905.61,5974542.8,12613973.54,7995323.93,1645550.85,1246678.79,5410301.48,4733357.13,3795391.45,6256241.56,6975466.02,7887.88,28740288.49,0.0,8912452.38
DOM-CAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1708665.46,0.0,50540958.96
DOM-CAN,0.0,0.0,0.0,0.0,188000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-CDF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7572279.52,10973754.88,10248.76,11073333.87,0.0,18708294.91
DOM-CHE,7149064.81,8646283.47,2100186.63,1503421.5,1408059.15,1170073.15,2596859.38,5514547.5,6623097.87,5781557.28,10656593.09,10608410.61,10548295.96,9135965.85,11493555.04,14392580.28,16817.56,20076595.84,0.0,41255261.47
DOM-CIB,0.0,0.0,50000.0,0.0,0.0,10362.5,48100.0,1060673.08,4099596.64,6451824.03,5099155.57,10485390.01,96374430.87,52890291.12,24121725.52,113420336.6,42716.16,90126680.23,0.0,127805618.6
DOM-CIP,4009688.0,5865570.56,7135079.04,8784222.09,7421156.14,5980210.85,5078569.88,43130318.51,191251263.2,54453450.85,73652784.85,121479731.0,85154028.71,59421102.41,181936505.1,161131111.9,170362.39,208362073.9,0.0,213933432.6
DOM-CON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9351421.58,10325863.9,33159271.05,9261.6,10470457.57,0.0,76051.45
DOM-COT,393397.8,561580.54,709817.98,385548.0,1235538.0,636303.0,568595.95,1858074.08,2618099.29,1585289.23,809798.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-CRI,24682875.0,20020772.09,32466281.31,25616961.28,19644115.67,24913736.7,24977990.92,125415337.4,311271274.8,283308121.9,328690788.2,384701922.1,456084144.1,478051549.7,539729090.9,580494898.8,651908.11,713218540.4,0.0,898391894.0
DOM-CTQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17210207.04,6913.24,7358067.22,0.0,10824963.06
DOM-DOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9285912.29,46075854.77,50358358.07,60523386.64,67755357.39,65687494.28,81418614.27,100373200.1,120924376.8,124631.26,135716722.4,0.0,151833888.8
DOM-DPE,0.0,0.0,0.0,0.0,0.0,15147.07,16610.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-ELV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61567.25,0.0,790518.13
DOM-EMI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27070578.81,91818063.81,40556.79,48600725.44,0.0,5045123.4
DOM-ESP,8541176.67,14099855.7,9721779.74,15483501.07,11827736.77,10306497.5,259060.45,47197889.84,55337825.15,56081496.45,78520783.23,54124216.8,44572745.02,36741950.52,53087174.97,68525580.21,91748.26,72780431.54,0.0,110247674.3
DOM-EXC,466635.0,513000.0,462894.0,527425.0,527458.0,545832.63,15180225.04,1186469.88,297987.59,3606656.63,4189065.88,418612.08,3583783.68,4260678.89,5231061.87,6001314.2,6992.72,8029414.7,0.0,11268582.9
DOM-FLO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13028659.3
DOM-FRA,1937598.0,2471334.0,1855853.22,2494719.22,1513103.0,1704888.96,1538836.81,4880664.06,3319852.88,1211011.08,1611791.29,1985346.79,1945604.44,2305575.81,2513008.97,2749604.74,2826.4,2889244.47,0.0,3203150.67
DOM-GLO,710000.0,1209000.0,888000.0,263800.0,0.0,56096.0,580432.63,0.0,0.0,0.0,0.0,0.0,0.0,81620.0,152198.92,236797.31,390.93,329925.59,0.0,517723.21
DOM-GUR,2867796.0,6301187.0,4566917.01,4541115.0,3136495.38,8292794.05,180000.0,30275394.53,40260473.37,37227903.31,35128415.46,47803457.56,57914806.36,95478874.39,110362972.6,204852510.3,59793.58,112316872.6,0.0,72291784.25
DOM-HAI,6555330.14,4741768.0,4377994.72,2457641.0,1762905.5,1701630.67,4013257.62,9867398.78,7359112.89,9994010.75,8938240.41,8464688.63,5319429.44,9279582.11,7460893.92,9009647.35,12098.4,15922354.9,0.0,24818988.89
DOM-HAN,0.0,26000.0,136327.0,1056703.0,990426.23,1603910.0,528104.91,320032.51,1386102.35,1518011.28,2271884.71,3391599.58,4528433.46,5672992.11,8605677.56,11447627.44,11054.81,11128345.14,0.0,10968996.67
DOM-HAT,0.0,1464406.36,393885.86,680984.38,5143272.0,730462.7,1738237.94,5178699.49,13329847.85,5091840.89,0.0,1308828.94,2074890.22,6140043.1,0.0,0.0,6035.39,8213569.65,0.0,1662815.35
DOM-HER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162235.57,28767.46,111368.5,0.0,112229.47
DOM-HIG,4045887.0,5138419.0,1205000.0,1060000.0,959000.0,1014000.0,1603910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-HIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320930.14,492.63,317267.23,0.0,405937.79
DOM-HIS,0.0,0.0,0.0,0.0,0.0,358513.0,297845.86,882409.67,3392724.46,2994391.88,2178303.41,0.0,0.0,0.0,2944687.58,0.0,0.0,0.0,0.0,2419736.65
DOM-HIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,83663433.02
DOM-IHA,1058967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-INE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11357.78,0.0,0.0,51428854.65
DOM-INF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631880.54,465430.14,408.95,7250941.0,0.0,751772.59
DOM-INT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3808915.65,5137158.94,5703169.51,6629143.57,7601807.78,7497175.6,8950.48,10703792.75,0.0,12322872.14
DOM-ISI,17460230.61,18061333.76,20355128.26,19598138.37,15039551.66,13508504.63,12164657.93,94221029.94,218994541.8,411432905.9,389491791.6,412295561.0,293276150.9,455073620.2,468762268.2,588972991.2,475700.78,642618828.7,0.0,468162626.8
DOM-JAI,0.0,95679.48,0.0,0.0,47576.0,0.0,150852.0,350000.0,0.0,0.0,0.0,43296.01,48620.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-JAN,0.0,756000.0,900000.0,3155411.87,3798224.0,3615864.3,3488336.13,9462968.92,2861072.95,3116546.99,8668598.43,10224814.6,11403839.62,18590770.49,12857526.61,19370105.96,14091.49,16347064.85,0.0,24189099.24
DOM-JOB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3437592.01,1078.43,1485900.17,0.0,0.0
DOM-KEP,0.0,0.0,0.0,0.0,0.0,0.0,182710.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-KGC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5755292.16,6504848.16,5001.6,6098495.45,0.0,6067590.89
DOM-LAG,10500.0,132300.0,300000.0,240000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-LAS,18075614.0,54461047.49,36699902.02,19479075.1,32545714.87,32098790.74,19939434.03,82758069.47,320520331.0,183177753.7,212243524.6,220785052.0,229389506.7,255825296.2,378837030.9,463645784.0,411903.86,378167242.9,0.0,598231173.6
DOM-LEO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,83828796.43
DOM-LIM,0.0,0.0,0.0,0.0,0.0,167796.0,860031.1,1068882.06,3069128.87,693746.23,4102334.28,0.0,4622677.78,25942393.21,7872473.7,9784219.92,9995.44,11187291.43,0.0,4433756.89
DOM-LUN,0.0,0.0,100970.56,911000.0,137444.19,310610.44,475823.0,325000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MAC,46509414.03,40567674.67,40249781.28,36102364.97,29957206.33,33295179.64,26184091.22,132387488.3,178460231.2,147644846.7,208176476.8,209165737.6,195300219.7,227796382.3,243711653.3,305064307.3,354985.98,371115255.3,0.0,384515465.6
DOM-MAI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.65,11292765.93,0.0,13324556.5
DOM-MEL,10408004.0,6326465.86,705577.0,4000743.0,2849658.83,6864504.05,4349134.9,323221.17,2004245.44,3853437.91,4128908.48,4196908.64,5084744.68,4918174.04,5617536.15,6969455.02,7713.24,9436315.59,0.0,15495273.34
DOM-MIN,0.0,82438.15,178674.66,175600.0,31134.14,88527.0,362245.0,40000.0,162015.54,59964.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MOC,10513308.64,13219724.88,15148268.92,10664549.11,6253512.68,8032525.54,8589113.57,7078101.48,44020643.25,12111774.73,17702444.62,26995360.95,36638223.68,28452853.89,24517943.22,32723267.31,41595.11,36712253.04,0.0,41741369.79
DOM-MOI,0.0,0.0,0.0,51577.75,73050.95,259829.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MUL,0.0,0.0,0.0,1372698.0,32500.0,95903.92,0.0,0.0,37124013.0,69617781.24,46128232.99,51770209.9,53699783.1,64360982.39,675339.13,800017.47,840.08,80506809.6,0.0,110080445.3
DOM-MUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4455748.0,11120066.12,10900504.82,13373684.87,14566085.38,15022465.48,18903172.76,22254967.65,24823021.82,25669.93,27970585.59,0.0,24780046.92
DOM-NAV,2085723.0,2534621.0,2256000.0,1418276.5,3470640.0,5438136.55,3025883.81,7451357.93,11475305.68,10788036.3,12463877.29,12388848.18,13897324.72,15279826.03,19473611.16,20681558.04,18457.54,20206374.9,0.0,38394949.85
DOM-NIG,3814033.23,6300954.18,4323176.95,3513308.16,2070366.9,2363385.93,3281255.74,14666424.93,22850110.9,8856559.6,9231984.13,33181584.99,38586738.5,50098413.58,52019137.39,114833927.2,73092.99,94471383.2,0.0,88343954.28
DOM-NII,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40305105.07
DOM-NOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.19,326034.0,0.0,1670706.77
DOM-PAB,3424211.0,0.0,116918.29,27482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25440.0,0.0,0.0
DOM-PAL,0.0,0.0,0.0,0.0,10000.0,72000.0,300500.0,2501557.57,5659452.94,5527375.8,5820428.58,7705079.3,10268310.72,11977799.96,13729294.05,17480606.95,23513.4,20905400.24,0.0,32579754.4
DOM-PAM,2246163.0,1996525.0,2706295.0,3572168.0,2455634.74,3183726.95,2771039.05,7694138.54,43862125.68,33244644.25,31120141.42,31609823.43,19171698.03,40293597.67,47209984.72,63332729.8,35590.68,55481714.57,0.0,36191830.81
DOM-PED,0.0,108.0,90000.0,72020.0,65767.0,0.0,478127.6,402857.74,4362261.64,5668127.36,8569554.05,11247387.82,9177708.51,8609534.13,733991.4,0.0,4846.1,11438572.01,0.0,15616661.25
DOM-PER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30350686.21,19372485.44,25246267.91,27780688.7,59535026.12,31160.18,35872718.96,0.0,43209643.91
