code,park,inv00,inv01,inv02,inv03,inv04,inv05,inv06,inv07,inv08,inv09,inv10,inv11,inv12,inv13,inv14,inv15,inv16,inv17,inv18,inv19
DOM-6NO,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1890354.0,2471893.2,0.0,1250000.0
DOM-ALC,Los Alcarrizos,19853638.95,19521896.75,14683246.0,16110722.99,23755065.7,20419701.5,22705077.88,40192104.07,37723217.65,28511505.5,21776166.76,22307044.2,23142258.73,29017608.73,28846815.7,27461136.4,25518598.92,24789743.0,0.0,8580213.27
DOM-ALT,Villa Artagracia,33900000.0,3300000.0,4400000.0,23000000.0,23100000.0,18054631.52,6644269.47,11473401.61,13288869.47,10076670.56,7527225.0,5827436,5826800.0,3726034.41,5407289.4,5949306.9,11435533.57,9699706.8,0.0,48460668.06
DOM-AND,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148803,150803.0,884314,746667.0,733390.96,789922,803290,935650.0,1607033.0,0.0,2450800.0
DOM-ARM,La Armer’a,8620740.19,5016030.0,10355021.0,7131271.0,8576310.0,9207504.27,11921351.15,16658481.31,16097596.35,7922821.33,8538776.22,7005128.7,7648324.93,2234206.89,2728910.8,5452953.6,7167910.28,6900999.8,0.0,2416091.75
DOM-AZU,0,0.0,900000.0,450000.0,40000.0,40000.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
DOM-BAN,Ban’,15539933.25,12655436.88,9491743.0,8464186.23,11476981.97,11633110.54,11181251.34,10623336.78,30910851.47,28193395,10800470.35,11832510.3,10903773.99,4495089.35,4170565.5,5021427.1,7576911.08,9324411.9,0.0,5116960.72
DOM-BAR,Barahona,6064000.0,15789255.0,14750000.0,18400000.0,13000000.0,26000000.0,25800000.0,33000000.0,33000000.0,5000000,8000000.0,8000000,8000000.0,10125453.56,14978000,14978000,17700000.0,14978000.0,0.0,33167891.07
DOM-BAY,Bayaguana,566335.0,15000.0,90000.0,40000.0,285000.0,107941.0,105941.0,95000.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
DOM-BON,Bonao,7371588.75,6199952.0,8030856.0,6515255.25,9978904.25,12456822.73,16068093.86,7902683.75,5229793.4,3090140.81,2710115.0,2502840,2674382.0,3091531.17,3326537,3198062,3087012.18,3053763.1,0.0,1655964.0
