code,park,inv00
DOM-BAN,Baní,15539933.25
DOM-BAR,Barahona,6064000
DOM-BAY,Bayaguana,566335
DOM-BON,Bonao,7371588.75
DOM-CIP,Caribbean Ind. Park,18051016
DOM-CHE,Chemtec Enterprises,13904205.18
DOM-COT,Cotuy,848212.12
DOM-ESP,Esperanza,25175096
DOM-EXC,Excel Boca Chica,1505224
DOM-GLO,Global,9719625.77
DOM-GUR,Gurabo,5390954
DOM-HAI,Hainamosa,10485771
DOM-HAT,Hato Mayor,2376975
DOM-HIG,Higuey,2970999
DOM-CRI,Itabo,128412185.6
DOM-JAI,Jaibón,50000000
DOM-ARM,La Armería,8620740.19
DOM-ROM,La Romana I,45767112
DOM-RII,La Romana II,8380289
DOM-VEG,La Vega,45018217.52
DOM-LAG,Laguna Prieta,1375000
DOM-LAS,Las Américas,106989708
DOM-ALC,Los Alcarrizos,19853638.95
DOM-MIN,Los Minas,2223428
DOM-MOC,Moca,20417613.51
DOM-NAV,Navarrete,2364156
DOM-NIG,Nigua,40102872.35
DOM-PAB,Palmar Abajo,6899833
DOM-PAM,Palmarejo,23426111
DOM-IHA,P. Ind. Haina,2382400
DOM-PED,Pedernales,182000
DOM-PIS,PISANO,24824949
DOM-PON,Pontezuela,2463125
DOM-PUE,Puerto Plata,7084891.3
DOM-SAL,Salcedo,600000
DOM-FRA,San Fco. de Macorís,5331860
DOM-ISI,San Isidro,66947689.9
DOM-MAC,San Pedro de Macorís,83818075.57
DOM-S12,Santiago I y II,225923451.6
DOM-SLI,Santiago - Licey,5324144
DOM-JAN,Santiago - Jánico,10200000
DOM-TAM,Tamboril,220900
DOM-MEL,Villa Mella,33528000
DOM-ALT,Villa Artagracia,33900000
DOM-ZOF,Zofinma (Mao),413004
DOM-ZFE,Zonas Francas Especiales,89407341.28
