code,Name,inv17
DOM-AND,Andrés,1607033
DOM-BAN,Baní,9324411.9
DOM-BAR,Barahona,14978000
DOM-VIS,Bella Vista,284250652
DOM-BON,Bonao,3053763.1
DOM-CIP,Caribbean Industrial Park,85202608.5
DOM-CHE,Chemtec,13073325.6
DOM-CIB,Cibernético,33214209.4
DOM-CON,Conacado Industrial Park,15325256
DOM-DOS,Dos Ríos,169429373
DOM-LIM,El Limonal,4532656.9
DOM-SEI,El Seibo,493125
DOM-ESP,Esperanza,16926403.1
DOM-EXC,Excel Boca Chica,9000000
DOM-GLO,Global Zona Franca Industrial,735289
DOM-GUR,Gurabo,32908390
DOM-HAI,Hainamosa,25604251.8
DOM-HAT,Hato Mayor,1237451
DOM-HAN,Hato Nuevo,41981506.5
DOM-TAL,Intercontinental,885653.4
DOM-INT,Interexport Free Zone,7566384.8
DOM-ARM,La Armería,6900999.8
DOM-HIP,La Herradura Industrial Park,3533577.5
DOM-HIS,La Hispaniola,4969166.2
DOM-PAL,La Palma,5267075.4
DOM-ROM,La Romana I,194745598.4
DOM-RII,La Romana II,28177298.9
DOM-VEG,La Vega,51092612.8
DOM-LAS,Las Americas,460575569.7
DOM-ALC,Los Alcarrizos,24789743
DOM-RIE,Los Rieles,13785219
DOM-MOC,Moca,15685783
DOM-MUL,Multimodal Caucedo,11406052.5
DOM-MUT,Multiparques,19482572
DOM-NAV,Navarrete,11101805.8
DOM-NIG,Nigua,85117028.6
DOM-PAB,Palmar Abajo,0
DOM-PAM,Palmarejo,48623409.3
DOM-KGC,Parque Industrial KG Compañía Comercial,1378419
DOM-YAQ,Parque Industrial y de Sericios Yaque,13598200
DOM-SUN,Parque Industrial Zona Franca Sunsea,1500000
DOM-CDF,Parque Industrial CDF,14327027.9
DOM-CTQ,Parque Industrial CTQ,4948805
DOM-INE,Parque Industrial INETAB,33402383.6
DOM-SLI,Parque Tecnológico de Santiago,9153904
DOM-HER,Parque Z.F. Tecnológica de Herrera,350407.5
DOM-PED,Pedernales,13750000
DOM-PER,PERLAV,105462288.5
DOM-PIS,PISANO,104077258.9
DOM-PUE,Puerto Plata,12773110.8
DOM-QUI,Quisqueya,2387506.6
DOM-CRI,San Cristóbal (Itabo),361501451.7
DOM-FRA,San Francisco de Macorís,3359934.1
DOM-ISI,San Isidro,202185055.7
DOM-MAC,San Pedro de Macorís,191457870.4
DOM-S12,Santiago,477759947.3
DOM-JAN,Santiago Jánico,20801502
DOM-TAM,Tamboril,183333158
DOM-ALT,Villa Altagracia,9699706.8
DOM-MEL,Villa Mella,13914713.4
DOM-INF,Z.F. Ind. y de Servicios Norte Infiesto,200000
DOM-MAI,Zona Franca Bahía de Maimón,1854005.5
DOM-6NO,Zona Franca Industrial 6 de Noviembre,2471893.2
DOM-NOR,Zona Franca Industrial del Norte,732947.5
DOM-SUR,Zona Franca Industrial del Sur,65550
DOM-EMI,Zona Franca Industrial Emimar,7100000
DOM-SAG,Zona Franca Industrial SAG,4625335
DOM-JOB,Zona Franca Jobo Industrial,7240708.9
DOM-ZFE,Zonas Francas Especiales,909724247
DOM-CAD,Candelones,411338.6
DOM-ELV,Elva ,10000
DOM-RIO,Riosur ,956631.6
