code,parks,inv19
DOM-AND,Andrés,2450800
DOM-BAN,Baní,5116960.72
DOM-BAR,Barahona,33167891.07
DOM-VIS,Bella Vista,159779498
DOM-BON,Bonao,1655964
DOM-CIP,Caribbean Industrial Park,87093861.96
DOM-CHE,Chemtec,21526217.53
DOM-CIB,Cibernético,35323725.42
DOM-CON,Conacado Industrial Park,13356974.51
DOM-DOS,Dos Ríos,171442666
DOM-JAN,Ecopark Industrial Free Zone,21896171.02
DOM-LIM,El Limonal,12057849.96
DOM-SEI,El Seibo,250000
DOM-ESP,Esperanza,32673410.71
DOM-EXC,Excel Boca Chica,9600000
DOM-GLO,Global Zona Franca Industrial,682321
DOM-GUR,Gurabo,9078654.8
DOM-HAI,Hainamosa,43061493.13
DOM-HAT,Hato Mayor,200000
DOM-HAN,Hato Nuevo,41294194.45
DOM-TAL,Intercontinental,1888567.75
DOM-INT,Interexport Free Zone,16224923.92
DOM-ARM,La Armería,2416091.75
DOM-FLO,La Flor Dominicana,12057937.2
DOM-HIP,La Herradura Industrial Park,2550000
DOM-HIS,La Hispaniola,4960125
DOM-PAL,La Palma,15134277.04
DOM-ROM,La Romana I,230324790.3
DOM-RII,La Romana II,57458416.87
DOM-VEG,La Vega,63144684.31
DOM-LAS,Las Américas,741390516.2
DOM-ALC,Los Alcarrizos,8580213.27
DOM-CAD,Los Candelones,122704.59
DOM-RIE,Los Rieles,17500000
DOM-MOC,Moca,41711918.98
DOM-MUL,Multimodal Caucedo,25461108.92
DOM-MUT,Multiparques,44037319.06
DOM-NAV,Navarrete,48914163.35
DOM-NIG,Nigua,44602073.48
DOM-NII,Nigua II,15000000
DOM-PAM,Palmarejo,86022347.81
DOM-LEO,Parque Ind. Eduardo León Jiménes,6312378.13
DOM-KGC,Parque Ind. KG Compañía Comercial,1378419
DOM-YAQ,Parque Ind. y de Servicios Yaque,13785200
DOM-CDF,Parque Industrial CDF,18385681.08
DOM-CTQ,Parque Industrial CTQ,4419487.43
DOM-ELV,Parque Industrial Elva María,229900.17
DOM-INE,Parque Industrial INETAB,25702443.52
DOM-SLI,Parque Tecnológico de Santiago,11919603.94
DOM-HER,Parque Z.F. Tecnológica de Herrera,2543804.72
DOM-PED,Pedernales,12000000
DOM-PER,PERLAV,114371241.5
DOM-PUE,Puerto Plata,9376993.83
DOM-QUI,Quisqueya,2461179.34
DOM-CRI,San Cristóbal (Itabo),448782869.8
DOM-FRA,San Francisco De Macorís,3364364.76
DOM-ISI,San Isidro,261679250.1
DOM-MAC,San Pedro de Macorís,181789419.4
DOM-S12,Santiago,552219929.2
DOM-PIS,Santiago-Navarrete (PISANO),105278147.3
DOM-TAM,Tamboril,157767270.6
DOM-ALT,Villa Altagracia,48460668.06
DOM-MEL,Villa Mella,20371964.3
DOM-INF,Z.F. Ind. y de Servicios Norte Infiesto,198750
DOM-6NO,Zona Franca 6 de Noviembre,1250000
DOM-MAI,Zona Franca Bahía de Maimón,2763779.29
DOM-HIT,Zona Franca Hit,6100000
DOM-VER,Zona Franca Ind. Luperon Verde,1085427
DOM-NOR,Zona Franca Industrial del Norte,5545357.95
DOM-SUR,Zona Franca Industrial del Sur,250000
DOM-EMI,Zona Franca Industrial Emimar,6525063.88
DOM-RIO,Zona Franca Industrial Riosur,29076505
DOM-SAG,Zona Franca Industrial SAG,4321596
DOM-JOB,Zona Franca Jobo Industrial,7435708.89
DOM-ZFE,Zonas Francas Especiales y de Servicios,887912897.7
