code,name.x,latitude,longitude,year,close,type,,,
DOM-PED,Pedernales ,18.03212506,-71.7361763,1991,0,public,,,
DOM-INT,Interexport Free Zone ,18.21182991,-71.11042584,2010,0,private,,,
DOM-BAR,Barahona ,18.22153648,-71.10145235,1989,0,public,,,
DOM-ZOF,Zofinma (Mao),19.5539567,-71.09162809,1993,2006,private,,,
DOM-ESP,Esperanza ,19.59381238,-70.97901224,1988,0,public,,,
DOM-NAV,Navarrete ,19.56817155,-70.87355309,1996,0,private,,,
DOM-CAD,Los Candelones ,19.55066181,-70.85609369,2017,0,private,,,
DOM-PAM,Palmarejo ,19.53965534,-70.79354494,1997,0,private,,,
DOM-PIS,Santiago-Navarrete (PISANO) ,19.50852054,-70.75994998,1993,0,private,,,
DOM-HIP,La Herradura Industrial Park  ,19.45074236,-70.74300157,2015,0,private,,,
DOM-S12,Santiago ,19.47670339,-70.72489004,1974,0,mix,,,
DOM-PUE,Puerto Plata ,19.80291323,-70.72350803,1983,0,mix,,,
DOM-INE,Parque Industrial INETAB ,19.48954984,-70.72195582,2016,0,private,,,
DOM-YAQ,Parque Industrial y de Servicios Yaque,19.46972418,-70.71437329,2010,0,private,,,
DOM-ECO,Ecopark Industrial Free Zone ,19.43705956,-70.70483542,1997,0,private,,,
DOM-VER,Luperón Verde ,19.79325036,-70.68090459,2019,0,private,,,
DOM-LEO,Parque Industrial Eduardo León Jiménes ,19.46227703,-70.671318,2018,0,private,,,
DOM-CIP,Caribbean Industrial Park ,19.410116,-70.661171,1997,0,private,,,
DOM-GUR,Gurabo ,19.48857084,-70.658343,1993,0,private,,,
DOM-SLI,Parque Tecnológico de Santiago ,19.4462542,-70.639953,1993,0,private,,,
DOM-JAN,Santiago - J‚Ä°nico,19.44758694,-70.63993419,1993,0,private,,,
DOM-LIM,El Limonal ,19.44195379,-70.63858151,2005,0,private,,,
DOM-TAM,Tamboril ,19.48142597,-70.63333181,1997,0,private,,,
DOM-EMI,Zona Franca Industrial Emimar ,19.42494677,-70.62298095,2014,0,private,,,
DOM-FLO,La Flor Dominicana ,19.48619912,-70.62006966,2019,0,private,,,
DOM-PAL,La Palma ,19.47951791,-70.59727463,2004,0,private,,,
DOM-CTQ,Parque Industrial CTQ ,19.42740185,-70.5940585,2015,0,private,,,
DOM-VEG,La Vega ,19.24673204,-70.55649026,1987,0,public,,,
DOM-MOC,Moca  ,19.39023321,-70.5372859,1989,0,public,,,
DOM-BAN,Baní ,18.25315476,-70.40511741,1986,0,private,,,
DOM-HIS,La Hispaniola  ,18.92390206,-70.40485331,2005,0,private,,,
DOM-BON,Bonao ,18.92425177,-70.40416473,1988,0,public,,,
DOM-DOS,Dos Ríos  ,18.91241012,-70.37486281,2006,0,private,,,
DOM-FRA,San Francisco de Macorís ,19.27537126,-70.28770858,1990,0,public,,,
DOM-CON,Conacado Industrial Park ,19.32373849,-70.27604128,2013,0,private,,,
DOM-ALT,Villa Altagracia ,18.68704785,-70.18063175,1988,0,private,,,
DOM-COT,Cotui,19.03592402,-70.15049018,1990,2009,public,,,
DOM-ARM,La Armería ,18.42129421,-70.11766012,1990,0,public,,,
DOM-6NO,Zona Franca 6 de Noviembre ,18.43423576,-70.07709655,2016,0,private,,,
DOM-TAL,Intercontinental ,18.56054395,-70.07035003,2015,0,private,,,
DOM-HAN,Hato Nuevo ,18.53692314,-70.06254185,2001,0,public,,,
DOM-ALC,Los Alcarrizos ,18.52119218,-70.05086541,1990,0,public,,,
DOM-NIG,Nigua ,18.39069362,-70.04615509,1989,0,private,,,
DOM-CRI,San Cristóbal (Itabo) ,18.38627302,-70.04084591,1986,0,private,Santiago,,
DOM-MUT,Multiparques S.A,18.40888469,-70.03948595,2007,0,private,closed from 2008 to 2010,,
DOM-GLO,Global Zona Franca Ind. ,18.53043559,-70.01195079,1995,0,private,,,
DOM-PER,PERLAV,18.52899686,-69.99851177,2010,0,private,,,
DOM-INF,ZF Ind. y de Servicios Norte Infiesto ,18.49179288,-69.98528116,2014,0,private,,,
DOM-HER,Parque Z.F. Tecnológica de Herrera ,18.44047267,-69.9817525,2013,0,private,,,
DOM-MEL,Villa Mella ,18.522265,-69.90166418,1989,0,public,,,
DOM-HAI,Hainamosa ,18.51389836,-69.81584618,1988,0,private,,,
DOM-ISI,San Isidro ,18.50033327,-69.7873092,1986,0,private,,,
DOM-VIS,Bella Vista ,18.61321459,-69.70844704,2004,0,private,,,
DOM-LAS,Las Américas ,18.46024249,-69.7068226,1989,0,private,,,
DOM-CIB,Cibernético ,18.45320537,-69.66257273,2001,0,mix,,,
DOM-AND,Andrés ,18.44233642,-69.64978048,2009,0,private,,,
DOM-MUL,Multimodal Caucedo ,18.42636819,-69.63506753,2002,0,private,,,
DOM-EXC,Excel Boca Chica ,18.45806505,-69.63004786,1995,0,private,,,
DOM-MAC,San Pedro de Macorís ,18.45274371,-69.28915784,1973,0,public,,,
DOM-CHE,Chemtec ,18.45851329,-69.28651371,1988,0,private,,,
DOM-HAT,Hato Mayor ,18.76258519,-69.26597733,1990,0,public,,,
DOM-SEI,El Seibo ,18.76891317,-69.05392215,2000,0,public,,,
DOM-RII,La Romana II ,18.44349389,-68.97852859,1987,0,private,,,
DOM-ROM,La Romana I ,18.41862181,-68.9476164,1969,0,private,,,
DOM-HIG,Higuey,,,1990,2005,public,,,
DOM-IHA,Parque Ind. Exp. Haina,,,1994,2000,private,,,
DOM-PAB,Palmar Abajo,,,1996,2008,private,closed from 2001 to 2003,,
DOM-LAG,Laguna Prieta,,,1997,2007,private,,,
DOM-PON,Pontezuela,,,1997,2012,private,,,
DOM-BAY,Bayaguana,,,1999,2007,public,,,
DOM-SAL,Salcedo,,,1999,2012,public,,,
DOM-MIN,Los Minas,,,2000,2009,public,,,
DOM-JAI,Jaibon,,,2000,2012,private,,,
DOM-QUI,Quisquella ,,,2001,0,public,closed from 2007 to 2010,,
DOM-AZU,Azua,,,2001,2004,public,,,
DOM-MOI,Montecristi ,,,2001,2005,public,,,
DOM-LUN,Zona Franca Industrial Luna,,,2001,2007,private,,,
DOM-RAF,Don Rafael ,,,2002,2004,private,,,
DOM-CAN,La canela ,,,2003,2005,private,,,
DOM-PEV,PEVISA,,,2004,2005,private,,,
DOM-DPE,Don Pedro,,,2004,2007,private,,,
DOM-KEP,Silver Key Park,,,2005,2006,private,Ehpg123456,,
DOM-SAG,Zona Franca Ind. SAG,,,2012,0,private,SANTIAGO,809-575-1987,PARQUEINDUSTRIALSAG@GMAIL.COM
DOM-RIE,Los Rieles,,,2013,0,private,SANTIAGO,809-736-7688,VICTORSINCLAIR@HOTMAIL.COM
DOM-ROB,Los Robles,,,2013,2015,private,,,
DOM-CDF,Parque Industrial CDF,,,2014,0,private,SANTIAGO,809-575-9366,M.MENDEZ@HAILCOTTON.COM
DOM-KGC,Parque Ind. KG Compañía Comercial,,,2014,0,private,SANTIAGO,809-585-1560,K.GOMEZ@TVG.COM.DO
DOM-SUR,Zona Franca Ind. Del Sur,,,2014,0,private,SAN CRISTÓBAL,8095456789,COCONUTS@CODETEL.NET.DO
DOM-JOB,Zona Franca Jobo Industrial,,,2015,0,private,SANTIAGO,809-226-5708,INFO@PRODUCTOSDELTABACO.COM
DOM-MAI,Zona Franca Bahía de Maimón,,,2015,0,private,PUERTO PLATA,809-793-7000,GM@AMBERCOVE.COM
DOM-NOR,Zona Franca Industrial del Norte,,,2016,0,private,SANTIAGO,809-580-0378,MARIAGARCIACZF@YAHOO.COM
DOM-SUN,Parque Industrial Zona Franca Sunsea,,,2016,2019,private,,,
DOM-ELV,Parque Industrial Elva Maria,,,2017,0,private,SANTIAGO,809-580-5282,T.ELARTISTA@CLARO.NET.DO
DOM-RIO,Riosur ,,,2017,0,private,SAN CRISTÓBAL,809-957-2800,E.DECASTRO@NIGUAFREEZONE.COM
DOM-HIT,Zona Franca Hit,,,2018,0,private,,,
DOM-NII,Nigua II,,,2018,0,private,SAN CRISTÓBAL,809-957-2800,E.DECASTRO@NIGUAFREEZONE.COM
