code,name,latitude,longitude,year,close,type,sez_id,origin 
DOM-6NO,Zona Franca 6 de Noviembre ,18.43423576,-70.07709655,2016,0,private,1,1
DOM-ALC,Los Alcarrizos ,18.52119218,-70.05086541,1990,0,public,2,1
DOM-ALT,Villa Altagracia ,18.68704785,-70.18063175,1988,0,private,3,1
DOM-AND,Andres,18.44233642,-69.64978048,2009,0,private,4,1
DOM-ARM,La Armeria ,18.42129421,-70.11766012,1990,0,public,5,1
DOM-AZU,Azua,,,2001,2004,public,6,1
DOM-BAN,Bani,18.25315476,-70.40511741,1986,0,private,7,1
DOM-BAR,Barahona ,18.22153648,-71.10145235,1989,0,public,8,1
DOM-BAY,Bayaguana,,,1999,2007,public,9,1
DOM-BON,Bonao ,18.92425177,-70.40416473,1988,0,public,10,1
DOM-CAD,Los Candelones ,19.55066181,-70.85609369,2017,0,private,11,1
DOM-CAN,La canela ,,,2003,2005,private,12,1
DOM-CDF,Parque Industrial CDF,19.49516261,-70.71634466,2014,0,private,13,1
DOM-CHE,Chemtec ,18.45851329,-69.28651371,1988,0,private,14,1
DOM-CIB,Cibernetico ,18.45320537,-69.66257273,2001,0,mix,15,1
DOM-CIP,Caribbean Industrial Park ,19.410116,-70.661171,1997,0,private,16,1
DOM-CON,Conacado Industrial Park ,19.32373849,-70.27604128,2013,0,private,17,1
DOM-COT,Cotui,19.03592402,-70.15049018,1990,2009,public,18,1
DOM-CRI,San Cristobal (Itabo) ,18.38627302,-70.04084591,1986,0,private,19,1
DOM-CTQ,Parque Industrial CTQ ,19.42740185,-70.5940585,2015,0,private,20,1
DOM-DOS,Dos Rios  ,18.91241012,-70.37486281,2006,0,private,21,1
DOM-DPE,Don Pedro,,,2004,2007,private,22,1
DOM-JAN,Ecopark Industrial Free Zone ,19.43705956,-70.70483542,1997,0,private,23,1
DOM-ELV,Parque Industrial Elva Maria,19.45844729,-70.63018049,2017,0,private,24,1
DOM-EMI,Zona Franca Industrial Emimar ,19.42494677,-70.62298095,2014,0,private,25,1
DOM-ESP,Esperanza ,19.59381238,-70.97901224,1988,0,public,26,1
DOM-EXC,Excel Boca Chica ,18.45806505,-69.63004786,1995,0,private,27,1
DOM-FLO,La Flor Dominicana ,19.48619912,-70.62006966,2019,0,private,28,1
DOM-FRA,San Francisco de Macoris ,19.27537126,-70.28770858,1990,0,public,29,1
DOM-GLO,Global Zona Franca Ind. ,18.53043559,-70.01195079,1995,0,private,30,1
DOM-GUR,Gurabo ,19.48857084,-70.658343,1993,0,private,31,1
DOM-HAI,Hainamosa ,18.51389836,-69.81584618,1988,0,private,32,1
DOM-HAN,Hato Nuevo ,18.53692314,-70.06254185,2001,0,public,33,1
DOM-HAT,Hato Mayor ,18.76258519,-69.26597733,1990,0,public,34,1
DOM-HER,Parque Z.F. Tecnologica de Herrera ,18.44047267,-69.9817525,2013,0,private,35,1
DOM-HIG,Higuey,,,1990,2005,public,36,1
DOM-HIP,La Herradura Industrial Park  ,19.45074236,-70.74300157,2015,0,private,37,1
DOM-HIS,La Hispaniola  ,18.92390206,-70.40485331,2005,0,private,38,1
DOM-HIT,Zona Franca Hit,18.4418766,-69.65026915,2018,0,private,39,1
DOM-IHA,Parque Ind. Exp. Haina,,,1994,2000,private,40,1
DOM-INE,Parque Industrial INETAB ,19.48954984,-70.72195582,2016,0,private,41,1
DOM-INF,ZF Ind. y de Servicios Norte Infiesto ,18.49179288,-69.98528116,2014,0,private,42,1
DOM-INT,Interexport Free Zone ,18.21182991,-71.11042584,2010,0,private,43,1
DOM-ISI,San Isidro ,18.50033327,-69.7873092,1986,0,private,44,1
DOM-JAI,Jaibon,,,2000,2012,private,45,1
