code,name,latitude,longitude,year,close,type,sez_id,origin 
DOM-ALC,Los Alcarrizos ,18.52119218,-70.05086541,1990,0,public,2,1
DOM-ALT,Villa Altagracia ,18.68704785,-70.18063175,1988,0,private,3,1
DOM-ARM,La Armeria ,18.42129421,-70.11766012,1990,0,public,5,1
DOM-BAN,Bani,18.25315476,-70.40511741,1986,0,private,7,1
DOM-BAR,Barahona ,18.22153648,-71.10145235,1989,0,public,8,1
DOM-BAY,Bayaguana,,,1999,2007,public,9,1
DOM-BON,Bonao ,18.92425177,-70.40416473,1988,0,public,10,1
DOM-CHE,Chemtec ,18.45851329,-69.28651371,1988,0,private,14,1
DOM-CIP,Caribbean Industrial Park ,19.410116,-70.661171,1997,0,private,16,1
DOM-COT,Cotui,19.03592402,-70.15049018,1990,2009,public,18,1
DOM-CRI,San Cristobal (Itabo) ,18.38627302,-70.04084591,1986,0,private,19,1
DOM-JAN,Ecopark Industrial Free Zone ,19.43705956,-70.70483542,1997,0,private,23,1
DOM-ESP,Esperanza ,19.59381238,-70.97901224,1988,0,public,26,1
DOM-EXC,Excel Boca Chica ,18.45806505,-69.63004786,1995,0,private,27,1
DOM-FRA,San Francisco de Macoris ,19.27537126,-70.28770858,1990,0,public,29,1
DOM-GLO,Global Zona Franca Ind. ,18.53043559,-70.01195079,1995,0,private,30,1
DOM-GUR,Gurabo ,19.48857084,-70.658343,1993,0,private,31,1
DOM-HAI,Hainamosa ,18.51389836,-69.81584618,1988,0,private,32,1
DOM-HAT,Hato Mayor ,18.76258519,-69.26597733,1990,0,public,34,1
DOM-HIG,Higuey,,,1990,2005,public,36,1
DOM-IHA,Parque Ind. Exp. Haina,,,1994,2000,private,40,1
DOM-ISI,San Isidro ,18.50033327,-69.7873092,1986,0,private,44,1
DOM-LAG,Laguna Prieta,,,1997,2007,private,49,1
DOM-LAS,Las Americas ,18.46024249,-69.7068226,1989,0,private,50,1
DOM-MAC,San Pedro de Macoris ,18.45274371,-69.28915784,1973,0,public,54,1
DOM-MEL,Villa Mella ,18.522265,-69.90166418,1989,0,public,56,1
DOM-MOC,Moca  ,19.39023321,-70.5372859,1989,0,public,58,1
DOM-NAV,Navarrete ,19.56817155,-70.87355309,1996,0,private,62,1
DOM-NIG,Nigua ,18.39069362,-70.04615509,1989,0,private,63,1
DOM-PAB,Palmar Abajo,,,1996,2008,private,66,1
DOM-PAM,Palmarejo ,19.53965534,-70.79354494,1997,0,private,68,1
DOM-PED,Pedernales ,18.03212506,-71.7361763,1991,0,public,69,1
DOM-PIS,Santiago-Navarrete (PISANO) ,19.50852054,-70.75994998,1993,0,private,72,1
DOM-PON,Pontezuela,,,1997,2012,private,73,1
DOM-PUE,Puerto Plata ,19.80291323,-70.72350803,1983,0,mix,74,1
DOM-RII,La Romana II ,18.44349389,-68.97852859,1987,0,private,78,1
DOM-ROM,La Romana I ,18.41862181,-68.9476164,1969,0,private,81,1
DOM-S12,Santiago ,19.47670339,-70.72489004,1974,0,mix,82,1
DOM-SAL,Salcedo,,,1999,2012,public,84,1
DOM-SLI,Parque Tecnologico de Santiago ,19.4462542,-70.639953,1993,0,private,86,1
DOM-TAM,Tamboril ,19.48142597,-70.63333181,1997,0,private,90,1
DOM-VEG,La Vega ,19.24673204,-70.55649026,1987,0,public,91,1
DOM-ZOF,Zofinma (Mao),19.5539567,-71.09162809,1993,2006,private,95,1
