code,name,latitude,longitude,year,close,type,sez_id,origin 
DOM-AZU,Azua,,,2001,2004,public,6,1
DOM-CAN,La canela ,,,2003,2005,private,12,1
DOM-CIB,Cibernetico ,18.45320537,-69.66257273,2001,0,mix,15,1
DOM-DPE,Don Pedro,,,2004,2007,private,22,1
DOM-HAN,Hato Nuevo ,18.53692314,-70.06254185,2001,0,public,33,1
DOM-HIS,La Hispaniola  ,18.92390206,-70.40485331,2005,0,private,38,1
DOM-KEP,Silver Key Park,,,2005,2006,private,47,1
DOM-LIM,El Limonal ,19.44195379,-70.63858151,2005,0,private,52,1
DOM-LUN,Zona Franca Industrial Luna,,,2001,2007,private,53,1
DOM-MOI,Montecristi ,,,2001,2005,public,59,1
DOM-MUL,Multimodal Caucedo ,18.42636819,-69.63506753,2002,0,private,60,1
DOM-PAL,La Palma ,19.47951791,-70.59727463,2004,0,private,67,1
DOM-PEV,PEVISA,,,2004,2005,private,71,1
DOM-QUI,Quisqueya ,19.48858161,-70.65855914,2001,0,public,75,1
DOM-RAF,Don Rafael ,,,2002,2004,private,76,1
DOM-VIS,Bella Vista ,18.61321459,-69.70844704,2004,0,private,93,1
