,code, buiilt00, ocu00, buiilt01, ocu01, buiilt02, ocu02, buiilt03, ocu03, buiilt04, ocu04, buiilt05, ocu05, buiilt06, ocu06, buiilt07, ocu07, buiilt08, ocu08, buiilt09, ocu09, buiilt10, ocu10, buiilt11, ocu11, buiilt12, ocu12, buiilt13, ocu13, buiilt14, ocu14, buiilt15, ocu15, buiilt16, ocu16
0,DOM-6NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,33356.0,33356.0
1,DOM-ALC,482462.0,482462.0,563307.0,531735.0,563307.6,531735.0,563307.0,523307.0,563307.0,526195.0,563307.0,526195.0,563307.0,510666.0,563307.0,547120.0,563307.0,547120.0,563307.0,563307.0,583516.0,567166.0,583516.0,583516.0,583516.0,386345.12,619079.63,439920.97,619079.63,485938.61,619079.63,428063.29,563991.87,456251.54
2,DOM-ALT,202317.26,191273.93,202317.0,184043.0,211515.6,200515.6,239072.0,194592.0,239072.0,150112.32,255211.05,168176.77,225375.63,197757.0,225375.63,212846.0,240312.07,189276.85,240312.07,136402.55,240312.07,121071.47,240312.07,106936.56,240312.07,138017.57,240312.07,138017.57,240312.07,172672.0,240312.07,172672.0,240312.07,172734.0
3,DOM-AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270488.0,64560.0,270488.0,64560.0,270488.0,100250.0,270488.0,64500.0,270488,64500.0,64500.0,64500.0,64500.0,64500.0,64500.0,64500.0
4,DOM-ARM,254469.0,229066.0,275783.0,275783.0,275783.0,275783.0,275783.0,275783.0,337529.0,337529.0,337529.0,337529.0,337529.0,337529.0,337529.0,337529.0,337529.0,337529.0,337529.0,321213.0,337529.0,209763.0,337529.0,318441.0,337529.0,235255.15,310078.93,283104.28,310078.93,279648.41,310078.93,279648.41,337333.2,314720.51
5,DOM-AZU,0.0,0.0,48563.0,32375.0,48563.31,32375.0,48563.0,32375.0,48563.0,16187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,DOM-BAN,419156.0,402666.0,419156.0,307882.0,419156.0,328448.0,419156.0,276442.0,419156.0,295440.0,380148.0,305886.0,380148.0,270686.0,380148.0,187639.0,380148.0,202732.0,430138.0,200133.0,430138.0,221675.0,430138.0,222738.0,430138.0,129855.0,430138,97135.0,430138.0,235911.0,430138.0,235911.0,430138.0,325286.0
7,DOM-BAR,235592.0,235592.0,498249.0,498249.0,498249.0,498249.0,498249.0,498249.0,498249.0,276405.0,276405.0,276405.0,276405.0,276405.0,276405.0,226157.0,276405.0,226157.0,276405.0,223116.0,276405.0,221117.0,276405.0,239978.0,276405.0,276405.0,275197.87,275197.87,275197.87,275197.87,275197.87,275197.87,299420.14,299420.14
8,DOM-BAY,32375.0,16178.0,32355.0,32355.0,32356.0,16178.0,32356.0,32356.0,32356.0,32356.0,32356.0,32356.0,32356.0,32356.0,32356.0,16178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,DOM-BON,390593.0,331615.0,278577.0,278577.0,392327.0,312735.59,392327.0,312735.0,500155.0,500155.0,500155.0,444411.0,500155.0,422047.0,500155.0,365030.0,500155.0,365030.0,500155.0,363553.0,500155.0,81802.0,350390.0,82850.0,350390.0,53022.03,363183.27,752840.15,431539.12,69372.93,400634.95,179274.59,411800.22,253706.18
10,DOM-CAN,0.0,0.0,0.0,0.0,0.0,0.0,73000.0,73000.0,73000.0,73000.0,73000.0,28000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DOM-CDF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,167992.13,167992.13,167992.13,167992.13,167992.13,167992.13
12,DOM-CHE,456206.0,456206.0,456206.0,426206.0,456206.0,426206.0,475000.0,415000.0,493802.0,420802.0,493802.0,478552.0,493802.0,493802.0,493802.0,478702.0,493802.0,493802.0,493802.0,451333.0,493802.0,478596.93,493802.0,435158.0,493802.0,362413.96,493802,362413.96,1400000.0,1332000.0,1400000.0,1332000.0,493802.0,273449.0
13,DOM-CIB,0.0,0.0,100000.0,1000.0,100000.0,30000.0,100000.0,17035.0,100000.0,12773.33,100000.0,31035.0,100000.0,31735.5,100000.0,70210.0,100000.0,75235.98,100000.0,80000.0,100000.0,80000.0,100000.0,71570.28,100000.0,62426.79,100000,65790.25,200000.0,165000.0,200000.0,165000.0,200000.0,165000.0
14,DOM-CIP,825766.0,825766.0,825766.0,745112.0,860000.0,850000.0,872000.0,872000.0,879000.0,879000.0,985000.0,819312.0,985000.0,931445.37,985000.0,931445.37,1006908.0,789600.0,1006908.0,707867.0,1006908.0,602787.0,1006908.0,764694.0,1006908.0,970485.3,1006908,1002276.96,1225518.94,1225518.94,1225518.94,1225518.94,1225518.94,1225518.94
15,DOM-CON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38736,38736.0,38736.0,38736.0,38736.0,38736.0,38736.0,38736.0
16,DOM-COT,65142.0,65142.0,56564.14,43940.0,56564.0,43941.0,56564.0,43941.0,56608.0,56608.0,82965.0,33186.0,82965.0,60430.0,82965.0,49779.0,82965.0,49779.0,82965.0,71272.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,DOM-CRI,1200000.0,1159418.0,1394570.0,1333853.0,1460091.0,1374165.0,1472545.0,1441239.0,1472546.0,1460239.0,1660774.0,1660774.0,1739105.0,1682262.0,1713262.0,1682262.0,1713262.0,1682262.0,1764664.38,1732420.91,1834324.09,1768518.28,1834324.09,1834324.09,2117075.95,2117075.95,2117075.95,2117075.95,2117075.95,2117075.95,1927487.0,1927487.0,2112661.37,1948601.37
18,DOM-CTQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,229241.8,229241.8,229241.8,229241.8
19,DOM-DOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624080.0,624080.0,629460.0,629460.0,629460.0,629460.0,1716800.0,1716800.0,1716800.0,1716800.0,1716800.0,1716800.0,1716800.0,1716800.0,1716800,1716800.0,1716800.0,1716800.0,1716800.0,1716800.0,1716800.0,1716800.0
20,DOM-DPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,DOM-EMI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,104018.0,104018.0,153225.0,153225.0,153225.0,153225.0
22,DOM-ESP,679713.0,679713.0,679713.0,679713.0,312487.0,312487.0,313705.0,313705.0,388483.88,388483.88,531487.34,446614.83,486506.57,441821.91,528342.42,415988.28,545494.34,507133.0,545494.34,367372.34,545494.34,454746.12,545494.34,299993.51,545494.34,373076.21,545494.34,466714.26,545494.34,545494.34,548530.94,548530.94,548530.94,548530.94
23,DOM-EXC,35000.0,24760.0,35000.0,24760.0,36000.0,24760.0,39000.0,39000.0,39000.0,39000.0,39000.0,39000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,39000.0,39000.0,39000.0,39000.0,39000.0,39000.0,39000.0,39000.0,390000,390000.0,39000.0,39000.0,39000.0,39000.0,87800.0,87800.0
24,DOM-FRA,152007.0,107925.0,180935.0,180935.0,180935.0,164935.0,180935.0,149470.0,147515.0,147515.0,164584.0,164584.0,164584.0,98694.0,164584.0,82897.0,164584.0,82897.0,164584.0,16584.0,164584.0,48989.0,164584.0,81654.0,164584.0,64746.58,159588.95,64746.58,168398.35,64746.58,168398.35,68730.94,167242.44,71844.61
25,DOM-GLO,199067.0,199067.0,199067.0,199067.0,199067.0,174738.0,199067.0,174738.0,199067.0,174473.0,199067.0,151894.0,199067.0,174738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53800.0,10760.0,53800,22596.0,500261.0,500261.0,500261.0,500261.0,500261.0,500261.0
26,DOM-GUR,240000.0,136000.0,240000.0,136000.0,470107.57,407646.7,470107.0,411746.0,480874.66,480874.66,480874.66,480874.66,480874.66,223360.35,487020.0,451820.0,500261.0,400061.0,500261.0,213080.0,500261.0,297121.0,500261.0,307282.6,500261.0,288794.6,500261,297908.0,164366.2,143372.8,204440.0,192920.0,204440.0,204440.0
27,DOM-HAI,414600.0,384301.0,414600.0,384301.0,414600.0,304989.0,414600.0,293967.0,481763.45,391036.87,481763.45,391036.87,481763.45,182217.93,481763.45,194717.0,507400.04,261884.46,507400.04,360574.43,507400.04,360574.43,507400.04,202876.74,507400.04,244154.62,507400.04,301137.97,507400.04,294803.17,507400.04,294803.17,696241.94,483257.17
28,DOM-HAN,0.0,0.0,132166.0,132166.0,132166.0,132166.0,144147.0,117987.0,133726.0,133726.0,133726.0,133726.0,149419.0,149419.0,149419.0,149419.0,149419.0,149419.0,149419.0,149419.0,149419.0,149419.0,149919.0,149919.0,149919.0,136972.59,156895.13,136635.07,156085.13,152376.03,168360.39,168360.39,165292.0,165292.0
29,DOM-HAT,82000.0,66097.0,68033.0,54436.0,68033.0,39581.0,51846.0,39500.0,68034.0,55019.0,55019.0,55019.0,55019.0,55019.0,55019.0,55019.0,55019.0,27510.0,0.0,0.0,0.0,0.0,55019.0,55019.0,55019.0,39581.4,711387.96,711387.96,88375.65,79397.6,88375.65,79397.6,61688.68,61688.68
30,DOM-HER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23698.25,23698.25,23698.25,23698.25,23698.25,23698.25,23698.25,23698.25
31,DOM-HIG,140603.0,78651.0,78651.0,78651.0,78651.0,52691.0,78654.0,33886.0,78654.0,33886.0,78604.0,45457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,DOM-HIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,120000.0,120000.0,120000.0,120000.0
33,DOM-HIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77635.0,72635.0,117247.0,72635.0,117247.0,72635.0,86968.35,86968.35,86968.4,86968.4,86968.4,86968.4,86968.4,86968.4,86968.4,86968.4,86968.4,86968.4,86968.4,86968.4,86968.4,86968.4,86968.4,86968.4
34,DOM-IHA,76000.0,76000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,DOM-INE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,242896.24,242896.24
36,DOM-INF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,92105.6,92105.6,92105.6,92105.6,92105.6,92105.6
37,DOM-INT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73382.0,73382.0,73382.0,73382.0,73382.0,73382.0,73382.93,73382.93,73382.0,73382.0,73382.0,73382.0,73382.0,73382.0
38,DOM-ISI,900000.0,810944.0,973647.0,973647.0,1123787.0,995606.0,1164304.0,1083653.0,1169994.6,1169994.6,1188543.36,1188543.36,1281783.96,1132779.95,1311572.06,1193031.14,1377095.03,1297573.2,1377095.03,1224533.52,1444060.68,1343361.28,1444060.68,1230581.95,1616489.32,1237278.31,1617488.85,1321595.88,1617488.85,1460680.0,1549454.35,1290113.02,1586270.31,1286412.35
39,DOM-JAI,75320.0,37660.0,75320.0,37660.0,75320.0,37660.0,75320.0,75320.0,75320.0,47000.0,75320.0,47000.0,75320.0,47000.0,75320.0,47000.0,0.0,0.0,0.0,0.0,0.0,0.0,42000.0,42000.0,42000.0,42000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,DOM-JAN,140000.0,108307.0,140000.0,140000.0,140000.0,140000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,60847.26,284071.0,191764.0,284071.0,191764.0,284071.0,191764.0,284071.0,191764.0,217606,217606.0,217606.0,217606.0,217606.0,217606.0,217606.0,217606.0
