code,park05, area05, buiilt05, ocu05, availa05
DOM-BAN,Baní,10760000,380148,305886,74262
DOM-BAR,Barahona,2639955,276405,276405,0
DOM-BAY,Bayaguana,1949195,32356,32356,0
DOM-VIS,Bella Vista,24482003.22,506796,506796,0
DOM-BON,Bonao,2582400,500155,444411,55744
DOM-CIP,Caribbean Ind. Park,3782500,985000,819312,165688
DOM-CHE,Chemtec,1257730,493802,478552,15250
DOM-CIB,Cibernético,3500000,100000,31035,68965
DOM-COT,Cotuí,857916,82965,33186,49779
DOM-DPE,Don Pedro,290386.7,26000,26000,0
DOM-SEI,El Seibo,1581728,48563,32375,16188
DOM-LIM,El Limonal,236622.5,40199,40199,0
DOM-ESP,Esperanza,1500000,531487.34,446614.83,84872.51
DOM-EXC,Excel Boca Chica,154200,39000,39000,0
DOM-GLO,Global,731180,199067,151894,47173
DOM-GUR,Gurabo,1179211.64,480874.66,480874.66,0
DOM-HAI,Hainamosa,2152000,481763.45,391036.87,90726.58
DOM-HAT,Hato Mayor,505739,55019,55019,0
DOM-HAN,Hato Nuevo,393998,133726,133726,0
DOM-HIG,Higüey,637788,78604,45457,33147
DOM-CRI,Itabo,4856703,1660774,1660774,0
DOM-JAI,Jaibón,365463,75320,47000,28320
DOM-ARM,La Armería,1416919,337529,337529,0
DOM-CAN,La Canela,333452.4,73000,28000,45000
DOM-HIS,La Hispaniola,217000,77635,72635,5000
DOM-PAL,La Palma,121358,63400,23350,40050
DOM-ROM,La Romana I,12248097.78,1128599.49,496184,632415.49
DOM-RII,La Romana II,10760000,385000,272804,112196
DOM-VEG,La Vega,3848081,1208176,1208176,0
DOM-LAG,Laguna Prieta,183232,16000,16000,0
DOM-LAS,Las Américas,12605238,1406078.05,1363211.42,42866.63
DOM-ALC,Los Alcarrizos,2314895,563307,526195,37112
DOM-MIN,Los Mina,270753,15871,15871,0
DOM-MOC,Moca,1838706,512167,512167,0
DOM-MOI,Montecristi,1117493,64751,64751,0
DOM-MUL,Multimodal Caucedo,8661552.52,96302,96302,0
DOM-NAV,Navarrete,837386,200000,111265,88735
DOM-NIG,Nigua,1946473.24,546436,393046,153390
DOM-PAB,Palmar Abajo,304078,121886,121886,0
DOM-PAM,Palmarejo,419135,134278,134278,0
DOM-PED,Pedernales,145572,30401,30401,0
DOM-PIS,PISANO,6468000,940057.72,882580.82,57476.9
DOM-PON,Pontezuela,84700,21000,21000,0
DOM-PUE,Puerto Plata,2762520,444629,171600.68,273028.32
DOM-SAL,Salcedo,1319768,48563,48563,0
DOM-FRA,San Francisco de M.,1354738,164584,164584,0
DOM-ISI,San Isidro,9267755,1188543.36,1188543.36,0
DOM-MAC,San Pedro de M.,11792115,2431726,2242404,189322
DOM-S12,Santiago,7453349,3705996.68,3585213.68,120783
DOM-JAN,Santiago-Jánico,1452600,200000,200000,0
DOM-SLI,Santiago-Licey,1129800,162000,141000,21000
DOM-KEP,Silver Key Park,138804,108771,108771,0
DOM-TAM,Tamboril,910000,216000,171653,44347
DOM-ALT,Villa Altagracia,2150800,255211.05,168176.77,87034.28
DOM-MEL,Villa Mella,6104882.64,364714.66,364714.66,0
DOM-ZOF,ZOFINMA (Mao),4304000,38000,22500,15500
DOM-LUN,Zona Franca Ind. Luna,541571,80000,32292,47708
