park08, area08, buiilt08, ocu08, availa08
1, Baní, 380148.00, 202732.00, 177416.00
2, Barahona, 276405.00, 226157.00, 50248.00
3, Bella Vista, 486352.00, 486352.00, 0.00
4, Bonao, 500155.00, 365030.00, 135125.00
5, Caribbean Ind. Park, 1006908.00, 789600.00, 217308.00
6, Chemtec, 493802.00, 493802.00, 0.00
7, Cibernético, 100000.00, 75235.98, 24764.02
8, Cotuí, 82965.00, 49779.00, 33186.00
9, Dos Rios, 629460.00, 629460.00, 0.00
10, El Seibo, 48563.00, 32375.00, 16188.00
11, El Limonal, 40219.00, 40219.00, 0.00
12, Esperanza, 545494.34, 507133.00, 38361.34
13, Excel Boca Chica, 35000.00, 35000.00, 0.00
14, Gurabo, 500261.00, 400061.00, 100200.00
15, Hainamosa, 507400.04, 261884.46, 245515.58
16, Hato Mayor, 55019.00, 27510.00, 27509.00
17, Hato Nuevo, 149419.00, 149419.00, 0.00
18, San Cristóbal (Itabo), 1713262.00, 1682262.00, 31000.00
19, La Armería, 337529.00, 337529.00, 0.00
20, La Hispaniola, 86968.35, 86968.35, 0.00
21, La Palma, 83400.00, 42750.00, 40650.00
22, La Romana I, 639252.00, 446054.00, 193198.00
23, La Romana II, 478853.00, 355587.00, 123266.00
24, La Vega, 1208176.00, 1093112.00, 115064.00
25, Las Américas, 1556161.04, 1490595.62, 65565.42
26, Los Alcarrizos, 563307.00, 547120.00, 16187.00
27, Los Mina, 49106.00, 13648.00, 35458.00
28, Moca, 512167.00, 512167.00, 0.00
29, Multimodal Caucedo, 96302.00, 96302.00, 0.00
30, Multiparques, S.A., 392882.00, 392882.00, 0.00
31, Navarrete, 200000.00, 30000.00, 170000.00
32, Nigua, 546041.00, 184300.00, 361741.00
33, Palmar Abajo, 121886.00, 121886.00, 0.00
34, Palmarejo, 450038.00, 417834.00, 32204.00
35, Pedernales, 80000.00, 80000.00, 0.00
36, PISANO, 1014211.00, 989598.89, 24612.11
37, Puerto Plata, 444629.00, 150579.34, 294049.66
38, Quisqueya, 50929.00, 50929.00, 0.00
39, Salcedo, 48563.00, 48563.00, 0.00
40, San Francisco de M., 164584.00, 82897.00, 81687.00
41, San Isidro, 1377095.03, 1297573.20, 79521.83
42, San Pedro de M., 2431726.00, 2204466.00, 227260.00
43, Santiago, 3709700.64, 3073242.00, 636458.64
44, Santiago-Jánico, 200000.00, 60847.26, 139152.74
45, Santiago-Licey, 177750.00, 103500.00, 74250.00
46, Tamboril, 216000.00, 107666.59, 108333.41
47, Villa Altagracia, 240312.07, 189276.85, 51035.22
48, Villa Mella, 362817.28, 307153.19, 55664.09
---, Zonas Francas Especiales, 3930705.82, 3930705.82, 0.00
