code,park, buiilt10, ocu10, availa10
DOM-AND,Andres,270488,64560,205928
DOM-BAN, Baní,430138,200133,230005
DOM-BAR, Barahona,276405,223116,53289
DOM-VIS, Bella Vista,388922.96,388922.96,0
DOM-BON, Bonao,500155,363553,136602
DOM-CIP, Caribbean Ind. Park,1006908,707867,299041
DOM-CHE, Chemtec,493802,451333,42469
DOM-CIB, Cibernético,100000,80000,20000
DOM-COT, Cotuí,82965,71272,11693
DOM-DOS, Dos Rios,1716800,1716800,0
DOM-SEI, El Seibo,48563,16188,32375
DOM-LIM, El Limonal,40219,40219,0
DOM-ESP, Esperanza,545494.34,367372.34,178122
DOM-EXC, Excel Boca Chica,39000,39000,0
DOM-GUR, Gurabo,500261,213080,287181
DOM-HAI, Hainamosa,507400.04,360574.43,146825.61
DOM-HAN, Hato Nuevo,149419,149419,0
DOM-CRI,itabo,1764664.38,1732420.91,32243.47
DOM-INT, interexport,,,0
DOM-ARM, La Armería,337529,321213,16316
DOM-HIS, La Hispaniola,86968.4,86968.4,0
DOM-PAL, La Palma,107245,107245,0
DOM-ROM, La Romana I,787190,714628,72562
DOM-RII, La Romana II,482531,270091,212440
DOM-VEG, La Vega,1208176,1048074,160102
DOM-LAS, Las Américas,1625617.59,1552422.89,73194.7
DOM-ALC, Los Alcarrizos,563307,563307,0
DOM-MIN, Los Mina,49106,13648,35458
DOM-MOC, Moca,512167,463021,49146
DOM-MUL, Multimodal Caucedo,96302,96302,0
DOM-MUT, Multiparques,392882,392882,0
DOM-NAV, Navarrete,200000,47670,152330
DOM-NIG, Nigua,546041,193000,353041
DOM-PAB, Palmar Abajo,121886,30472,91414
DOM-PAM, Palmarejo,450038,281168.72,168869.28
DOM-PED, Pedernales,80000,80000,0
DOM-PIS, PISANO,942262.91,891517.59,50745.32
DOM-PUE, Puerto Plata,383353.57,368633.57,14720
DOM-SAL, Salcedo,48563,48563,0
DOM-FRA, San Francisco de M.,164584,16584,148000
DOM-ISI, San Isidro,1377095.03,1224533.52,152561.51
DOM-MAC, San Pedro de M.,2431726,2336329,95397
DOM-S12, Santiago,3709700.64,3039789.88,669910.76
DOM-JAN, Santiago-Jánico,284071,191764,92307
DOM-SLI, Parque Tecnológico de Santiago,150500,77500,73000
DOM-TAM, Tamboril,216000,216000,0
DOM-ALT, Villa Altagracia,240312.07,136402.55,103909.52
DOM-MEL, Villa Mella,362817.28,307153.19,55664.09
