code,park11, buiilt11, ocu11, availa11
DOM-AND, Andrés,270488,100250,170238
DOM-BAN, Baní,430138,222738,207400
DOM-BAR, Barahona,276405,239978,36427
DOM-VIS, Bella Vista,421816,421816,0
DOM-BON, Bonao,350390,82850,267540
DOM-CIP, Caribbean Ind. Park,1006908,764694,242214
DOM-CHE, Chemtec,493802,435158,58644
DOM-CIB, Cibernético,100000,71570.28,28429.72
DOM-DOS, Dos Rios,1716800,1716800,0
DOM-LIM, El Limonal,46445,46445,0
DOM-SEI, El Seibo,48563,48563,0
DOM-ESP, Esperanza,545494.34,299993.51,245500.83
DOM-EXC, Excel Boca Chica,39000,39000,0
DOM-GUR, Gurabo,500261,307282.6,192978.4
DOM-HAI, Hainamosa,507400.04,202876.74,304523.3
DOM-HAT, Hato Mayor,55019,55019,0
DOM-HAN, Hato Nuevo,149919,149919,0
DOM-INT, Interexport Free Zone,73382,73382,0
DOM-JAI, Jaibón,42000,42000,0
DOM-ARM, La Armería,337529,318441,19088
DOM-HIS, La Hispaniola,86968.4,86968.4,0
DOM-PAL, La Palma,107245,101572,5673
DOM-ROM, La Romana I,787190,643236,143954
DOM-RII, La Romana II,482531,246680,235851
DOM-VEG, La Vega,1173226,1142783,30443
DOM-LAS, Las Américas,1625617.59,1307209.33,318408.26
DOM-ALC, Los Alcarrizos,583516,583516,0
DOM-MOC, Moca,512167,512167,0
DOM-MUL, Multimodal Caucedo,96302,96302,0
DOM-MUT, Multiparques,392882,392882,0
DOM-NAV, Navarrete,200000,108203.43,91796.57
DOM-NIG, Nigua,546041,212590,333451
DOM-PAB, Palmar Abajo,121886,30472,91414
DOM-PAM, Palmarejo,450038,367614,82424
DOM-SLI, Parque Tecnológico de Santiago,150500,127500,23000
DOM-YAQ, Parque Ind. y de Servicios Yaque,200738.56,200738.56,0
DOM-PED, Pedernales,100457,100457,0
DOM-PER, PERLAV,232534.36,232534.36,0
DOM-PIS, PISANO,942262.91,931538.02,10724.89
DOM-PON, Pontezuela al Medio,22955,22955,0
DOM-PUE, Puerto Plata,412793.17,289169.57,123623.6
DOM-SAL, Salcedo,48561,48561,0
DOM-CRI, San Cristóbal (Itabo),1834324.09,1834324.09,0
DOM-FRA, San Francisco de Macorís,164584,81654,82930
DOM-ISI, San Isidro,1444060.68,1230581.95,213478.73
DOM-MAC, San Pedro de Macorís,2431726,2355714,76012
DOM-S12, Santiago,3709700.64,3052291.59,657409.05
DOM-JAN, Santiago-Jánico,284071,191764,92307
DOM-TAM, Tamboril,388000,388000,0
DOM-ALT, Villa Altagracia,240312.07,106936.56,133375.51
DOM-MEL, Villa Mella,362817.28,195348.2,167469.08
