Park12, buiilt12, ocu12, per12, availa12
1, Andrés, 270488.00, 64500.00, 23.8, 205988.00
2, Baní, 430138.00, 129855.00, 30.2, 300283.00
3, Barahona, 276405.00, 276405.00, 100.0, 0.00
4, Bella Vista, 421816.00, 421816.00, 100.0, 0.00
5, Bonao, 350390.00, 53022.03, 15.1, 297367.97
6, Caribbean Ind. Park, 1006908.00, 970485.30, 96.4, 36422.70
7, Chemtec, 493802.00, 362413.96, 73.4, 131388.04
8, Cibernético, 100000.00, 62426.79, 62.4, 37573.21
9, Dos Rios, 1716800.00, 1716800.00, 100.0, 0.00
10, El Limonal, 75000.00, 75000.00, 100.0, 0.00
11, El Seibo, 48563.00, 48563.00, 100.0, 0.00
12, Esperanza, 545494.34, 373076.21, 68.4, 172418.13
13, Excel Boca Chica, 39000.00, 39000.00, 100.0, 0.00
14, Gurabo, 500261.00, 288794.60, 57.7, 211466.40
15, Global Zona Franca Industrial, 53800.00, 10760.00, 20.0, 43040.00
16, Hainamosa, 507400.04, 244154.62, 48.1, 263245.42
17, Hato Mayor, 55019.00, 39581.40, 71.9, 15437.60
18, Hato Nuevo, 149919.00, 136972.59, 91.4, 12946.41
19, San Cristóbal (Itabo), 2117075.95, 2117075.95, 100.0, 0.00
20, Interexport Free Zone, 73382.00, 73382.00, 100.0, 0.00
21, Jaibon, 42000.00, 42000.00, 100.0, 0.00
22, La Armería, 337529.00, 235255.15, 69.7, 102273.85
23, La Hispaniola, 86968.40, 86968.40, 100.0, 0.00
24, La Palma, 107245.00, 102443.00, 95.5, 4802.00
25, La Romana I, 787190.00, 643826.00, 81.8, 143364.00
26, La Romana II, 482531.00, 283389.00, 58.7, 199142.00
27, La Vega, 1173226.00, 920888.74, 78.5, 252337.26
28, Las Américas, 1628263.92, 1240384.81, 76.2, 387879.11
29, Los Alcarrizos, 583516.00, 386345.12, 66.2, 197170.88
30, Moca, 512167.00, 437409.31, 85.4, 74757.69
31, Multimodal Caucedo, 96302.00, 96302.00, 100.0, 0.00
32, Multiparques, S.A., 392882.00, 392882.00, 100.0, 0.00
33, Navarrete, 240002.63, 136241.50, 56.8, 103761.13
34, Nigua, 546041.00, 384341.00, 70.4, 161700.00
35, Palmar Abajo, 121886.00, 30472.00, 25.0, 91414.00
36, Palmarejo, 450038.00, 243206.44, 54.0, 206831.56
37, Parque Tecnológico de Santiago, 150500.00, 65400.00, 43.5, 85100.00
38, Parque Ind. y de Servicios Yaque, 200738.56, 200738.56, 100.0, 0.00
39, Pedernales, 100457.00, 100457.00, 100.0, 0.00
40, Perlav, 232534.36, 232534.36, 100.0, 0.00
41, PISANO, 942262.91, 900742.74, 95.6, 41520.17
42, Pontezuela al Medio, 22955.00, 22955.00, 100.0, 0.00
43, Puerto Plata, 412793.17, 192134.17, 46.5, 220659.00
44, Zona Franca Industrial SAG, 66635.70, 66635.70, 100.0, 0.00
45, Salcedo, 48561.00, 48561.00, 100.0, 0.00
46, San Francisco de M., 164584.00, 64746.58, 39.3, 99837.42
47, San Isidro, 1616489.32, 1237278.31, 76.5, 379211.01
48, San Pedro deMacoris, 3059519.26, 2844507.84, 93.0, 215011.42
49, Santiago, 3736116.00, 3218791.07, 86.2, 517324.93
50, Santiago-Jánico, 284071.00, 191764.00, 67.5, 92307.00
51, Tamboril, 388000.00, 388000.00, 100.0, 0.00
Villa Altagracia, 240312.07, 138017.57, 574, 102294.50
Villa Mella, 362817.28, 195348.20, 538, 167469.08
Zonas Francas Especiales, 7110803.53, 7110803.53, 100.0, 0.00

