code,Park13, buiilt13, ocu13, availa13
DOM-AND, Andrés,270488,64500,205988
DOM-BAN, Baní,430138,97135,333003
DOM-BAR, Barahona,275197.87,275197.87,0
DOM-VIS, Bella Vista,421816,421816,0
DOM-BON, Bonao,363183.27,752840.15,287343.12
DOM-CIP, Caribbean Ind. Park,1006908,1002276.96,4631.04
DOM-CHE, Chemtec,493802,362413.96,131388.04
DOM-CIB, Cibernético,100000,65790.25,34209.75
DOM-DOS, Dos Rios,1716800,1716800,0
DOM-LIM, El Limonal,75000,75000,0
DOM-SEI, El Seibo,487111.04,487111.04,0
DOM-ESP, Esperanza,545494.34,466714.26,78780.08
DOM-EXC, Excel Boca Chica,390000,390000,0
DOM-GUR, Gurabo,500261,297908,202353
DOM-GLO, Global Zona Franca Industrial,53800,22596,31204
DOM-HAI, Hainamosa,507400.04,301137.97,206262.07
DOM-HAT, Hato Mayor,711387.96,711387.96,0
DOM-HAN, Hato Nuevo,156895.13,136635.07,20260.06
DOM-CRI, San Cristóbal (Itabo),2117075.95,2117075.95,0
DOM-INT, Interexport Free Zone,73382.93,73382.93,0
DOM-ARM, La Armería,310078.93,283104.28,26974.65
DOM-HIS, La Hispaniola,86968.4,86968.4,0
DOM-PAL, La Palma,107245,102443,4802
DOM-ROM, La Romana I,658062,593029,65033
DOM-RII, La Romana II,439431,381056,58375
DOM-VEG, La Vega,1122197.2,994814.98,127382.22
DOM-LAS, Las Américas,1657963.19,1353201.78,304761.41
DOM-ALC, Los Alcarrizos,619079.63,439920.97,179158.66
DOM-MOC, Moca,468504.33,438706.85,29797.48
DOM-MUL, Multimodal Caucedo,96302,96302,0
DOM-MUT, Multiparques,392882,392882,0
DOM-NAV, Navarrete,289806.15,145576.7,144229.45
DOM-NIG, Nigua,546041,384341,161700
DOM-PAB, Palmar Abajo,121886,30472,91414
DOM-PAM, Palmarejo,367614,367614,0
DOM-SLI, Parque Tecnológico de Santiago,146500,92500,54000
DOM-YAQ, Parque Ind. y de Servicios Yaque,200738.56,200738.56,0
DOM-PED, Pedernales,100457,100457,0
DOM-PER, Perlav,232534.36,232534.36,0
DOM-PIS, PISANO,938550,936350,2200
DOM-PON, Pontezuela al Medio,,,
DOM-PUE, Puerto Plata,447903,310461,137442
DOM-SAG, Zona Franca Industrial SAG,vvv,66635.7,0
DOM-FRA, San Francisco de M.,159588.95,64746.58,94842.37
DOM-ISI, San Isidro,1617488.85,1321595.88,295892.97
DOM-MAC, San Pedro deMacoris,2823599.09,2655473.46,168125.63
DOM-S12, Santiago,4418208.71,4418208.71,0
DOM-JAN, Santiago-Jánico,217606,217606,0
DOM-TAM, Tamboril,688640,688640,0
DOM-ALT,v altagracia ,240312.07,138017.57,102294.5
DOM-MEL,v mella ,225242.81,225242.81,0
DOM-CON,Conocado Industrial Park,38736,38736,0
DOM-RIE,Los Rieles,72630,72630,0
DOM-ROB,Los Robles,35196,35196,0
DOM-HER,Parque Z.F. Tecnológica de Herrera,23698.25,23698.25,0
DOM-QUI,Quisqueya,53084,50929,2155
