Park16, buiilt16, ocu16, availa16
1,Andrés,64500.00,64500.00,0.00
2,Baní,430138.00,325286.00,104852.00
3,Barahona,299420.14,299420.14,0.00
4,Bella Vista,421834.00,421834.00,0.00
5,Bonao,411800.22,253706.18,158094.04
6,Caribbean Ind. Park,1225518.94,1225518.94,0.00
7,Chemtec *,493802.00,273449.00,220353.00
8,Cibernético,200000.00,165000.00,35000.00
9,Conacado Industrial Park,38736.00,38736.00,0.00
10,Dos Ríos,1716800.00,1716800.00,0.00
11,El Limonal,75000.00,75000.00,0.00
12,El Seibo,48775.71,48775.71,0.00
13,Esperanza,548530.94,548530.94,0.00
14,Excel Boca Chica,87800.00,87800.00,0.00
15,Global Zona Franca Industrial,204440.00,204440.00,0.00
16,Gurabo,500261.00,500261.00,0.00
17,Hainamosa,696241.94,483257.17,212984.77
18,Hato Mayor,61688.68,61688.68,0.00
19,Hato Nuevo,165292.00,165292.00,0.00
20,Intercontinental,62577.00,62577.00,0.00
21,Interexport Free Zone,73382.00,73382.00,0.00
22,La Armería,337333.20,314720.51,22612.69
23,La Herradura Industrial Park,120000.00,120000.00,0.00
24,La Hispaniola,86968.40,86968.40,0.00
25,La Palma,110760.00,110760.00,0.00
26,La Romana I,787190.00,751803.00,35387.00
27,La Romana II,482531.00,440893.00,41638.00
28,La Vega,1261076.26,1157306.67,103769.59
29,Las Américas,1638117.54,1638117.54,0.00
30,Los Alcarrizos,563991.87,456251.54,107740.33
31,Los Rieles,9325.00,9325.00,0.00
32,Moca,460645.75,444772.28,15873.47
33,Multimodal Caucedo,96302.00,96302.00,0.00
34,Multiparques,392882.00,392882.00,0.00
35,Navarrete,328056.65,249040.63,79016.02
36,Nigua,373557.00,262557.00,111000.00
37,Palmar Abajo,62335.96,62335.96,0.00
38,Palmarejo,367614.00,367614.00,0.00
39,Parque Industrial CDF,167992.13,167992.13,0.00
40,Parque Industrial CTQ,229241.80,229241.80,0.00
42,Parque Ind. KG Compañía Comercial,52821.00,52821.00,0.00
44,Parque Ind. y de Servicios Yaque,200738.56,200738.56,0.00
41,Parque Industrial INETAB,242896.24,242896.24,0.00
43,Parque Industrial Zona Franca Sunsea,28750.72,28750.72,0.00
45,Parque Tecnológico de Santiago,146500.00,106450.00,40050.00
46,Parque Z.F. Tecnológica de Herrera,23698.25,23698.25,0.00
47,Pedernales,100457.00,100457.00,0.00
48,PERLAV,232534.36,232534.36,0.00
49,PISANO,1044762.02,1044762.02,0.00
50,Puerto Plata,451935.00,369515.00,82420.00
51,Quisqueya,60659.18,60659.18,0.00
52,San Cristóbal (Itabo),2112661.37,1948601.37,164060.00
53,San Francisco de Macorís,167242.44,71844.61,95397.83
54,San Isidro,1586270.31,1286412.35,299857.96
55,San Pedro de Macorís,3199449.90,3028019.11,171430.79
56,Santiago,5358867.29,5328267.29,30600.00
57,Santiago-Jánico,217606.00,217606.00,0.00
58,Tamboril,824250.00,620403.00,203847.00
59,Villa Altagracia,240312.07,172734.00,67578.07
60,Villa Mella,225242.81,225242.81,0.00
61,Z.F. Industrial y de Servicios Norte Infiesto,92105.60,92105.60,0.00
62,Zona Franca Bahia de Maimon,55143.92,55143.92,0.00
63,Zona Franca Ind. EMIMAR,153225.00,153225.00,0.00
64,Zona Franca Ind. SAG,66635.70,66635.70,0.00
65,Zona Franca Industrial 6 de Noviembre,33356.00,33356.00,0.00
66,Zona Franca Industrial del Norte,6797.00,6797.00,0.00
67,Zona Franca Industrial del Sur,14648.00,14648.00,0.00
68,Zona Franca Jobo Industrial,110000.00,110000.00,0.00
Zonas Francas Especiales,6609739.39,6609739.39,0.00
