Park19, buiilt19, ocu19, availa19
Andrés,88629.80,88629.80,0.00
Baní,426931.00,250386.00,176545.00
Barahona,299420.14,299420.14,0.00
Bella Vista,421834.00,421834.00,0.00
Bonao,423408.19,354699.89,68708.30
Caribbean Industrial Park,1225518.94,1225518.94,0.00
Chemtec,493802.00,254525.81,239276.19
Cibernético,200000.00,200000.00,0.00
Conacado Industrial Park,38736.00,38736.00,0.00
Dos Ríos,1716800.00,1716800.00,0.00
Ecopark Industrial Free Zone,236635.00,236635.00,0.00
El Limonal,236635.00,209842.99,26792.01
El Seibo,48775.71,48775.71,0.00
Esperanza,548530.94,532290.65,16240.29
Excel Boca Chica,87800.00,87800.00,0.00
Global Zona Franca Industrial,204440.00,204440.00,0.00
Gurabo,500261.00,455638.88,44622.12
Hainamosa,696241.94,363680.70,332561.24
Hato Mayor,61688.68,61688.68,0.00
Hato Nuevo,165292.68,165292.68,0.00
Intercontinental,186802.28,186802.28,0.00
Interexport Free Zone,150068.00,150068.00,0.00
La Armería,337333.20,337333.20,0.00
La Flor Dominicana,47193.16,47193.16,0.00
La Herradura Industrial Park,120000.00,120000.00,0.00
La Hispaniola,86968.40,86968.40,0.00
La Palma,147680.00,147680.00,0.00
La Romana I,707447.00,673511.00,33936.00
La Romana II,422771.00,422771.00,0.00
La Vega,1268485.93,1268485.93,0.00
Las Américas,2180630.64,1940880.38,239750.26
Los Alcarrizos,587505.79,524240.33,63265.46
Los Candelones,120000.00,38150.84,81849.16
Los Rieles,126300.00,123500.00,2800.00
Moca,509956.77,494083.30,15873.47
Multimodal Caucedo,96302.00,96302.00,0.00
Multiparques,392882.00,392882.00,0.00
Navarrete,349065.70,329065.70,20000.00
Nigua,392212.00,392212.00,0.00
Nigua II,176000.00,176000.00,0.00
Palmar Abajo,62335.96,62335.96,0.00
Palmarejo,367614.00,367614.00,0.00
Parque Ind. Eduardo León Jiménes,319322.17,272531.44,46790.73
Parque Ind. KG Compañía Comercial,52821.00,52821.00,0.00
Parque Ind. y de Servicios Yaque,200738.56,200738.56,0.00
Parque Industrial CDF,167992.13,167992.13,0.00
Parque Industrial CTQ,229241.80,229241.80,0.00
Parque Industrial Elva María,56278.00,56278.00,0.00
Parque Industrial INETAB,242896.24,242896.24,0.00
Parque Tecnológico de Santiago,146500.00,57500.00,89000.00
Parque Z.F. Tecnológica de Herrera,23698.25,23698.25,0.00
Pedernales,100457.00,100457.00,0.00
PERLAV,232534.36,232534.36,0.00
Puerto Plata,441161.00,364047.00,77114.00
Quisqueya,60659.18,60659.18,0.00
San Cristóbal (Itabo),2142139.00,2142139.00,0.00
San Francisco de Macorís,167242.44,88562.53,78679.91
San Isidro,1586270.31,1494825.09,91445.22
San Pedro de Macorís,3171915.77,3088231.98,83683.79
Santiago,5608981.37,5545542.30,63439.07
Santiago-Navarrete (PISANO),1184652.60,1114826.03,69826.57
Tamboril,1032357.00,783083.00,249274.00
Villa Altagracia,315226.53,315226.53,0.00
Villa Mella,225242.81,169036.00,56206.81
Zona Franca Industrial Hit,5380.00,5380.00,0.00
Zona Franca Ind. Luperon Verde,17770.00,17770.00,0.00
Zona Franca 6 de Noviembre,33356.00,33356.00,0.00
Zona Franca Bahía de Maimón,55143.92,50551.00,4592.92
Z.F. Ind. y de Servicios Norte Infiesto,102105.00,102105.00,0.00
Zona Franca Industrial del Norte,74175.00,65370.00,8805.00
Zona Franca Industrial del Sur,14648.00,14648.00,0.00
Zona Franca Industrial Emimar,153225.00,153225.00,0.00
Zona Franca Industrial Riosur,120000.00,60000.00,60000.00
Zona Franca Industrial SAG,66635.70,66635.70,0.00
Zona Franca Jobo Industrial,110000.00,110000.00,0.00
Zonas Francas Especiales y de Servicios,8578565.68,8578565.68,0.00
