code,park,op01,tec02
DOM-AZU,Azua,700,850
DOM-BAN,Bani,724.96,1579.92
DOM-BAR,Barahona,738.21,1266.67
DOM-BAY,Bayaguana,592.82,2100
DOM-BON,Bonao,667,2096
DOM-CIP,Caribbean Ind. Park,860.15,1761.5
DOM-CHE,Chemtec,719.36,1825.71
DOM-CIB,Cibernético,N/D,N/D
DOM-COT,Cotuí,601.33,1565.33
DOM-SEI,El Seibo,610,1600
DOM-ESP,Esperanza,797,1593
DOM-EXC,Excel Boca Chica,1159.5,3027
DOM-GLO,Global,783.33,4416.67
DOM-GUR,Gurabo,866.73,1576.47
DOM-HAI,Hainamosa,667.58,1616.89
DOM-HAT,Hato Mayor,700,3250
DOM-HAN,Hato Nuevo,1000,2500
DOM-HIG,Higuey,784.33,2029.33
DOM-CRI,Itabo,711.75,1874.84
DOM-JAI,Jaibón,880,1800
DOM-ARM,La Armería,660.51,1623.56
DOM-ROM,La Romana I,692.11,1864.53
DOM-RII,La Romana II,742.44,1969.61
DOM-VEG,La Vega,720.88,1740.93
DOM-LAG,Laguna Prieta,900,2000
DOM-LAS,Las Américas,821.14,1926.11
DOM-ALC,Los Alcarrizos,680.92,1493.82
DOM-MIN,Los Minas,854,1000
DOM-MOI,Montecristi,650,2000
DOM-MOC,Moca,744.25,1369.99
DOM-NAV,Navarrete,650,1100
DOM-NIG,Nigua,761.68,1946.36
DOM-PAB,Palmar Abajo,1150,N/D
DOM-PAM,Palmarejo,736.33,1932.67
DOM-PED,Pedernales,575,N/D
DOM-PIS,Pisano,963.88,1630.19
DOM-PON,Pontezuela,755,1415
DOM-PUE,Puerto Plata,617,1280.55
DOM-SAL,Salcedo,575,1300
DOM-FRA,San Fco. De Macorís,764.92,4260
DOM-ISI,San Isidro,721.14,1893.87
DOM-MAC,San Pedro de Macorís,730.36,1840.88
DOM-S12,Santiago,885.23,1778.07
DOM-JAN,Santiago-Janico,704.87,1600.33
DOM-SLI,Santiago-Licey,838.82,1440.83
DOM-TAM,Tamboril,700,1800
DOM-ALT,Villa Altagracia,743.43,833.68
DOM-MEL,Villa Mella,1303,4529.5
DOM-ZOF,Zofinma (Mao),802,2778
DOM-QUI,Quisqueya,780,1100
DOM-LUN,Luna,792.3,1242
