code,Location,op05,op06,tec05,tec06
,Baní,1229.03,1311.49,2677.5,2959.48
,Barahona,998,1125,1550,1500
,Bayaguana,1150,1250,3500,2700
,Bella Vista,1313,1900,3000,4500
,Bonao,1021.5,1218.71,2033.57,2066.67
,Caribbean Ind. Park,1735.7,1706.91,2806.29,3181.8
,Chemtec,1140.96,1202.65,2375.12,2535.66
,Cibernético,0,1592.63,1200,2622.5
,Cotuí,1324.66,1027,2328.33,2500
,Don Pedro,1400,1496,2000,2200
,Dos Rios,0,2878.26,0,5551.75
,El Limonal,1158.99,1300,1962.61,1833.33
,El Seibo,1012,1030.48,1999.5,3000
,Esperanza,1376.5,1373.76,3300,3470.25
,Excel Boca Chica,1783.33,2250,2766.67,3958.33
,Global,1865,1500,2031.81,2500
,Gurabo,1359.53,1430.5,2674.84,3641.67
,Hainamosa,1055.02,1218.5,2159.71,2625.23
,Hato Mayor,1039.44,1122,2500,3500
,Hato Nuevo,1223.4,1270.8,3500,2350
,Higüey,1400,0,3625,0
,Itabo,1940.7,1583.07,3654.42,3233.77
,Jaibón,1752,1600,2754,2500
,La Armería,1096.79,1249.54,2403.32,2878.17
,La Canela,1156,0,1947,0
,La Hispaniola,1322,1575,4275,1800
,La Palma,1650,1725,3500,4230.5
,La Romana I,1371.27,1581.51,2830.33,3116.67
,La Romana II,1811.61,1185.41,4525,3000
,La Vega,1170.43,1233.65,2490.48,2891.53
,Laguna Prieta,1784,1800,0,0
,Las Américas,1222.53,1571.95,2884.53,3928.73
,Los Alcarrizos,1177.06,1510.24,2312.73,2770.28
,Los Mina,980.76,1400,1500,3250
,Montecristi,1100,0,2500,0
,Moca,1259.27,1269.16,2670.62,2400
,Multimodal Caucedo,1950,2300,3133.33,3800
,Navarrete,1322.5,1600,1922.5,2000
,Nigua,1123.96,1290.84,3122.27,3214.27
,Palmar Abajo,945,1200,1847,1975
,Palmarejo,1368.2,1514.75,3146,4178.9
,Pedernales,936,1000,2354,3092
,PISANO,1483.17,1805.97,3027.75,4036.28
,Pontezuela,1618,2050,2175,3508.08
,Puerto Plata,1146.74,1187.66,2167.23,2306.14
,Quisqueya,0,1027,0,2500
,Silver Key Park,1610,2300,2246.93,2700
,Salcedo,1025.83,1090.36,1666.67,1550
,San Fco. De Macoris,1135.27,1180.46,2925.75,3050.75
,San Isidro,1437.19,1539.45,3349.5,3246.17
,San Pedro de Macoris,1219.91,1262.41,2355.55,2541.07
,Santiago,1414.48,1575.32,2872.94,3023.81
,Santiago- Janico,1394.47,1072.54,3107.5,3352.33
,Santiago-Licey,1591.77,1336.05,2898.55,3953.14
,Tamboril,1362.83,1499.25,2648.4,3350.67
,Villa Altagracia,1324.23,1289.14,2319.25,2167.86
,Villa Mella,1775,1442.92,4725,2349.67
,Zona Franca Ind. Luna,1422,1472.18,3100,3700
,ZOFINMA (Mao),1450,1250,4000,4000
,Especiales,1465.19,1740.24,3009.97,3766.15
