code,park,op07,op08,tec07,tec08
DOM-BAN,Baní,1225.02,1367.12,2969.17,2927.98
DOM-BAR,Barahona,1175.5,1130.4,2100,1500
DOM-VIS,Bella Vista,0,1130,0,4569
DOM-BON,Bonao,1149.94,1399.5,2264.08,2597.67
DOM-CIP,Caribbean Ind. Park,1411.92,1827.57,2753.53,3723.66
DOM-CHE,Chemtec,1270.09,1283.75,2996.33,3205.39
DOM-CIB,Cibernético,2306.33,3263.9,3912.5,5437.29
DOM-COT,Cotuí,1100,1130,3000,2500
DOM-DOS,Dos Rios,3000,3210,6301.75,6743
DOM-LIM,El Limonal,1726.75,1926.93,2508.46,2626.23
DOM-SEI,El Seibo,1142.58,1117,3650,6000
DOM-ESP,Esperanza,1485.54,1737.17,3300,3550
DOM-EXC,Excel Boca Chica,2172.5,2672,5868.33,8781.7
DOM-GLO,Gurabo,1510.85,1937,4231.5,3645.67
DOM-HAI,Hainamosa,1308.9,1571.39,2728.57,3048.02
DOM-HAT,Hato Mayor,1131.5,1144,3500,3500
DOM-HAN,Hato Nuevo,1422.19,1869.45,3400,3000
DOM-CRI,San Cristóbal (Itabo),1385.23,1568.24,3443.1,3824.82
DOM-JAI,La Armería,1275.4,1362.69,2512.05,2865.12
DOM-ARM,La Hispaniola,1600,1700,1954,2551
DOM-PAL,La Palma,1250,1778.49,3000,3800
DOM-ROM,La Romana I,1390.51,1489.58,3481.01,3370.72
DOM-RII,La Romana II,1321.32,1484.26,3009.96,3133.33
DOM-VEG,La Vega,1281.53,1358.65,3836.31,2984.12
DOM-LAS,Las Américas,1703.15,1719.97,4345.44,3306.37
DOM-ALC,Los Alcarrizos,1781.92,1479.66,3446.06,2969.16
DOM-MIN,Los Mina,1350,0,1600,2500
DOM-MOC,Moca,1237.83,1222.86,3066.67,2780.42
DOM-MUL,Multimodal Caucedo,2500,0,4100,2800
DOM-MUT,Multiparques,2250,3378,3325,6950
DOM-NAV,Navarrete,1650,1550,2500,3000
DOM-NIG,Nigua,1248.9,1235.28,2861.27,2902.32
DOM-PAB,Palmar Abajo,1400,1300,2100,2100
DOM-PAM,Palmarejo,1893.56,2061.92,3012,3480.86
DOM-PED,Pedernales,1000,1000,2220,2800
DOM-PIS,PISANO,2020.01,2009.72,3948.27,3821.24
DOM-PUE,Puerto Plata,1458.16,1569.34,2891.25,2969.5
DOM-QUI,Quisqueya,1200,1275,4000,4000
DOM-SAL,Salcedo,1175,1675,1600,1600
DOM-FRA,San Fco. De Macoris,1026.92,1078.85,2250,2250
DOM-ISI,San Isidro,1563.31,1647.71,3566.23,3744.22
DOM-MAC,San Pedro de Macoris,1393.5,1526.47,2766.06,3136.07
DOM-S12,Santiago,1630.31,1774.77,3406.77,3689.42
DOM-JAN,Santiago- Janico,1322.66,1350,3680.75,4500
DOM-SLI,Santiago-Licey,1347.71,1851.89,3424.13,3925
DOM-TAM,Tamboril,1130.78,1420.51,2833.33,3575
DOM-ALT,Villa Altagracia,1485.51,1524.72,3489.29,3026.84
DOM-MEL,Villa Mella,1419.69,1724.56,2950,3490.08
