code,parks,op11,op12,tec11,tec12
DOM-AND,Andrés,0,4281.25,3654,6025
DOM-BAN,Baní,1875.22,2718.83,3684.9,4803.13
DOM-BAR,Barahona,1467,1467,2500,2500
DOM-VIS,Bella Vista,2561,3561.36,4698,6863
DOM-BON,Bonao,1320.5,1474.34,2642,3338.34
DOM-CIP,Caribbean Ind. Park,2466.59,2230.27,4413.26,3895.07
DOM-CHE,Chemtec,1678.95,1677.81,3481.23,4913.58
DOM-CIB,Cibernético,2818.98,2708,4457.43,5559.35
DOM-DOS,Dos Rios,2758,3203.64,6627,7868.56
DOM-LIM,El Limonal,1800,1800,3300,3300
DOM-SEI,El Seibo,1475,1567.62,4800,3811.5
DOM-ESP,Esperanza,1616.67,1900,3312.5,3700
DOM-EXC,Excel Boca Chica,2800,3000,4450,6500
DOM-GUR,Gurabo,2100,2245.24,3932.19,3376.83
DOM-GLO,Global Zona Franca Industrial,0,1900,0,3600
DOM-HAI,Hainamosa,1925.18,1878.28,3777.83,3486.6
DOM-HAT,Hato Mayor,1063,1500,2800,3300
DOM-HAN,Hato Nuevo,2459.43,2573.63,4212.5,4841.15
DOM-INT,Interexport Free Zone,1500,1550,3700,3700
DOM-JAI,Jaibón,1800,2100,2400,2800
DOM-ARM,La Armería,2094.6,2008.12,3359.33,3131.93
DOM-HIS,La Hispaniola,1458.46,1620.95,2538.75,6167
DOM-PAL,La Palma,1721.67,1520,3867.75,5805.25
DOM-ROM,La Romana I,1705.13,1941.81,2826.77,4025.13
DOM-RII,La Romana II,1413.67,1769.95,3933.33,3383.72
DOM-VEG,La Vega,1584.76,1727.62,3356.29,3686.81
DOM-LAS,Las Américas,1801.59,1851.55,4196.55,4372.81
DOM-ALC,Los Alcarrizos,1986.42,1801.43,3762,3197.77
DOM-MOC,Moca,1603.33,1742.84,2750,3550.31
DOM-MUL,Multimodal Caucedo,0,3200,4228.33,4697.67
DOM-MUT,Multiparques,3951.5,4551.5,7552.5,7640.5
DOM-NAV,Navarrete,1800,1825,3200,3300
DOM-NIG,Nigua,1960.52,1566.84,4435.67,2932.2
DOM-PAB,Palmar Abajo,2650.82,2900,0,0
DOM-PAM,Palmarejo,2325.4,2604.39,3472.8,3608.86
DOM-PED,Pedernales,1300,1425,2800,2800
DOM-PER,PERLAV,3893.63,3900,5773.78,5733.33
DOM-PIS,PISANO,2207.89,2264.59,3524.3,3469.75
DOM-PUE,Puerto Plata,1660.5,1823.72,3325,4500
DOM-SAL,Salcedo,1600,1900,2500,3000
DOM-CRI,San Cristóbal (Itabo),2073.63,2156.56,4291.88,4592.08
DOM-FRA,San Fco. De Macoris,1246.15,1479.23,2500,2800
DOM-ISI,San Isidro,2079.84,1945.32,4674.14,4981.46
DOM-MAC,San Pedro de Macoris,1696.06,1931.32,3585.41,3910.83
DOM-S12,Santiago,1953.6,2054.16,3692.13,4090.84
DOM-JAN,Santiago- Janico,1965,2149.29,6200,4770.09
DOM-SLI,Parque Tecnológico de Santiago,2001.05,2101.45,3202.71,3516.67
DOM-YAQ,Parque Ind. y de Servicios Yaque,1475,1924.56,4800,3417.45
DOM-TAM,Tamboril,1671.2,2065.5,3286.85,4650.03
DOM-ALT,Villa Altagracia,2140.53,2308.81,5212.5,4772.18
DOM-MEL,Villa Mella,1561.7,1906.67,4324.33,2965.75
DOM-SAG,Zona Franca Ind. SAG,0,1600,0,2250
