code,op00,op01,op02,op03,op04,op05,op06,op07,op08,op09,op10,op11,op12,op13,op14,op15,op16
DOM-BAN,606.8,724.96,726.12,825.37,1056.18,1229.03,1311.49,1225.02,1367.12,1496.4,1569.25,1875.22,2718.83,1885.83,1891.12,2365.14,2461.5
DOM-BAR,800.0,738.21,800.0,975.0,1000.0,998.0,1125.0,1175.5,1130.4,1247.0,1700.0,1467.0,1467.0,1467.0,1666.6,1700.0,1856.12
DOM-BON,579.0,667,657.5,782.19,982.0,1021.5,1218.71,1149.94,1399.5,1590.62,1453.71,1320.5,1474.34,1875.01,1846.0,2148.67,2251.67
DOM-CIP,819.27,860.15,819.88,1095.76,1388.02,1735.7,1706.91,1411.92,1827.57,1854.56,2030.66,2466.59,2230.27,2268.3,2298.04,2547.89,2639.78
DOM-SEI,570.0,610,649.0,844.0,950.0,1012.0,1030.48,1142.58,1117.0,1450.0,1450.0,1475.0,1567.62,1671.34,1707.5,1937.85,1919.0
DOM-ESP,794.85,797,777.31,843.71,1082.56,1376.5,1373.76,1485.54,1737.17,1869.03,1917.25,1616.67,1900.0,2125.48,2251.63,2351.49,2302.99
DOM-EXC,656.0,1159.5,1145.5,1557.0,1716.67,1783.33,2250.0,2172.5,2672.0,2671.81,2700.0,2800.0,3000.0,2666.6,3333.24,3450.0,2593.05
DOM-HAI,618.27,667.58,792.27,887.56,924.73,1055.02,1218.5,1308.9,1571.39,1554.41,1834.07,1925.18,1878.28,3620.0,2142.12,2427.38,3100.0
DOM-CRI,821.19,711.75,751.4,890.92,1160.99,1940.7,1583.07,1385.23,1568.24,1722.94,1796.64,2073.63,2156.56,2447.23,2433.25,2554.39,2809.06
DOM-ARM,898.9,660.51,621.69,770.94,897.3,1096.79,1249.54,1600.0,1700.0,2272.3,1833.9,2094.6,2008.12,2015.8,2125.79,2354.15,2076.28
DOM-ROM,729.31,692.11,714.55,957.41,1208.98,1371.27,1581.51,1390.51,1489.58,1431.89,1728.7,1705.13,1941.81,1914.09,2764.25,2946.08,2735.42
DOM-RII,713.5,742.44,686.61,928.0,995.84,1811.61,1185.41,1321.32,1484.26,1410.33,1515.49,1413.67,1769.95,1902.15,1954.07,2186.1,2250.76
DOM-VEG,716.77,720.88,779.86,846.96,1024.4,1170.43,1233.65,1281.53,1358.65,1329.78,1466.29,1584.76,1727.62,1894.85,1942.0,2176.73,2221.09
DOM-LAS,637.65,821.14,726.3,940.37,1085.49,1222.53,1571.95,1703.15,1719.97,1660.91,1690.91,1801.59,1851.55,1982.76,2439.19,2689.76,2990.45
