code,tec00,tec01,tec02,tec03,tec04,tec05,tec06,tec07,tec08,tec19,tec10,tec11,tec12,tec13,tec14,tec15,tec16
DOM-BAN,1496.91,1579.92,1509.52,1607.14,2148.95,2677.5,2959.48,2969.17,2927.98,3268.0,3412.46,3684.9,4803.13,4141.25,4004.09,5295.21,5286.29
DOM-BAR,3166.67,1266.67,1566.67,2150.0,2250.0,1550.0,1500.0,2100.0,1500.0,1500.0,4000.0,2500.0,2500.0,2500.0,3500.0,2500.0,2510.0
DOM-BON,1075,2096,1256.0,1295.83,1629.17,2033.57,2066.67,2264.08,2597.67,3657.67,2247.73,2642.0,3338.34,3486.58,3493.67,3796.08,3897.67
DOM-CIP,1952.05,1761.5,1902.0,2403.13,3227.31,2806.29,3181.8,2753.53,3723.66,3911.5,4211.68,4413.26,3895.07,3696.46,3988.64,3927.18,4950.82
DOM-SEI,850,1600,1200.0,2000.0,2100.0,1999.5,3000.0,3650.0,6000.0,4500.0,4500.0,4800.0,3811.5,3811.5,3722.5,2875.0,3700.0
DOM-ESP,1830,1593,1612.8,2035.0,2148.08,3300.0,3470.25,3300.0,3550.0,3853.29,3441.63,3312.5,3700.0,4437.5,4885.71,5225.38,5021.32
DOM-EXC,1269,3027,1769.5,2134.69,2187.0,2766.67,3958.33,5868.33,8781.7,8998.95,3471.13,4450.0,6500.0,4800.0,4807.94,5100.0,5800.0
DOM-HAI,1282.13,1616.89,1129.0,2383.66,2402.29,2159.71,2625.23,2728.57,3048.02,2986.77,4000.13,3777.83,3486.6,4615.15,4664.25,5675.0,7300.0
DOM-CRI,2123.65,1874.84,1523.07,1894.4,2863.27,3654.42,3233.77,3443.1,3824.82,3984.55,3837.91,4291.88,4592.08,4518.31,4733.8,5270.49,5536.06
DOM-ARM,1978.89,1623.56,1455.05,1912.75,2188.89,2403.32,2878.17,1954.0,2551.0,3551.6,3893.25,3359.33,3131.93,4402.0,3956.3,4300.9,4187.17
DOM-ROM,2231.4,1864.53,1707.15,1733.41,2444.95,2830.33,3116.67,3481.01,3370.72,3077.28,3043.14,2826.77,4025.13,3292.3,5566.3,4752.2,4190.25
DOM-RII,1561.83,1969.61,1686.33,2223.33,2504.0,4525.0,3000.0,3009.96,3133.33,3900.0,4562.5,3933.33,3383.72,4098.33,5365.0,4941.45,3730.95
DOM-VEG,1608.1,1740.93,1657.9,1769.4,2185.83,2490.48,2891.53,3836.31,2984.12,3021.27,3190.84,3356.29,3686.81,3737.21,4189.4,4754.71,4671.84
